Calibration metrics:
x0: Cal. error 0.1090, RMSE 0.1263, R2 0.4263
x1: Cal. error 0.1080, RMSE 0.1066, R2 0.5947
x2: Cal. error 0.0450, RMSE 0.1035, R2 0.6193
x3: Cal. error 0.0530, RMSE 0.1003, R2 0.6448
x4: Cal. error 0.0660, RMSE 0.1057, R2 0.6068
x5: Cal. error 0.0440, RMSE 0.1058, R2 0.6045
x6: Cal. error 0.0520, RMSE 0.1033, R2 0.6223
x7: Cal. error 0.0400, RMSE 0.0992, R2 0.6505
x8: Cal. error 0.0300, RMSE 0.0981, R2 0.6559
x9: Cal. error 0.0250, RMSE 0.0946, R2 0.6768
x10: Cal. error 0.0210, RMSE 0.0939, R2 0.6772
x11: Cal. error 0.0260, RMSE 0.0915, R2 0.6891
x12: Cal. error 0.0280, RMSE 0.0917, R2 0.6829
x13: Cal. error 0.0240, RMSE 0.0894, R2 0.6940
x14: Cal. error 0.0430, RMSE 0.0896, R2 0.6884
x15: Cal. error 0.0380, RMSE 0.0878, R2 0.6958
x16: Cal. error 0.0480, RMSE 0.0889, R2 0.6839
x17: Cal. error 0.0500, RMSE 0.0873, R2 0.6908
x18: Cal. error 0.0590, RMSE 0.0897, R2 0.6701
x19: Cal. error 0.0520, RMSE 0.0887, R2 0.6749
x20: Cal. error 0.0630, RMSE 0.0912, R2 0.6539
x21: Cal. error 0.0650, RMSE 0.0903, R2 0.6592
x22: Cal. error 0.0730, RMSE 0.0917, R2 0.6474
x23: Cal. error 0.0710, RMSE 0.0911, R2 0.6522
x24: Cal. error 0.0750, RMSE 0.0925, R2 0.6421
x25: Cal. error 0.0700, RMSE 0.0922, R2 0.6452
x26: Cal. error 0.0890, RMSE 0.0938, R2 0.6355
x27: Cal. error 0.0950, RMSE 0.0935, R2 0.6390
x28: Cal. error 0.1160, RMSE 0.0954, R2 0.6279
x29: Cal. error 0.1250, RMSE 0.0955, R2 0.6300
x30: Cal. error 0.1370, RMSE 0.0977, R2 0.6152
x31: Cal. error 0.1340, RMSE 0.0982, R2 0.6138
x32: Cal. error 0.1310, RMSE 0.1016, R2 0.5909
x33: Cal. error 0.1250, RMSE 0.1025, R2 0.5867
x34: Cal. error 0.1430, RMSE 0.1049, R2 0.5705
x35: Cal. error 0.1380, RMSE 0.1052, R2 0.5719
x36: Cal. error 0.1520, RMSE 0.1080, R2 0.5501
x37: Cal. error 0.1540, RMSE 0.1075, R2 0.5508
x38: Cal. error 0.1500, RMSE 0.1092, R2 0.5413
x39: Cal. error 0.1490, RMSE 0.1093, R2 0.5473
x40: Cal. error 0.1370, RMSE 0.1105, R2 0.5389
x41: Cal. error 0.1310, RMSE 0.1102, R2 0.5436
x42: Cal. error 0.1420, RMSE 0.1129, R2 0.5262
x43: Cal. error 0.1190, RMSE 0.1130, R2 0.5294
x44: Cal. error 0.1260, RMSE 0.1152, R2 0.5150
x45: Cal. error 0.1060, RMSE 0.1143, R2 0.5230
x46: Cal. error 0.1090, RMSE 0.1151, R2 0.5180
x47: Cal. error 0.0920, RMSE 0.1138, R2 0.5291
x48: Cal. error 0.0870, RMSE 0.1136, R2 0.5264
x49: Cal. error 0.0870, RMSE 0.1115, R2 0.5403
x50: Cal. error 0.0940, RMSE 0.1102, R2 0.5485
x51: Cal. error 0.0800, RMSE 0.1085, R2 0.5606
x52: Cal. error 0.0560, RMSE 0.1073, R2 0.5659
x53: Cal. error 0.0720, RMSE 0.1056, R2 0.5771
x54: Cal. error 0.0690, RMSE 0.1046, R2 0.5849
x55: Cal. error 0.0860, RMSE 0.1030, R2 0.5972
x56: Cal. error 0.0860, RMSE 0.1025, R2 0.6021
x57: Cal. error 0.0940, RMSE 0.1000, R2 0.6213
x58: Cal. error 0.0840, RMSE 0.0993, R2 0.6287
x59: Cal. error 0.0890, RMSE 0.0966, R2 0.6512
x60: Cal. error 0.0890, RMSE 0.0966, R2 0.6538
x61: Cal. error 0.0690, RMSE 0.0950, R2 0.6681
x62: Cal. error 0.0560, RMSE 0.0982, R2 0.6475
x63: Cal. error 0.0360, RMSE 0.1145, R2 0.5250
x64: Cal. error 0.1170, RMSE 0.1421, R2 0.2734
x65: Cal. error 0.1440, RMSE 0.1308, R2 0.3891
x66: Cal. error 0.1330, RMSE 0.1330, R2 0.3709
x67: Cal. error 0.0870, RMSE 0.1318, R2 0.3874
x68: Cal. error 0.1420, RMSE 0.1358, R2 0.3516
x69: Cal. error 0.1360, RMSE 0.1358, R2 0.3505
x70: Cal. error 0.1150, RMSE 0.1331, R2 0.3750
x71: Cal. error 0.1050, RMSE 0.1288, R2 0.4121
x72: Cal. error 0.1150, RMSE 0.1266, R2 0.4297
x73: Cal. error 0.1010, RMSE 0.1221, R2 0.4632
x74: Cal. error 0.0900, RMSE 0.1192, R2 0.4821
x75: Cal. error 0.0840, RMSE 0.1161, R2 0.5022
x76: Cal. error 0.0760, RMSE 0.1144, R2 0.5091
x77: Cal. error 0.0790, RMSE 0.1120, R2 0.5221
x78: Cal. error 0.0860, RMSE 0.1115, R2 0.5197
x79: Cal. error 0.0800, RMSE 0.1100, R2 0.5253
