Calibration metrics:
x0: Cal. error 0.5050, RMSE 0.7300, R2 -18.0829
x1: Cal. error 0.5050, RMSE 0.7264, R2 -17.7376
x2: Cal. error 0.5050, RMSE 0.7039, R2 -16.5248
x3: Cal. error 0.5050, RMSE 0.7117, R2 -16.7729
x4: Cal. error 0.5050, RMSE 0.7083, R2 -16.5449
x5: Cal. error 0.5050, RMSE 0.7057, R2 -16.4420
x6: Cal. error 0.5050, RMSE 0.7054, R2 -16.4496
x7: Cal. error 0.5050, RMSE 0.7033, R2 -16.4046
x8: Cal. error 0.5050, RMSE 0.7030, R2 -16.4748
x9: Cal. error 0.5050, RMSE 0.6988, R2 -16.4569
x10: Cal. error 0.5050, RMSE 0.6963, R2 -16.5396
x11: Cal. error 0.5050, RMSE 0.6929, R2 -16.5966
x12: Cal. error 0.5050, RMSE 0.6905, R2 -16.7507
x13: Cal. error 0.5050, RMSE 0.6877, R2 -16.8707
x14: Cal. error 0.5050, RMSE 0.6866, R2 -17.0763
x15: Cal. error 0.5050, RMSE 0.6848, R2 -17.2534
x16: Cal. error 0.5050, RMSE 0.6849, R2 -17.5371
x17: Cal. error 0.5050, RMSE 0.6845, R2 -17.7540
x18: Cal. error 0.5050, RMSE 0.6865, R2 -18.0681
x19: Cal. error 0.5050, RMSE 0.6886, R2 -18.3527
x20: Cal. error 0.5050, RMSE 0.6922, R2 -18.6960
x21: Cal. error 0.5050, RMSE 0.6962, R2 -18.9880
x22: Cal. error 0.5050, RMSE 0.7011, R2 -19.3398
x23: Cal. error 0.5050, RMSE 0.7061, R2 -19.6504
x24: Cal. error 0.5050, RMSE 0.7130, R2 -20.0120
x25: Cal. error 0.5050, RMSE 0.7184, R2 -20.2817
x26: Cal. error 0.5050, RMSE 0.7265, R2 -20.6326
x27: Cal. error 0.5050, RMSE 0.7323, R2 -20.8825
x28: Cal. error 0.5050, RMSE 0.7416, R2 -21.2574
x29: Cal. error 0.5050, RMSE 0.7484, R2 -21.4742
x30: Cal. error 0.5050, RMSE 0.7563, R2 -21.7909
x31: Cal. error 0.5050, RMSE 0.7619, R2 -21.9852
x32: Cal. error 0.5050, RMSE 0.7720, R2 -22.3564
x33: Cal. error 0.5050, RMSE 0.7758, R2 -22.4439
x34: Cal. error 0.5050, RMSE 0.7830, R2 -22.6787
x35: Cal. error 0.5050, RMSE 0.7882, R2 -22.7631
