Calibration metrics:
x0: Cal. error 0.5050, RMSE 0.7333, R2 -18.2537
x1: Cal. error 0.5050, RMSE 0.7296, R2 -17.9022
x2: Cal. error 0.5050, RMSE 0.7326, R2 -17.9845
x3: Cal. error 0.5050, RMSE 0.7335, R2 -17.8797
x4: Cal. error 0.5050, RMSE 0.7329, R2 -17.7861
x5: Cal. error 0.5050, RMSE 0.7308, R2 -17.7041
x6: Cal. error 0.5050, RMSE 0.7295, R2 -17.6647
x7: Cal. error 0.5050, RMSE 0.7278, R2 -17.6394
x8: Cal. error 0.5050, RMSE 0.7262, R2 -17.6481
x9: Cal. error 0.5050, RMSE 0.7226, R2 -17.6656
x10: Cal. error 0.5050, RMSE 0.7192, R2 -17.7123
x11: Cal. error 0.5050, RMSE 0.7163, R2 -17.8050
x12: Cal. error 0.5050, RMSE 0.7130, R2 -17.9285
x13: Cal. error 0.5050, RMSE 0.7109, R2 -18.0998
x14: Cal. error 0.5050, RMSE 0.7092, R2 -18.2845
x15: Cal. error 0.5050, RMSE 0.7080, R2 -18.5071
x16: Cal. error 0.5050, RMSE 0.7072, R2 -18.7647
x17: Cal. error 0.5050, RMSE 0.7076, R2 -19.0393
x18: Cal. error 0.5050, RMSE 0.7091, R2 -19.3448
x19: Cal. error 0.5050, RMSE 0.7119, R2 -19.6800
x20: Cal. error 0.5050, RMSE 0.7150, R2 -20.0126
x21: Cal. error 0.5050, RMSE 0.7198, R2 -20.3682
x22: Cal. error 0.5050, RMSE 0.7247, R2 -20.7333
x23: Cal. error 0.5050, RMSE 0.7306, R2 -21.1113
x24: Cal. error 0.5050, RMSE 0.7372, R2 -21.4640
x25: Cal. error 0.5050, RMSE 0.7440, R2 -21.8236
x26: Cal. error 0.5050, RMSE 0.7520, R2 -22.1767
x27: Cal. error 0.5050, RMSE 0.7592, R2 -22.5150
x28: Cal. error 0.5050, RMSE 0.7678, R2 -22.8558
x29: Cal. error 0.5050, RMSE 0.7763, R2 -23.1771
x30: Cal. error 0.5050, RMSE 0.7836, R2 -23.4678
x31: Cal. error 0.5050, RMSE 0.7907, R2 -23.7598
