Calibration metrics:
x0: Cal. error 0.2440, RMSE 0.1243, R2 0.4463
x1: Cal. error 0.2170, RMSE 0.1079, R2 0.5865
x2: Cal. error 0.2130, RMSE 0.0996, R2 0.6491
x3: Cal. error 0.2070, RMSE 0.0992, R2 0.6549
x4: Cal. error 0.1940, RMSE 0.0961, R2 0.6771
x5: Cal. error 0.1530, RMSE 0.0890, R2 0.7226
x6: Cal. error 0.1570, RMSE 0.0885, R2 0.7253
x7: Cal. error 0.1770, RMSE 0.0875, R2 0.7304
x8: Cal. error 0.2520, RMSE 0.0909, R2 0.7080
x9: Cal. error 0.2770, RMSE 0.0938, R2 0.6857
x10: Cal. error 0.2360, RMSE 0.0955, R2 0.6699
x11: Cal. error 0.2360, RMSE 0.0960, R2 0.6623
x12: Cal. error 0.2760, RMSE 0.0967, R2 0.6517
x13: Cal. error 0.2700, RMSE 0.0979, R2 0.6378
x14: Cal. error 0.2630, RMSE 0.1006, R2 0.6120
x15: Cal. error 0.2370, RMSE 0.0982, R2 0.6249
x16: Cal. error 0.2600, RMSE 0.0962, R2 0.6343
x17: Cal. error 0.2500, RMSE 0.0945, R2 0.6426
x18: Cal. error 0.2390, RMSE 0.0947, R2 0.6372
x19: Cal. error 0.2400, RMSE 0.0941, R2 0.6387
x20: Cal. error 0.2740, RMSE 0.0934, R2 0.6411
x21: Cal. error 0.2610, RMSE 0.0941, R2 0.6346
x22: Cal. error 0.2580, RMSE 0.0944, R2 0.6316
x23: Cal. error 0.2520, RMSE 0.0934, R2 0.6387
x24: Cal. error 0.2780, RMSE 0.0918, R2 0.6516
x25: Cal. error 0.2570, RMSE 0.0927, R2 0.6459
x26: Cal. error 0.2300, RMSE 0.0945, R2 0.6338
x27: Cal. error 0.2270, RMSE 0.0963, R2 0.6217
x28: Cal. error 0.2510, RMSE 0.0966, R2 0.6227
x29: Cal. error 0.2410, RMSE 0.0970, R2 0.6226
x30: Cal. error 0.2240, RMSE 0.0982, R2 0.6158
x31: Cal. error 0.2260, RMSE 0.0990, R2 0.6122
x32: Cal. error 0.2360, RMSE 0.0985, R2 0.6199
x33: Cal. error 0.2290, RMSE 0.0983, R2 0.6235
x34: Cal. error 0.2140, RMSE 0.0994, R2 0.6188
x35: Cal. error 0.1940, RMSE 0.1014, R2 0.6071
x36: Cal. error 0.2200, RMSE 0.1024, R2 0.6002
x37: Cal. error 0.2090, RMSE 0.1013, R2 0.6054
x38: Cal. error 0.2010, RMSE 0.1021, R2 0.6039
x39: Cal. error 0.1940, RMSE 0.1013, R2 0.6160
x40: Cal. error 0.2210, RMSE 0.0996, R2 0.6297
x41: Cal. error 0.2140, RMSE 0.0990, R2 0.6360
x42: Cal. error 0.1990, RMSE 0.1001, R2 0.6314
x43: Cal. error 0.1830, RMSE 0.1012, R2 0.6272
x44: Cal. error 0.2030, RMSE 0.1003, R2 0.6368
x45: Cal. error 0.2020, RMSE 0.1006, R2 0.6352
x46: Cal. error 0.2000, RMSE 0.0986, R2 0.6501
x47: Cal. error 0.2240, RMSE 0.0977, R2 0.6567
x48: Cal. error 0.2610, RMSE 0.0936, R2 0.6817
x49: Cal. error 0.2600, RMSE 0.0937, R2 0.6791
x50: Cal. error 0.2200, RMSE 0.0925, R2 0.6851
x51: Cal. error 0.2060, RMSE 0.0920, R2 0.6867
x52: Cal. error 0.2130, RMSE 0.0885, R2 0.7069
x53: Cal. error 0.1900, RMSE 0.0870, R2 0.7149
x54: Cal. error 0.1800, RMSE 0.0856, R2 0.7243
x55: Cal. error 0.1660, RMSE 0.0861, R2 0.7204
x56: Cal. error 0.2040, RMSE 0.0882, R2 0.7067
x57: Cal. error 0.2010, RMSE 0.0907, R2 0.6899
x58: Cal. error 0.2050, RMSE 0.0934, R2 0.6732
x59: Cal. error 0.2210, RMSE 0.0968, R2 0.6510
x60: Cal. error 0.2460, RMSE 0.1002, R2 0.6291
x61: Cal. error 0.2140, RMSE 0.0984, R2 0.6456
x62: Cal. error 0.2370, RMSE 0.1016, R2 0.6246
x63: Cal. error 0.2830, RMSE 0.1185, R2 0.4934
x64: Cal. error 0.2640, RMSE 0.1624, R2 0.0504
x65: Cal. error 0.2330, RMSE 0.1578, R2 0.1113
x66: Cal. error 0.2270, RMSE 0.1493, R2 0.2073
x67: Cal. error 0.2190, RMSE 0.1467, R2 0.2406
x68: Cal. error 0.2310, RMSE 0.1430, R2 0.2812
x69: Cal. error 0.1850, RMSE 0.1351, R2 0.3578
x70: Cal. error 0.2040, RMSE 0.1336, R2 0.3708
x71: Cal. error 0.2230, RMSE 0.1298, R2 0.4043
x72: Cal. error 0.2630, RMSE 0.1298, R2 0.4018
x73: Cal. error 0.2840, RMSE 0.1309, R2 0.3846
x74: Cal. error 0.2800, RMSE 0.1323, R2 0.3643
x75: Cal. error 0.2650, RMSE 0.1326, R2 0.3526
x76: Cal. error 0.3000, RMSE 0.1337, R2 0.3313
x77: Cal. error 0.2940, RMSE 0.1370, R2 0.2883
x78: Cal. error 0.2870, RMSE 0.1407, R2 0.2381
x79: Cal. error 0.2600, RMSE 0.1388, R2 0.2478
x80: Cal. error 0.2900, RMSE 0.1353, R2 0.2740
x81: Cal. error 0.2940, RMSE 0.1340, R2 0.2791
x82: Cal. error 0.3090, RMSE 0.1343, R2 0.2684
x83: Cal. error 0.2840, RMSE 0.1337, R2 0.2687
x84: Cal. error 0.2980, RMSE 0.1320, R2 0.2814
