Calibration metrics:
x0: Cal. error 0.1220, RMSE 0.1002, R2 0.6403
x1: Cal. error 0.0610, RMSE 0.0831, R2 0.7548
x2: Cal. error 0.1540, RMSE 0.0898, R2 0.7149
x3: Cal. error 0.1940, RMSE 0.0858, R2 0.7420
x4: Cal. error 0.1910, RMSE 0.0839, R2 0.7538
x5: Cal. error 0.1690, RMSE 0.0869, R2 0.7355
x6: Cal. error 0.1290, RMSE 0.0866, R2 0.7371
x7: Cal. error 0.1540, RMSE 0.0875, R2 0.7308
x8: Cal. error 0.1710, RMSE 0.0883, R2 0.7245
x9: Cal. error 0.1760, RMSE 0.0905, R2 0.7069
x10: Cal. error 0.1800, RMSE 0.0905, R2 0.7040
x11: Cal. error 0.2060, RMSE 0.0893, R2 0.7079
x12: Cal. error 0.2010, RMSE 0.0881, R2 0.7109
x13: Cal. error 0.1940, RMSE 0.0890, R2 0.7003
x14: Cal. error 0.1490, RMSE 0.0888, R2 0.6980
x15: Cal. error 0.1530, RMSE 0.0881, R2 0.6982
x16: Cal. error 0.1420, RMSE 0.0858, R2 0.7088
x17: Cal. error 0.1170, RMSE 0.0876, R2 0.6930
x18: Cal. error 0.1000, RMSE 0.0893, R2 0.6771
x19: Cal. error 0.1350, RMSE 0.0905, R2 0.6655
x20: Cal. error 0.1290, RMSE 0.0892, R2 0.6726
x21: Cal. error 0.1320, RMSE 0.0916, R2 0.6538
x22: Cal. error 0.1060, RMSE 0.0945, R2 0.6301
x23: Cal. error 0.1320, RMSE 0.0949, R2 0.6271
x24: Cal. error 0.1400, RMSE 0.0920, R2 0.6502
x25: Cal. error 0.1390, RMSE 0.0940, R2 0.6356
x26: Cal. error 0.1050, RMSE 0.0964, R2 0.6193
x27: Cal. error 0.1390, RMSE 0.0980, R2 0.6083
x28: Cal. error 0.1300, RMSE 0.0954, R2 0.6314
x29: Cal. error 0.1270, RMSE 0.0989, R2 0.6074
x30: Cal. error 0.0970, RMSE 0.0987, R2 0.6117
x31: Cal. error 0.1230, RMSE 0.0998, R2 0.6053
x32: Cal. error 0.1430, RMSE 0.0973, R2 0.6287
x33: Cal. error 0.1480, RMSE 0.1013, R2 0.6003
x34: Cal. error 0.1330, RMSE 0.1025, R2 0.5946
x35: Cal. error 0.1630, RMSE 0.1043, R2 0.5842
x36: Cal. error 0.1590, RMSE 0.1001, R2 0.6177
x37: Cal. error 0.1660, RMSE 0.1023, R2 0.5974
x38: Cal. error 0.1230, RMSE 0.1018, R2 0.6055
x39: Cal. error 0.1570, RMSE 0.1037, R2 0.5973
x40: Cal. error 0.1650, RMSE 0.1005, R2 0.6234
x41: Cal. error 0.1630, RMSE 0.1037, R2 0.6010
x42: Cal. error 0.1460, RMSE 0.1043, R2 0.5998
x43: Cal. error 0.1790, RMSE 0.1061, R2 0.5904
x44: Cal. error 0.1960, RMSE 0.1020, R2 0.6247
x45: Cal. error 0.1860, RMSE 0.1041, R2 0.6092
x46: Cal. error 0.1270, RMSE 0.1027, R2 0.6207
x47: Cal. error 0.1540, RMSE 0.1031, R2 0.6178
x48: Cal. error 0.1640, RMSE 0.0975, R2 0.6546
x49: Cal. error 0.1480, RMSE 0.0988, R2 0.6428
x50: Cal. error 0.1200, RMSE 0.0981, R2 0.6457
x51: Cal. error 0.1500, RMSE 0.0988, R2 0.6389
x52: Cal. error 0.1680, RMSE 0.0943, R2 0.6676
x53: Cal. error 0.1660, RMSE 0.0956, R2 0.6562
x54: Cal. error 0.0930, RMSE 0.0949, R2 0.6610
x55: Cal. error 0.1050, RMSE 0.0959, R2 0.6535
x56: Cal. error 0.1290, RMSE 0.0928, R2 0.6753
x57: Cal. error 0.1230, RMSE 0.0939, R2 0.6677
x58: Cal. error 0.1080, RMSE 0.0946, R2 0.6645
x59: Cal. error 0.1290, RMSE 0.0915, R2 0.6884
x60: Cal. error 0.1450, RMSE 0.0832, R2 0.7443
x61: Cal. error 0.1260, RMSE 0.0857, R2 0.7311
x62: Cal. error 0.1020, RMSE 0.0839, R2 0.7441
x63: Cal. error 0.0530, RMSE 0.0866, R2 0.7292
x64: Cal. error 0.1830, RMSE 0.1301, R2 0.3902
x65: Cal. error 0.0910, RMSE 0.1203, R2 0.4830
x66: Cal. error 0.1700, RMSE 0.1312, R2 0.3881
x67: Cal. error 0.1950, RMSE 0.1288, R2 0.4149
x68: Cal. error 0.1950, RMSE 0.1272, R2 0.4314
x69: Cal. error 0.1890, RMSE 0.1303, R2 0.4026
x70: Cal. error 0.1700, RMSE 0.1295, R2 0.4088
x71: Cal. error 0.1620, RMSE 0.1301, R2 0.4011
x72: Cal. error 0.1940, RMSE 0.1290, R2 0.4089
x73: Cal. error 0.1810, RMSE 0.1313, R2 0.3809
x74: Cal. error 0.1980, RMSE 0.1308, R2 0.3786
x75: Cal. error 0.2130, RMSE 0.1289, R2 0.3888
x76: Cal. error 0.2270, RMSE 0.1262, R2 0.4048
x77: Cal. error 0.2240, RMSE 0.1268, R2 0.3902
x78: Cal. error 0.1840, RMSE 0.1260, R2 0.3893
x79: Cal. error 0.1810, RMSE 0.1246, R2 0.3935
x80: Cal. error 0.1640, RMSE 0.1215, R2 0.4144
x81: Cal. error 0.1470, RMSE 0.1232, R2 0.3907
x82: Cal. error 0.1370, RMSE 0.1249, R2 0.3666
x83: Cal. error 0.1390, RMSE 0.1262, R2 0.3482
x84: Cal. error 0.1730, RMSE 0.1249, R2 0.3567
x85: Cal. error 0.1680, RMSE 0.1277, R2 0.3257
x86: Cal. error 0.1590, RMSE 0.1309, R2 0.2892
x87: Cal. error 0.1650, RMSE 0.1315, R2 0.2816
x88: Cal. error 0.1670, RMSE 0.1286, R2 0.3148
x89: Cal. error 0.1570, RMSE 0.1312, R2 0.2884
x90: Cal. error 0.1450, RMSE 0.1335, R2 0.2671
x91: Cal. error 0.1640, RMSE 0.1359, R2 0.2450
x92: Cal. error 0.1970, RMSE 0.1336, R2 0.2756
x93: Cal. error 0.1800, RMSE 0.1383, R2 0.2306
x94: Cal. error 0.1500, RMSE 0.1389, R2 0.2300
x95: Cal. error 0.1590, RMSE 0.1413, R2 0.2080
x96: Cal. error 0.1700, RMSE 0.1393, R2 0.2374
x97: Cal. error 0.1800, RMSE 0.1447, R2 0.1826
x98: Cal. error 0.1640, RMSE 0.1466, R2 0.1686
x99: Cal. error 0.1890, RMSE 0.1495, R2 0.1434
x100: Cal. error 0.1970, RMSE 0.1445, R2 0.2020
x101: Cal. error 0.1810, RMSE 0.1470, R2 0.1675
x102: Cal. error 0.1560, RMSE 0.1464, R2 0.1830
x103: Cal. error 0.1940, RMSE 0.1490, R2 0.1669
x104: Cal. error 0.2110, RMSE 0.1452, R2 0.2118
x105: Cal. error 0.2240, RMSE 0.1496, R2 0.1675
x106: Cal. error 0.2000, RMSE 0.1504, R2 0.1666
x107: Cal. error 0.2200, RMSE 0.1526, R2 0.1502
x108: Cal. error 0.2610, RMSE 0.1479, R2 0.2077
x109: Cal. error 0.2510, RMSE 0.1499, R2 0.1873
x110: Cal. error 0.2050, RMSE 0.1472, R2 0.2183
x111: Cal. error 0.2060, RMSE 0.1467, R2 0.2232
x112: Cal. error 0.2220, RMSE 0.1402, R2 0.2844
x113: Cal. error 0.2080, RMSE 0.1415, R2 0.2648
x114: Cal. error 0.1860, RMSE 0.1402, R2 0.2735
x115: Cal. error 0.1930, RMSE 0.1410, R2 0.2613
x116: Cal. error 0.2090, RMSE 0.1359, R2 0.3062
x117: Cal. error 0.1960, RMSE 0.1374, R2 0.2867
x118: Cal. error 0.1540, RMSE 0.1358, R2 0.3014
x119: Cal. error 0.1400, RMSE 0.1371, R2 0.2876
x120: Cal. error 0.1700, RMSE 0.1341, R2 0.3183
x121: Cal. error 0.1820, RMSE 0.1354, R2 0.3049
x122: Cal. error 0.1560, RMSE 0.1348, R2 0.3153
x123: Cal. error 0.1600, RMSE 0.1307, R2 0.3605
x124: Cal. error 0.1670, RMSE 0.1222, R2 0.4455
x125: Cal. error 0.1550, RMSE 0.1233, R2 0.4403
x126: Cal. error 0.1590, RMSE 0.1202, R2 0.4712
x127: Cal. error 0.1160, RMSE 0.1215, R2 0.4637
x128: Cal. error 0.1790, RMSE 0.1434, R2 0.2550
x129: Cal. error 0.1320, RMSE 0.1349, R2 0.3468
x130: Cal. error 0.1940, RMSE 0.1462, R2 0.2346
x131: Cal. error 0.1970, RMSE 0.1451, R2 0.2521
x132: Cal. error 0.1990, RMSE 0.1437, R2 0.2687
x133: Cal. error 0.1970, RMSE 0.1468, R2 0.2359
x134: Cal. error 0.1790, RMSE 0.1456, R2 0.2476
x135: Cal. error 0.1760, RMSE 0.1457, R2 0.2446
x136: Cal. error 0.1960, RMSE 0.1440, R2 0.2588
x137: Cal. error 0.1990, RMSE 0.1454, R2 0.2352
x138: Cal. error 0.2240, RMSE 0.1446, R2 0.2354
x139: Cal. error 0.2430, RMSE 0.1424, R2 0.2482
x140: Cal. error 0.2380, RMSE 0.1392, R2 0.2707
x141: Cal. error 0.2340, RMSE 0.1394, R2 0.2580
x142: Cal. error 0.2010, RMSE 0.1382, R2 0.2602
x143: Cal. error 0.1940, RMSE 0.1364, R2 0.2682
x144: Cal. error 0.1610, RMSE 0.1332, R2 0.2916
x145: Cal. error 0.1450, RMSE 0.1342, R2 0.2719
x146: Cal. error 0.1470, RMSE 0.1357, R2 0.2475
x147: Cal. error 0.1600, RMSE 0.1366, R2 0.2312
x148: Cal. error 0.1650, RMSE 0.1353, R2 0.2401
x149: Cal. error 0.1730, RMSE 0.1375, R2 0.2127
x150: Cal. error 0.1730, RMSE 0.1402, R2 0.1790
x151: Cal. error 0.1850, RMSE 0.1408, R2 0.1717
x152: Cal. error 0.1800, RMSE 0.1382, R2 0.2029
x153: Cal. error 0.1810, RMSE 0.1409, R2 0.1742
x154: Cal. error 0.1660, RMSE 0.1433, R2 0.1510
x155: Cal. error 0.1750, RMSE 0.1459, R2 0.1235
x156: Cal. error 0.2030, RMSE 0.1442, R2 0.1515
x157: Cal. error 0.1940, RMSE 0.1490, R2 0.1019
x158: Cal. error 0.1640, RMSE 0.1498, R2 0.0982
x159: Cal. error 0.1690, RMSE 0.1528, R2 0.0671
x160: Cal. error 0.1860, RMSE 0.1512, R2 0.0964
x161: Cal. error 0.1860, RMSE 0.1571, R2 0.0298
x162: Cal. error 0.1900, RMSE 0.1594, R2 0.0104
x163: Cal. error 0.1940, RMSE 0.1635, R2 -0.0310
x164: Cal. error 0.2040, RMSE 0.1593, R2 0.0237
x165: Cal. error 0.2130, RMSE 0.1622, R2 -0.0207
x166: Cal. error 0.2000, RMSE 0.1619, R2 -0.0044
x167: Cal. error 0.2110, RMSE 0.1645, R2 -0.0214
x168: Cal. error 0.2330, RMSE 0.1605, R2 0.0310
x169: Cal. error 0.2360, RMSE 0.1651, R2 -0.0197
x170: Cal. error 0.2170, RMSE 0.1661, R2 -0.0214
x171: Cal. error 0.2430, RMSE 0.1684, R2 -0.0408
x172: Cal. error 0.2540, RMSE 0.1639, R2 0.0227
x173: Cal. error 0.2450, RMSE 0.1656, R2 0.0041
x174: Cal. error 0.2150, RMSE 0.1623, R2 0.0448
x175: Cal. error 0.2070, RMSE 0.1613, R2 0.0566
x176: Cal. error 0.2220, RMSE 0.1543, R2 0.1291
x177: Cal. error 0.2090, RMSE 0.1550, R2 0.1150
x178: Cal. error 0.1770, RMSE 0.1536, R2 0.1247
x179: Cal. error 0.2030, RMSE 0.1545, R2 0.1098
x180: Cal. error 0.2200, RMSE 0.1499, R2 0.1530
x181: Cal. error 0.2220, RMSE 0.1513, R2 0.1318
x182: Cal. error 0.1710, RMSE 0.1496, R2 0.1495
x183: Cal. error 0.1720, RMSE 0.1510, R2 0.1321
x184: Cal. error 0.2030, RMSE 0.1488, R2 0.1579
x185: Cal. error 0.2040, RMSE 0.1502, R2 0.1411
x186: Cal. error 0.1960, RMSE 0.1499, R2 0.1494
x187: Cal. error 0.1910, RMSE 0.1462, R2 0.1967
x188: Cal. error 0.2010, RMSE 0.1381, R2 0.2878
x189: Cal. error 0.1670, RMSE 0.1383, R2 0.2921
x190: Cal. error 0.1790, RMSE 0.1350, R2 0.3296
x191: Cal. error 0.1130, RMSE 0.1359, R2 0.3259
x192: Cal. error 0.2020, RMSE 0.1514, R2 0.1695
x193: Cal. error 0.1530, RMSE 0.1432, R2 0.2633
x194: Cal. error 0.2120, RMSE 0.1551, R2 0.1389
x195: Cal. error 0.2060, RMSE 0.1546, R2 0.1506
x196: Cal. error 0.2230, RMSE 0.1534, R2 0.1663
x197: Cal. error 0.2310, RMSE 0.1564, R2 0.1320
x198: Cal. error 0.2240, RMSE 0.1551, R2 0.1450
x199: Cal. error 0.2210, RMSE 0.1550, R2 0.1427
x200: Cal. error 0.2410, RMSE 0.1529, R2 0.1614
x201: Cal. error 0.2440, RMSE 0.1540, R2 0.1405
x202: Cal. error 0.2460, RMSE 0.1528, R2 0.1439
x203: Cal. error 0.2610, RMSE 0.1505, R2 0.1577
x204: Cal. error 0.2600, RMSE 0.1471, R2 0.1827
x205: Cal. error 0.2440, RMSE 0.1469, R2 0.1728
x206: Cal. error 0.2140, RMSE 0.1456, R2 0.1752
x207: Cal. error 0.1990, RMSE 0.1439, R2 0.1833
x208: Cal. error 0.1840, RMSE 0.1406, R2 0.2080
x209: Cal. error 0.1760, RMSE 0.1410, R2 0.1934
x210: Cal. error 0.1610, RMSE 0.1422, R2 0.1702
x211: Cal. error 0.1690, RMSE 0.1429, R2 0.1547
x212: Cal. error 0.1960, RMSE 0.1420, R2 0.1594
x213: Cal. error 0.1940, RMSE 0.1441, R2 0.1326
x214: Cal. error 0.1910, RMSE 0.1461, R2 0.1049
x215: Cal. error 0.1940, RMSE 0.1464, R2 0.1001
x216: Cal. error 0.2090, RMSE 0.1443, R2 0.1284
x217: Cal. error 0.1990, RMSE 0.1468, R2 0.0995
x218: Cal. error 0.1840, RMSE 0.1492, R2 0.0759
x219: Cal. error 0.2010, RMSE 0.1520, R2 0.0459
x220: Cal. error 0.2130, RMSE 0.1509, R2 0.0671
x221: Cal. error 0.2140, RMSE 0.1555, R2 0.0177
x222: Cal. error 0.1930, RMSE 0.1560, R2 0.0182
x223: Cal. error 0.1870, RMSE 0.1588, R2 -0.0105
x224: Cal. error 0.2040, RMSE 0.1575, R2 0.0153
x225: Cal. error 0.2170, RMSE 0.1638, R2 -0.0579
x226: Cal. error 0.1990, RMSE 0.1663, R2 -0.0810
x227: Cal. error 0.2170, RMSE 0.1712, R2 -0.1340
x228: Cal. error 0.2500, RMSE 0.1677, R2 -0.0852
x229: Cal. error 0.2510, RMSE 0.1708, R2 -0.1342
x230: Cal. error 0.2280, RMSE 0.1699, R2 -0.1094
x231: Cal. error 0.2330, RMSE 0.1726, R2 -0.1268
x232: Cal. error 0.2510, RMSE 0.1687, R2 -0.0719
x233: Cal. error 0.2430, RMSE 0.1732, R2 -0.1241
x234: Cal. error 0.2410, RMSE 0.1740, R2 -0.1218
x235: Cal. error 0.2550, RMSE 0.1763, R2 -0.1415
x236: Cal. error 0.2930, RMSE 0.1719, R2 -0.0758
x237: Cal. error 0.2800, RMSE 0.1735, R2 -0.0936
x238: Cal. error 0.2440, RMSE 0.1700, R2 -0.0468
x239: Cal. error 0.2300, RMSE 0.1690, R2 -0.0345
x240: Cal. error 0.2280, RMSE 0.1621, R2 0.0393
x241: Cal. error 0.2230, RMSE 0.1626, R2 0.0265
x242: Cal. error 0.2010, RMSE 0.1607, R2 0.0430
x243: Cal. error 0.2280, RMSE 0.1614, R2 0.0291
x244: Cal. error 0.2610, RMSE 0.1574, R2 0.0665
x245: Cal. error 0.2600, RMSE 0.1588, R2 0.0436
x246: Cal. error 0.2040, RMSE 0.1575, R2 0.0581
x247: Cal. error 0.2040, RMSE 0.1588, R2 0.0411
x248: Cal. error 0.2320, RMSE 0.1567, R2 0.0672
x249: Cal. error 0.2370, RMSE 0.1580, R2 0.0505
x250: Cal. error 0.2230, RMSE 0.1576, R2 0.0602
x251: Cal. error 0.2210, RMSE 0.1539, R2 0.1089
x252: Cal. error 0.2080, RMSE 0.1465, R2 0.1987
x253: Cal. error 0.1880, RMSE 0.1463, R2 0.2074
