Calibration metrics:
x0: Cal. error 0.5050, RMSE 0.7176, R2 -17.5265
x1: Cal. error 0.5050, RMSE 0.7179, R2 -17.3879
x2: Cal. error 0.5050, RMSE 0.7162, R2 -17.2275
x3: Cal. error 0.5050, RMSE 0.7171, R2 -17.1231
x4: Cal. error 0.5050, RMSE 0.7159, R2 -17.0037
x5: Cal. error 0.5050, RMSE 0.7140, R2 -16.9337
x6: Cal. error 0.5050, RMSE 0.7125, R2 -16.8788
x7: Cal. error 0.5050, RMSE 0.7106, R2 -16.8466
x8: Cal. error 0.5050, RMSE 0.7090, R2 -16.8492
x9: Cal. error 0.5050, RMSE 0.7053, R2 -16.8573
x10: Cal. error 0.5050, RMSE 0.7021, R2 -16.9077
x11: Cal. error 0.5050, RMSE 0.6991, R2 -16.9876
x12: Cal. error 0.5050, RMSE 0.6960, R2 -17.1089
x13: Cal. error 0.5050, RMSE 0.6937, R2 -17.2638
x14: Cal. error 0.5050, RMSE 0.6922, R2 -17.4513
x15: Cal. error 0.5050, RMSE 0.6909, R2 -17.6539
x16: Cal. error 0.5050, RMSE 0.6903, R2 -17.9073
x17: Cal. error 0.5050, RMSE 0.6905, R2 -18.1577
x18: Cal. error 0.5050, RMSE 0.6923, R2 -18.4638
x19: Cal. error 0.5050, RMSE 0.6948, R2 -18.7716
x20: Cal. error 0.5050, RMSE 0.6980, R2 -19.0993
x21: Cal. error 0.5050, RMSE 0.7025, R2 -19.4242
x22: Cal. error 0.5050, RMSE 0.7077, R2 -19.7858
x23: Cal. error 0.5050, RMSE 0.7133, R2 -20.1344
x24: Cal. error 0.5050, RMSE 0.7199, R2 -20.4775
x25: Cal. error 0.5050, RMSE 0.7264, R2 -20.8039
x26: Cal. error 0.5050, RMSE 0.7345, R2 -21.1546
x27: Cal. error 0.5050, RMSE 0.7413, R2 -21.4588
x28: Cal. error 0.5050, RMSE 0.7500, R2 -21.7930
x29: Cal. error 0.5050, RMSE 0.7580, R2 -22.0774
x30: Cal. error 0.5050, RMSE 0.7656, R2 -22.3719
x31: Cal. error 0.5050, RMSE 0.7723, R2 -22.6286
x32: Cal. error 0.5050, RMSE 0.7813, R2 -22.9254
x33: Cal. error 0.5050, RMSE 0.7866, R2 -23.0929
x34: Cal. error 0.5050, RMSE 0.7930, R2 -23.2776
x35: Cal. error 0.5050, RMSE 0.7994, R2 -23.4234
x36: Cal. error 0.5050, RMSE 0.8038, R2 -23.6173
x37: Cal. error 0.5050, RMSE 0.8004, R2 -23.6149
x38: Cal. error 0.5050, RMSE 0.8061, R2 -23.6889
x39: Cal. error 0.5050, RMSE 0.8129, R2 -23.7130
x40: Cal. error 0.5050, RMSE 0.8146, R2 -23.7306
