Calibration metrics:
x0: Cal. error 0.5050, RMSE 0.7012, R2 -16.6901
x1: Cal. error 0.5050, RMSE 0.6927, R2 -16.1174
x2: Cal. error 0.5050, RMSE 0.7044, R2 -16.6334
x3: Cal. error 0.5050, RMSE 0.7041, R2 -16.4736
x4: Cal. error 0.5050, RMSE 0.7052, R2 -16.4708
x5: Cal. error 0.5050, RMSE 0.7025, R2 -16.3587
x6: Cal. error 0.5050, RMSE 0.7020, R2 -16.3580
x7: Cal. error 0.5050, RMSE 0.6987, R2 -16.2515
x8: Cal. error 0.5050, RMSE 0.6986, R2 -16.3310
x9: Cal. error 0.5050, RMSE 0.6931, R2 -16.2436
x10: Cal. error 0.5050, RMSE 0.6918, R2 -16.3863
x11: Cal. error 0.5050, RMSE 0.6883, R2 -16.4337
x12: Cal. error 0.5050, RMSE 0.6858, R2 -16.5821
x13: Cal. error 0.5050, RMSE 0.6820, R2 -16.6528
x14: Cal. error 0.5050, RMSE 0.6822, R2 -16.9186
x15: Cal. error 0.5050, RMSE 0.6802, R2 -17.0837
x16: Cal. error 0.5050, RMSE 0.6803, R2 -17.3658
x17: Cal. error 0.5050, RMSE 0.6781, R2 -17.4777
x18: Cal. error 0.5050, RMSE 0.6823, R2 -17.9092
x19: Cal. error 0.5050, RMSE 0.6846, R2 -18.1965
x20: Cal. error 0.5050, RMSE 0.6880, R2 -18.5301
x21: Cal. error 0.5050, RMSE 0.6912, R2 -18.7685
x22: Cal. error 0.5050, RMSE 0.6976, R2 -19.2010
x23: Cal. error 0.5050, RMSE 0.7030, R2 -19.5301
x24: Cal. error 0.5050, RMSE 0.7098, R2 -19.8796
x25: Cal. error 0.5050, RMSE 0.7139, R2 -20.0613
x26: Cal. error 0.5050, RMSE 0.7242, R2 -20.5371
x27: Cal. error 0.5050, RMSE 0.7309, R2 -20.8348
x28: Cal. error 0.5050, RMSE 0.7395, R2 -21.1623
x29: Cal. error 0.5050, RMSE 0.7461, R2 -21.3573
x30: Cal. error 0.5050, RMSE 0.7550, R2 -21.7267
x31: Cal. error 0.5050, RMSE 0.7614, R2 -21.9681
x32: Cal. error 0.5050, RMSE 0.7704, R2 -22.2660
x33: Cal. error 0.5050, RMSE 0.7736, R2 -22.3050
x34: Cal. error 0.5050, RMSE 0.7819, R2 -22.6035
x35: Cal. error 0.5050, RMSE 0.7881, R2 -22.7428
x36: Cal. error 0.5050, RMSE 0.7926, R2 -22.9358
x37: Cal. error 0.5050, RMSE 0.7880, R2 -22.8594
x38: Cal. error 0.5050, RMSE 0.7949, R2 -23.0047
x39: Cal. error 0.5050, RMSE 0.8012, R2 -23.0098
x40: Cal. error 0.5050, RMSE 0.8032, R2 -23.0407
x41: Cal. error 0.5050, RMSE 0.8021, R2 -22.8479
x42: Cal. error 0.5050, RMSE 0.8073, R2 -22.9215
x43: Cal. error 0.5050, RMSE 0.8089, R2 -22.7997
x44: Cal. error 0.5050, RMSE 0.8108, R2 -22.7077
x45: Cal. error 0.5050, RMSE 0.8069, R2 -22.4509
x46: Cal. error 0.5050, RMSE 0.8055, R2 -22.3222
x47: Cal. error 0.5050, RMSE 0.8009, R2 -22.0665
x48: Cal. error 0.5050, RMSE 0.7930, R2 -21.8265
x49: Cal. error 0.5050, RMSE 0.7825, R2 -21.4063
x50: Cal. error 0.5050, RMSE 0.7771, R2 -21.2430
x51: Cal. error 0.5050, RMSE 0.7686, R2 -20.8909
x52: Cal. error 0.5050, RMSE 0.7584, R2 -20.5562
x53: Cal. error 0.5050, RMSE 0.7481, R2 -20.1086
x54: Cal. error 0.5050, RMSE 0.7428, R2 -19.8452
x55: Cal. error 0.5050, RMSE 0.7349, R2 -19.4399
x56: Cal. error 0.5050, RMSE 0.7297, R2 -19.1419
x57: Cal. error 0.5050, RMSE 0.7222, R2 -18.7474
x58: Cal. error 0.5050, RMSE 0.7194, R2 -18.4866
x59: Cal. error 0.5050, RMSE 0.7143, R2 -18.0861
x60: Cal. error 0.5050, RMSE 0.7131, R2 -17.8752
x61: Cal. error 0.5050, RMSE 0.7072, R2 -17.4089
x62: Cal. error 0.5050, RMSE 0.7040, R2 -17.1261
x63: Cal. error 0.5050, RMSE 0.7123, R2 -17.4072
x64: Cal. error 0.5050, RMSE 0.6998, R2 -16.7056
x65: Cal. error 0.5050, RMSE 0.6941, R2 -16.2707
x66: Cal. error 0.5050, RMSE 0.7041, R2 -16.7027
x67: Cal. error 0.5050, RMSE 0.7038, R2 -16.5418
x68: Cal. error 0.5050, RMSE 0.7053, R2 -16.5602
x69: Cal. error 0.5050, RMSE 0.7024, R2 -16.4366
x70: Cal. error 0.5050, RMSE 0.7020, R2 -16.4349
x71: Cal. error 0.5050, RMSE 0.6990, R2 -16.3451
x72: Cal. error 0.5050, RMSE 0.6987, R2 -16.4084
x73: Cal. error 0.5050, RMSE 0.6931, R2 -16.3131
x74: Cal. error 0.5050, RMSE 0.6918, R2 -16.4506
x75: Cal. error 0.5050, RMSE 0.6883, R2 -16.4996
x76: Cal. error 0.5050, RMSE 0.6858, R2 -16.6432
x77: Cal. error 0.5050, RMSE 0.6817, R2 -16.6884
x78: Cal. error 0.5050, RMSE 0.6821, R2 -16.9650
x79: Cal. error 0.5050, RMSE 0.6802, R2 -17.1318
x80: Cal. error 0.5050, RMSE 0.6803, R2 -17.4132
x81: Cal. error 0.5050, RMSE 0.6777, R2 -17.4997
x82: Cal. error 0.5050, RMSE 0.6822, R2 -17.9437
x83: Cal. error 0.5050, RMSE 0.6845, R2 -18.2313
x84: Cal. error 0.5050, RMSE 0.6880, R2 -18.5645
x85: Cal. error 0.5050, RMSE 0.6905, R2 -18.7678
x86: Cal. error 0.5050, RMSE 0.6974, R2 -19.2210
x87: Cal. error 0.5050, RMSE 0.7029, R2 -19.5539
x88: Cal. error 0.5050, RMSE 0.7097, R2 -19.9012
x89: Cal. error 0.5050, RMSE 0.7131, R2 -20.0384
x90: Cal. error 0.5050, RMSE 0.7239, R2 -20.5397
x91: Cal. error 0.5050, RMSE 0.7308, R2 -20.8453
x92: Cal. error 0.5050, RMSE 0.7394, R2 -21.1693
x93: Cal. error 0.5050, RMSE 0.7453, R2 -21.3201
x94: Cal. error 0.5050, RMSE 0.7546, R2 -21.7186
x95: Cal. error 0.5050, RMSE 0.7613, R2 -21.9706
x96: Cal. error 0.5050, RMSE 0.7703, R2 -22.2688
x97: Cal. error 0.5050, RMSE 0.7727, R2 -22.2638
x98: Cal. error 0.5050, RMSE 0.7815, R2 -22.5908
x99: Cal. error 0.5050, RMSE 0.7879, R2 -22.7425
x100: Cal. error 0.5050, RMSE 0.7924, R2 -22.9341
x101: Cal. error 0.5050, RMSE 0.7871, R2 -22.8199
x102: Cal. error 0.5050, RMSE 0.7945, R2 -22.9992
x103: Cal. error 0.5050, RMSE 0.8010, R2 -23.0164
x104: Cal. error 0.5050, RMSE 0.8030, R2 -23.0572
x105: Cal. error 0.5050, RMSE 0.8015, R2 -22.8394
x106: Cal. error 0.5050, RMSE 0.8070, R2 -22.9332
x107: Cal. error 0.5050, RMSE 0.8087, R2 -22.8167
x108: Cal. error 0.5050, RMSE 0.8107, R2 -22.7363
x109: Cal. error 0.5050, RMSE 0.8063, R2 -22.4508
x110: Cal. error 0.5050, RMSE 0.8053, R2 -22.3511
x111: Cal. error 0.5050, RMSE 0.8008, R2 -22.0984
x112: Cal. error 0.5050, RMSE 0.7930, R2 -21.8687
x113: Cal. error 0.5050, RMSE 0.7822, R2 -21.4310
x114: Cal. error 0.5050, RMSE 0.7771, R2 -21.2847
x115: Cal. error 0.5050, RMSE 0.7685, R2 -20.9363
x116: Cal. error 0.5050, RMSE 0.7585, R2 -20.6134
x117: Cal. error 0.5050, RMSE 0.7479, R2 -20.1517
x118: Cal. error 0.5050, RMSE 0.7429, R2 -19.9096
x119: Cal. error 0.5050, RMSE 0.7349, R2 -19.5047
x120: Cal. error 0.5050, RMSE 0.7298, R2 -19.2225
x121: Cal. error 0.5050, RMSE 0.7218, R2 -18.8042
x122: Cal. error 0.5050, RMSE 0.7195, R2 -18.5743
x123: Cal. error 0.5050, RMSE 0.7133, R2 -18.1158
x124: Cal. error 0.5050, RMSE 0.7132, R2 -17.9686
x125: Cal. error 0.5050, RMSE 0.7066, R2 -17.4644
x126: Cal. error 0.5050, RMSE 0.7018, R2 -17.1005
x127: Cal. error 0.5050, RMSE 0.7145, R2 -17.6097
x128: Cal. error 0.5050, RMSE 0.7300, R2 -16.2530
x129: Cal. error 0.5050, RMSE 0.7443, R2 -16.0282
x130: Cal. error 0.5050, RMSE 0.7609, R2 -15.5357
x131: Cal. error 0.5050, RMSE 0.7594, R2 -15.1868
x132: Cal. error 0.5050, RMSE 0.7673, R2 -15.1465
x133: Cal. error 0.5050, RMSE 0.7656, R2 -14.8874
x134: Cal. error 0.5050, RMSE 0.7719, R2 -14.7569
x135: Cal. error 0.5050, RMSE 0.7740, R2 -14.5613
x136: Cal. error 0.5050, RMSE 0.7565, R2 -14.3684
x137: Cal. error 0.5050, RMSE 0.7421, R2 -14.2375
x138: Cal. error 0.5050, RMSE 0.7303, R2 -14.1144
x139: Cal. error 0.5050, RMSE 0.7203, R2 -14.0756
x140: Cal. error 0.5050, RMSE 0.7032, R2 -14.1447
x141: Cal. error 0.5050, RMSE 0.6865, R2 -14.3410
x142: Cal. error 0.5050, RMSE 0.6730, R2 -14.4971
x143: Cal. error 0.5050, RMSE 0.6677, R2 -14.8352
x144: Cal. error 0.5050, RMSE 0.6673, R2 -15.3376
x145: Cal. error 0.5050, RMSE 0.6712, R2 -15.9899
x146: Cal. error 0.5050, RMSE 0.6741, R2 -16.5569
x147: Cal. error 0.5050, RMSE 0.6822, R2 -17.2450
x148: Cal. error 0.5050, RMSE 0.6930, R2 -18.0903
x149: Cal. error 0.5050, RMSE 0.7088, R2 -18.9940
x150: Cal. error 0.5050, RMSE 0.7254, R2 -19.6776
x151: Cal. error 0.5050, RMSE 0.7338, R2 -20.3745
x152: Cal. error 0.5050, RMSE 0.7298, R2 -21.0096
x153: Cal. error 0.5050, RMSE 0.7357, R2 -21.5174
x154: Cal. error 0.5050, RMSE 0.7492, R2 -21.7671
x155: Cal. error 0.5050, RMSE 0.7702, R2 -22.0281
x156: Cal. error 0.5050, RMSE 0.8090, R2 -22.5097
x157: Cal. error 0.5050, RMSE 0.8643, R2 -23.1113
x158: Cal. error 0.5050, RMSE 0.9264, R2 -23.4251
x159: Cal. error 0.5050, RMSE 0.9359, R2 -23.5863
x160: Cal. error 0.5050, RMSE 0.9281, R2 -23.6878
x161: Cal. error 0.5050, RMSE 0.9061, R2 -23.5782
x162: Cal. error 0.5050, RMSE 0.9038, R2 -23.2885
x163: Cal. error 0.5050, RMSE 0.9040, R2 -23.1644
x164: Cal. error 0.5050, RMSE 0.9226, R2 -23.3573
x165: Cal. error 0.5050, RMSE 0.9520, R2 -23.6347
x166: Cal. error 0.5050, RMSE 0.9765, R2 -23.6335
x167: Cal. error 0.5050, RMSE 1.0029, R2 -23.6605
x168: Cal. error 0.5050, RMSE 1.0370, R2 -23.7924
x169: Cal. error 0.5050, RMSE 1.0169, R2 -23.8220
x170: Cal. error 0.5050, RMSE 0.9997, R2 -23.7094
x171: Cal. error 0.5050, RMSE 1.0391, R2 -23.5819
x172: Cal. error 0.5050, RMSE 1.0489, R2 -23.7389
x173: Cal. error 0.5050, RMSE 1.0163, R2 -23.9189
x174: Cal. error 0.5050, RMSE 0.9750, R2 -23.9397
x175: Cal. error 0.5050, RMSE 0.9452, R2 -23.9426
x176: Cal. error 0.5050, RMSE 0.9313, R2 -24.0789
x177: Cal. error 0.5050, RMSE 0.9304, R2 -24.0107
x178: Cal. error 0.5050, RMSE 0.9125, R2 -23.7020
x179: Cal. error 0.5050, RMSE 0.8799, R2 -23.3866
x180: Cal. error 0.5050, RMSE 0.8499, R2 -23.2292
x181: Cal. error 0.5050, RMSE 0.8316, R2 -22.8126
x182: Cal. error 0.5050, RMSE 0.8123, R2 -22.1844
x183: Cal. error 0.5050, RMSE 0.7861, R2 -21.5526
x184: Cal. error 0.5050, RMSE 0.7781, R2 -21.0848
x185: Cal. error 0.5050, RMSE 0.7768, R2 -20.4190
x186: Cal. error 0.5050, RMSE 0.7812, R2 -19.7441
x187: Cal. error 0.5050, RMSE 0.7904, R2 -19.1595
