Calibration metrics:
x0: Cal. error 0.5050, RMSE 0.7599, R2 -19.7736
x1: Cal. error 0.5050, RMSE 1.0801, R2 -40.6148
x2: Cal. error 0.5050, RMSE 0.7912, R2 -21.2452
x3: Cal. error 0.5050, RMSE 0.7713, R2 -19.9643
x4: Cal. error 0.5050, RMSE 0.8319, R2 -23.3119
x5: Cal. error 0.5050, RMSE 0.9853, R2 -33.1529
x6: Cal. error 0.5050, RMSE 0.7747, R2 -20.1367
x7: Cal. error 0.5050, RMSE 0.8332, R2 -23.5360
x8: Cal. error 0.5050, RMSE 0.9910, R2 -33.8745
x9: Cal. error 0.5050, RMSE 0.8678, R2 -26.0305
x10: Cal. error 0.5050, RMSE 0.6563, R2 -14.6454
x11: Cal. error 0.5050, RMSE 0.9911, R2 -35.1512
x12: Cal. error 0.5050, RMSE 0.8354, R2 -25.0897
x13: Cal. error 0.5050, RMSE 0.8291, R2 -25.0852
x14: Cal. error 0.5050, RMSE 0.8227, R2 -25.0587
x15: Cal. error 0.5050, RMSE 0.7886, R2 -23.3022
x16: Cal. error 0.5050, RMSE 0.9116, R2 -31.9764
x17: Cal. error 0.5050, RMSE 0.9171, R2 -32.7924
x18: Cal. error 0.5050, RMSE 0.6768, R2 -17.6061
x19: Cal. error 0.5050, RMSE 0.9043, R2 -32.4982
x20: Cal. error 0.5050, RMSE 0.8236, R2 -26.9818
x21: Cal. error 0.5050, RMSE 0.8977, R2 -32.3469
x22: Cal. error 0.5050, RMSE 0.8144, R2 -26.5277
x23: Cal. error 0.5020, RMSE 0.8327, R2 -27.8032
x24: Cal. error 0.5050, RMSE 0.9590, R2 -37.1088
x25: Cal. error 0.5050, RMSE 0.8878, R2 -31.5743
x26: Cal. error 0.5050, RMSE 0.7134, R2 -19.9037
x27: Cal. error 0.5050, RMSE 1.0250, R2 -41.9401
x28: Cal. error 0.5050, RMSE 0.8846, R2 -30.7079
x29: Cal. error 0.5050, RMSE 0.9154, R2 -32.6527
x30: Cal. error 0.5050, RMSE 0.8727, R2 -29.3662
x31: Cal. error 0.5050, RMSE 0.9270, R2 -33.0453
x32: Cal. error 0.5050, RMSE 1.0235, R2 -40.0597
x33: Cal. error 0.5050, RMSE 0.9453, R2 -33.7946
