Calibration metrics:
x0: Cal. error 0.5050, RMSE 0.7125, R2 -17.2632
x1: Cal. error 0.5050, RMSE 0.6966, R2 -16.3123
x2: Cal. error 0.5050, RMSE 0.6918, R2 -16.0079
x3: Cal. error 0.5050, RMSE 0.6890, R2 -15.7306
x4: Cal. error 0.5050, RMSE 0.6884, R2 -15.6460
x5: Cal. error 0.5050, RMSE 0.6855, R2 -15.5300
x6: Cal. error 0.5050, RMSE 0.6850, R2 -15.5266
x7: Cal. error 0.5050, RMSE 0.6827, R2 -15.4709
x8: Cal. error 0.5050, RMSE 0.6819, R2 -15.5105
x9: Cal. error 0.5050, RMSE 0.6779, R2 -15.4944
x10: Cal. error 0.5050, RMSE 0.6752, R2 -15.5604
x11: Cal. error 0.5050, RMSE 0.6719, R2 -15.6163
x12: Cal. error 0.5050, RMSE 0.6694, R2 -15.7553
x13: Cal. error 0.5050, RMSE 0.6668, R2 -15.8755
x14: Cal. error 0.5050, RMSE 0.6657, R2 -16.0655
x15: Cal. error 0.5050, RMSE 0.6642, R2 -16.2404
x16: Cal. error 0.5050, RMSE 0.6642, R2 -16.5037
x17: Cal. error 0.5050, RMSE 0.6640, R2 -16.7134
x18: Cal. error 0.5050, RMSE 0.6660, R2 -17.0134
x19: Cal. error 0.5050, RMSE 0.6681, R2 -17.2838
x20: Cal. error 0.5050, RMSE 0.6716, R2 -17.6104
x21: Cal. error 0.5050, RMSE 0.6755, R2 -17.8841
x22: Cal. error 0.5050, RMSE 0.6807, R2 -18.2311
x23: Cal. error 0.5050, RMSE 0.6858, R2 -18.5386
x24: Cal. error 0.5050, RMSE 0.6926, R2 -18.8770
x25: Cal. error 0.5050, RMSE 0.6982, R2 -19.1484
x26: Cal. error 0.5050, RMSE 0.7063, R2 -19.4858
x27: Cal. error 0.5050, RMSE 0.7126, R2 -19.7520
x28: Cal. error 0.5050, RMSE 0.7213, R2 -20.0821
x29: Cal. error 0.5050, RMSE 0.7286, R2 -20.3179
x30: Cal. error 0.5050, RMSE 0.7362, R2 -20.6083
x31: Cal. error 0.5050, RMSE 0.7424, R2 -20.8321
x32: Cal. error 0.5050, RMSE 0.7514, R2 -21.1331
x33: Cal. error 0.5050, RMSE 0.7560, R2 -21.2545
x34: Cal. error 0.5050, RMSE 0.7624, R2 -21.4423
x35: Cal. error 0.5050, RMSE 0.7683, R2 -21.5629
x36: Cal. error 0.5050, RMSE 0.7731, R2 -21.7684
x37: Cal. error 0.5050, RMSE 0.7692, R2 -21.7340
x38: Cal. error 0.5050, RMSE 0.7750, R2 -21.8215
x39: Cal. error 0.5050, RMSE 0.7813, R2 -21.8321
x40: Cal. error 0.5050, RMSE 0.7835, R2 -21.8789
x41: Cal. error 0.5050, RMSE 0.7839, R2 -21.7829
x42: Cal. error 0.5050, RMSE 0.7874, R2 -21.7598
x43: Cal. error 0.5050, RMSE 0.7890, R2 -21.6415
x44: Cal. error 0.5050, RMSE 0.7913, R2 -21.5795
x45: Cal. error 0.5050, RMSE 0.7884, R2 -21.3903
x46: Cal. error 0.5050, RMSE 0.7860, R2 -21.2089
x47: Cal. error 0.5050, RMSE 0.7817, R2 -20.9754
x48: Cal. error 0.5050, RMSE 0.7742, R2 -20.7534
x49: Cal. error 0.5050, RMSE 0.7657, R2 -20.4529
x50: Cal. error 0.5050, RMSE 0.7585, R2 -20.1888
x51: Cal. error 0.5050, RMSE 0.7502, R2 -19.8576
x52: Cal. error 0.5050, RMSE 0.7404, R2 -19.5479
x53: Cal. error 0.5050, RMSE 0.7314, R2 -19.1740
x54: Cal. error 0.5050, RMSE 0.7251, R2 -18.8631
x55: Cal. error 0.5050, RMSE 0.7179, R2 -18.5019
x56: Cal. error 0.5050, RMSE 0.7124, R2 -18.1999
x57: Cal. error 0.5050, RMSE 0.7057, R2 -17.8517
x58: Cal. error 0.5050, RMSE 0.7021, R2 -17.5591
x59: Cal. error 0.5050, RMSE 0.6984, R2 -17.2459
x60: Cal. error 0.5050, RMSE 0.6963, R2 -16.9956
x61: Cal. error 0.5050, RMSE 0.6933, R2 -16.6936
x62: Cal. error 0.5050, RMSE 0.6924, R2 -16.5350
x63: Cal. error 0.5050, RMSE 0.7025, R2 -16.9042
x64: Cal. error 0.5050, RMSE 0.7112, R2 -17.2878
x65: Cal. error 0.5050, RMSE 0.6980, R2 -16.4647
x66: Cal. error 0.5050, RMSE 0.6937, R2 -16.1814
x67: Cal. error 0.5050, RMSE 0.6910, R2 -15.9091
x68: Cal. error 0.5050, RMSE 0.6905, R2 -15.8307
x69: Cal. error 0.5050, RMSE 0.6875, R2 -15.7028
x70: Cal. error 0.5050, RMSE 0.6871, R2 -15.7043
x71: Cal. error 0.5050, RMSE 0.6846, R2 -15.6380
x72: Cal. error 0.5050, RMSE 0.6840, R2 -15.6817
x73: Cal. error 0.5050, RMSE 0.6798, R2 -15.6560
x74: Cal. error 0.5050, RMSE 0.6772, R2 -15.7216
x75: Cal. error 0.5050, RMSE 0.6738, R2 -15.7667
x76: Cal. error 0.5050, RMSE 0.6714, R2 -15.9106
x77: Cal. error 0.5050, RMSE 0.6687, R2 -16.0212
x78: Cal. error 0.5050, RMSE 0.6676, R2 -16.2127
x79: Cal. error 0.5050, RMSE 0.6659, R2 -16.3782
x80: Cal. error 0.5050, RMSE 0.6661, R2 -16.6488
x81: Cal. error 0.5050, RMSE 0.6658, R2 -16.8525
x82: Cal. error 0.5050, RMSE 0.6679, R2 -17.1559
x83: Cal. error 0.5050, RMSE 0.6699, R2 -17.4177
x84: Cal. error 0.5050, RMSE 0.6736, R2 -17.7524
x85: Cal. error 0.5050, RMSE 0.6774, R2 -18.0203
x86: Cal. error 0.5050, RMSE 0.6826, R2 -18.3704
x87: Cal. error 0.5050, RMSE 0.6875, R2 -18.6649
x88: Cal. error 0.5050, RMSE 0.6945, R2 -19.0123
x89: Cal. error 0.5050, RMSE 0.7000, R2 -19.2756
x90: Cal. error 0.5050, RMSE 0.7082, R2 -19.6156
x91: Cal. error 0.5050, RMSE 0.7142, R2 -19.8662
x92: Cal. error 0.5050, RMSE 0.7232, R2 -20.2084
x93: Cal. error 0.5050, RMSE 0.7303, R2 -20.4347
x94: Cal. error 0.5050, RMSE 0.7380, R2 -20.7285
x95: Cal. error 0.5050, RMSE 0.7440, R2 -20.9364
x96: Cal. error 0.5050, RMSE 0.7533, R2 -21.2549
x97: Cal. error 0.5050, RMSE 0.7577, R2 -21.3691
x98: Cal. error 0.5050, RMSE 0.7643, R2 -21.5636
x99: Cal. error 0.5050, RMSE 0.7700, R2 -21.6721
x100: Cal. error 0.5050, RMSE 0.7750, R2 -21.8986
x101: Cal. error 0.5050, RMSE 0.7710, R2 -21.8562
x102: Cal. error 0.5050, RMSE 0.7770, R2 -21.9527
x103: Cal. error 0.5050, RMSE 0.7831, R2 -21.9535
x104: Cal. error 0.5050, RMSE 0.7856, R2 -22.0205
x105: Cal. error 0.5050, RMSE 0.7859, R2 -21.9183
x106: Cal. error 0.5050, RMSE 0.7895, R2 -21.9028
x107: Cal. error 0.5050, RMSE 0.7908, R2 -21.7733
x108: Cal. error 0.5050, RMSE 0.7934, R2 -21.7300
x109: Cal. error 0.5050, RMSE 0.7904, R2 -21.5324
x110: Cal. error 0.5050, RMSE 0.7880, R2 -21.3601
x111: Cal. error 0.5050, RMSE 0.7835, R2 -21.1135
x112: Cal. error 0.5050, RMSE 0.7762, R2 -20.9093
x113: Cal. error 0.5050, RMSE 0.7676, R2 -20.5997
x114: Cal. error 0.5050, RMSE 0.7605, R2 -20.3459
x115: Cal. error 0.5050, RMSE 0.7520, R2 -20.0025
x116: Cal. error 0.5050, RMSE 0.7424, R2 -19.7099
x117: Cal. error 0.5050, RMSE 0.7332, R2 -19.3289
x118: Cal. error 0.5050, RMSE 0.7271, R2 -19.0297
x119: Cal. error 0.5050, RMSE 0.7196, R2 -18.6626
x120: Cal. error 0.5050, RMSE 0.7144, R2 -18.3758
x121: Cal. error 0.5050, RMSE 0.7075, R2 -18.0258
x122: Cal. error 0.5050, RMSE 0.7039, R2 -17.7365
x123: Cal. error 0.5050, RMSE 0.7002, R2 -17.4216
x124: Cal. error 0.5050, RMSE 0.6982, R2 -17.1777
x125: Cal. error 0.5050, RMSE 0.6956, R2 -16.8959
x126: Cal. error 0.5050, RMSE 0.6947, R2 -16.7389
