Calibration metrics:
x0: Cal. error 0.2760, RMSE 0.0838, R2 0.7474
x1: Cal. error 0.2880, RMSE 0.0716, R2 0.8173
x2: Cal. error 0.2750, RMSE 0.0687, R2 0.8321
x3: Cal. error 0.2570, RMSE 0.0684, R2 0.8350
x4: Cal. error 0.2430, RMSE 0.0687, R2 0.8342
x5: Cal. error 0.2120, RMSE 0.0696, R2 0.8297
x6: Cal. error 0.2410, RMSE 0.0684, R2 0.8354
x7: Cal. error 0.2350, RMSE 0.0685, R2 0.8343
x8: Cal. error 0.2090, RMSE 0.0692, R2 0.8302
x9: Cal. error 0.2100, RMSE 0.0704, R2 0.8220
x10: Cal. error 0.2120, RMSE 0.0723, R2 0.8101
x11: Cal. error 0.2210, RMSE 0.0728, R2 0.8049
x12: Cal. error 0.2260, RMSE 0.0725, R2 0.8034
x13: Cal. error 0.2090, RMSE 0.0719, R2 0.8040
x14: Cal. error 0.2170, RMSE 0.0723, R2 0.7985
x15: Cal. error 0.2250, RMSE 0.0732, R2 0.7905
x16: Cal. error 0.2290, RMSE 0.0745, R2 0.7795
x17: Cal. error 0.2130, RMSE 0.0750, R2 0.7742
x18: Cal. error 0.2340, RMSE 0.0775, R2 0.7562
x19: Cal. error 0.2440, RMSE 0.0792, R2 0.7430
x20: Cal. error 0.2230, RMSE 0.0818, R2 0.7239
x21: Cal. error 0.2200, RMSE 0.0829, R2 0.7156
x22: Cal. error 0.2330, RMSE 0.0862, R2 0.6917
x23: Cal. error 0.2430, RMSE 0.0885, R2 0.6747
x24: Cal. error 0.2520, RMSE 0.0921, R2 0.6486
x25: Cal. error 0.2490, RMSE 0.0933, R2 0.6405
x26: Cal. error 0.2610, RMSE 0.0955, R2 0.6252
x27: Cal. error 0.2600, RMSE 0.0960, R2 0.6231
x28: Cal. error 0.2670, RMSE 0.0972, R2 0.6175
x29: Cal. error 0.2650, RMSE 0.0967, R2 0.6246
x30: Cal. error 0.2660, RMSE 0.0974, R2 0.6218
x31: Cal. error 0.2610, RMSE 0.0978, R2 0.6209
x32: Cal. error 0.2560, RMSE 0.0986, R2 0.6186
x33: Cal. error 0.2540, RMSE 0.0987, R2 0.6208
x34: Cal. error 0.2540, RMSE 0.0990, R2 0.6217
x35: Cal. error 0.2410, RMSE 0.0990, R2 0.6256
x36: Cal. error 0.2520, RMSE 0.0981, R2 0.6334
x37: Cal. error 0.2520, RMSE 0.0970, R2 0.6381
x38: Cal. error 0.2670, RMSE 0.0968, R2 0.6440
x39: Cal. error 0.2600, RMSE 0.0978, R2 0.6421
x40: Cal. error 0.2750, RMSE 0.0978, R2 0.6435
x41: Cal. error 0.2920, RMSE 0.0985, R2 0.6402
x42: Cal. error 0.3030, RMSE 0.0986, R2 0.6430
x43: Cal. error 0.3000, RMSE 0.0995, R2 0.6402
x44: Cal. error 0.2900, RMSE 0.0993, R2 0.6444
x45: Cal. error 0.2860, RMSE 0.0989, R2 0.6475
x46: Cal. error 0.2810, RMSE 0.0982, R2 0.6535
x47: Cal. error 0.2760, RMSE 0.0987, R2 0.6494
x48: Cal. error 0.2700, RMSE 0.0984, R2 0.6486
x49: Cal. error 0.2580, RMSE 0.0983, R2 0.6463
x50: Cal. error 0.2740, RMSE 0.0977, R2 0.6485
x51: Cal. error 0.2510, RMSE 0.0975, R2 0.6474
x52: Cal. error 0.2650, RMSE 0.0963, R2 0.6524
x53: Cal. error 0.2430, RMSE 0.0962, R2 0.6513
x54: Cal. error 0.2430, RMSE 0.0966, R2 0.6473
x55: Cal. error 0.2500, RMSE 0.0982, R2 0.6354
x56: Cal. error 0.2660, RMSE 0.0979, R2 0.6376
x57: Cal. error 0.2690, RMSE 0.0977, R2 0.6388
x58: Cal. error 0.2640, RMSE 0.0956, R2 0.6556
x59: Cal. error 0.2670, RMSE 0.0941, R2 0.6691
x60: Cal. error 0.2700, RMSE 0.0910, R2 0.6928
x61: Cal. error 0.2890, RMSE 0.0892, R2 0.7069
x62: Cal. error 0.2830, RMSE 0.0920, R2 0.6904
x63: Cal. error 0.3330, RMSE 0.0999, R2 0.6378
x64: Cal. error 0.3040, RMSE 0.1173, R2 0.5027
x65: Cal. error 0.3050, RMSE 0.1096, R2 0.5690
x66: Cal. error 0.2930, RMSE 0.1074, R2 0.5880
x67: Cal. error 0.2720, RMSE 0.1075, R2 0.5907
x68: Cal. error 0.2520, RMSE 0.1083, R2 0.5862
x69: Cal. error 0.2500, RMSE 0.1086, R2 0.5829
x70: Cal. error 0.2370, RMSE 0.1069, R2 0.5959
x71: Cal. error 0.2300, RMSE 0.1047, R2 0.6107
x72: Cal. error 0.2230, RMSE 0.1034, R2 0.6185
x73: Cal. error 0.2360, RMSE 0.1037, R2 0.6123
x74: Cal. error 0.2340, RMSE 0.1048, R2 0.5992
