Calibration metrics:
x0: Cal. error 0.3540, RMSE 0.1433, R2 0.2651
x1: Cal. error 0.2700, RMSE 0.1201, R2 0.4876
x2: Cal. error 0.2700, RMSE 0.1293, R2 0.4084
x3: Cal. error 0.2690, RMSE 0.1432, R2 0.2805
x4: Cal. error 0.2170, RMSE 0.1437, R2 0.2780
x5: Cal. error 0.2090, RMSE 0.1459, R2 0.2542
x6: Cal. error 0.2090, RMSE 0.1568, R2 0.1378
x7: Cal. error 0.2080, RMSE 0.1584, R2 0.1175
x8: Cal. error 0.2130, RMSE 0.1623, R2 0.0689
x9: Cal. error 0.2330, RMSE 0.1677, R2 -0.0057
x10: Cal. error 0.2370, RMSE 0.1728, R2 -0.0799
x11: Cal. error 0.2160, RMSE 0.1728, R2 -0.0939
x12: Cal. error 0.2370, RMSE 0.1709, R2 -0.0869
x13: Cal. error 0.2220, RMSE 0.1711, R2 -0.1057
x14: Cal. error 0.2260, RMSE 0.1740, R2 -0.1610
x15: Cal. error 0.2020, RMSE 0.1732, R2 -0.1676
x16: Cal. error 0.2130, RMSE 0.1716, R2 -0.1633
x17: Cal. error 0.2120, RMSE 0.1720, R2 -0.1843
x18: Cal. error 0.1790, RMSE 0.1723, R2 -0.2014
x19: Cal. error 0.1670, RMSE 0.1729, R2 -0.2205
x20: Cal. error 0.1730, RMSE 0.1673, R2 -0.1509
x21: Cal. error 0.1920, RMSE 0.1668, R2 -0.1476
x22: Cal. error 0.1910, RMSE 0.1620, R2 -0.0857
x23: Cal. error 0.1960, RMSE 0.1620, R2 -0.0866
x24: Cal. error 0.2090, RMSE 0.1596, R2 -0.0532
x25: Cal. error 0.2100, RMSE 0.1609, R2 -0.0679
x26: Cal. error 0.1940, RMSE 0.1574, R2 -0.0159
x27: Cal. error 0.1940, RMSE 0.1582, R2 -0.0206
x28: Cal. error 0.1860, RMSE 0.1537, R2 0.0445
x29: Cal. error 0.1970, RMSE 0.1542, R2 0.0456
x30: Cal. error 0.1900, RMSE 0.1530, R2 0.0675
x31: Cal. error 0.1850, RMSE 0.1560, R2 0.0357
x32: Cal. error 0.1740, RMSE 0.1578, R2 0.0244
x33: Cal. error 0.1890, RMSE 0.1624, R2 -0.0273
x34: Cal. error 0.1770, RMSE 0.1634, R2 -0.0318
x35: Cal. error 0.1720, RMSE 0.1675, R2 -0.0731
x36: Cal. error 0.1780, RMSE 0.1644, R2 -0.0306
x37: Cal. error 0.1720, RMSE 0.1638, R2 -0.0323
x38: Cal. error 0.1760, RMSE 0.1640, R2 -0.0228
x39: Cal. error 0.1760, RMSE 0.1680, R2 -0.0574
x40: Cal. error 0.1940, RMSE 0.1698, R2 -0.0761
x41: Cal. error 0.1950, RMSE 0.1761, R2 -0.1505
x42: Cal. error 0.1870, RMSE 0.1796, R2 -0.1852
x43: Cal. error 0.1800, RMSE 0.1835, R2 -0.2268
x44: Cal. error 0.1910, RMSE 0.1798, R2 -0.1669
x45: Cal. error 0.1940, RMSE 0.1809, R2 -0.1795
x46: Cal. error 0.1810, RMSE 0.1783, R2 -0.1433
x47: Cal. error 0.2000, RMSE 0.1784, R2 -0.1453
x48: Cal. error 0.2020, RMSE 0.1757, R2 -0.1209
x49: Cal. error 0.2090, RMSE 0.1775, R2 -0.1521
x50: Cal. error 0.2040, RMSE 0.1755, R2 -0.1339
x51: Cal. error 0.2010, RMSE 0.1765, R2 -0.1523
x52: Cal. error 0.1940, RMSE 0.1695, R2 -0.0743
x53: Cal. error 0.1990, RMSE 0.1682, R2 -0.0650
x54: Cal. error 0.1930, RMSE 0.1654, R2 -0.0305
x55: Cal. error 0.1890, RMSE 0.1659, R2 -0.0380
x56: Cal. error 0.2060, RMSE 0.1604, R2 0.0301
x57: Cal. error 0.2220, RMSE 0.1658, R2 -0.0359
x58: Cal. error 0.2180, RMSE 0.1592, R2 0.0500
x59: Cal. error 0.2190, RMSE 0.1613, R2 0.0317
x60: Cal. error 0.2370, RMSE 0.1502, R2 0.1670
x61: Cal. error 0.2020, RMSE 0.1421, R2 0.2598
x62: Cal. error 0.2020, RMSE 0.1250, R2 0.4317
x63: Cal. error 0.2890, RMSE 0.1457, R2 0.2341
x64: Cal. error 0.3640, RMSE 0.1676, R2 -0.0114
x65: Cal. error 0.3010, RMSE 0.1531, R2 0.1634
x66: Cal. error 0.3030, RMSE 0.1682, R2 -0.0069
x67: Cal. error 0.2790, RMSE 0.1848, R2 -0.2048
x68: Cal. error 0.2640, RMSE 0.1837, R2 -0.1871
x69: Cal. error 0.2810, RMSE 0.1836, R2 -0.1870
x70: Cal. error 0.2700, RMSE 0.1904, R2 -0.2775
x71: Cal. error 0.2440, RMSE 0.1899, R2 -0.2761
x72: Cal. error 0.2570, RMSE 0.1933, R2 -0.3275
x73: Cal. error 0.2690, RMSE 0.1966, R2 -0.3880
x74: Cal. error 0.2560, RMSE 0.1982, R2 -0.4274
x75: Cal. error 0.2460, RMSE 0.1969, R2 -0.4261
x76: Cal. error 0.2590, RMSE 0.1955, R2 -0.4289
x77: Cal. error 0.2730, RMSE 0.1954, R2 -0.4490
x78: Cal. error 0.2790, RMSE 0.1953, R2 -0.4673
x79: Cal. error 0.2590, RMSE 0.1931, R2 -0.4561
x80: Cal. error 0.2640, RMSE 0.1910, R2 -0.4463
x81: Cal. error 0.2690, RMSE 0.1903, R2 -0.4539
x82: Cal. error 0.2500, RMSE 0.1874, R2 -0.4258
x83: Cal. error 0.2370, RMSE 0.1874, R2 -0.4370
x84: Cal. error 0.2460, RMSE 0.1838, R2 -0.3932
x85: Cal. error 0.2500, RMSE 0.1851, R2 -0.4172
x86: Cal. error 0.2440, RMSE 0.1790, R2 -0.3298
x87: Cal. error 0.2560, RMSE 0.1789, R2 -0.3299
x88: Cal. error 0.2560, RMSE 0.1779, R2 -0.3116
x89: Cal. error 0.2690, RMSE 0.1796, R2 -0.3328
x90: Cal. error 0.2310, RMSE 0.1739, R2 -0.2425
x91: Cal. error 0.2360, RMSE 0.1752, R2 -0.2561
x92: Cal. error 0.2340, RMSE 0.1738, R2 -0.2257
x93: Cal. error 0.2370, RMSE 0.1762, R2 -0.2482
x94: Cal. error 0.2380, RMSE 0.1730, R2 -0.1952
x95: Cal. error 0.2460, RMSE 0.1752, R2 -0.2178
x96: Cal. error 0.2430, RMSE 0.1776, R2 -0.2393
x97: Cal. error 0.2350, RMSE 0.1824, R2 -0.2984
x98: Cal. error 0.2100, RMSE 0.1819, R2 -0.2811
x99: Cal. error 0.2080, RMSE 0.1871, R2 -0.3414
x100: Cal. error 0.2210, RMSE 0.1873, R2 -0.3406
x101: Cal. error 0.2410, RMSE 0.1890, R2 -0.3769
x102: Cal. error 0.2460, RMSE 0.1885, R2 -0.3548
x103: Cal. error 0.2500, RMSE 0.1919, R2 -0.3815
x104: Cal. error 0.2510, RMSE 0.1935, R2 -0.4012
x105: Cal. error 0.2400, RMSE 0.1985, R2 -0.4658
x106: Cal. error 0.2310, RMSE 0.1992, R2 -0.4624
x107: Cal. error 0.2260, RMSE 0.2024, R2 -0.4955
x108: Cal. error 0.2200, RMSE 0.2005, R2 -0.4551
x109: Cal. error 0.2350, RMSE 0.2015, R2 -0.4675
x110: Cal. error 0.2330, RMSE 0.1963, R2 -0.3906
x111: Cal. error 0.2470, RMSE 0.1950, R2 -0.3728
x112: Cal. error 0.2460, RMSE 0.1936, R2 -0.3660
x113: Cal. error 0.2540, RMSE 0.1950, R2 -0.3959
x114: Cal. error 0.2600, RMSE 0.1911, R2 -0.3493
x115: Cal. error 0.2510, RMSE 0.1924, R2 -0.3757
x116: Cal. error 0.2530, RMSE 0.1884, R2 -0.3333
x117: Cal. error 0.2580, RMSE 0.1879, R2 -0.3347
x118: Cal. error 0.2460, RMSE 0.1838, R2 -0.2786
x119: Cal. error 0.2490, RMSE 0.1846, R2 -0.2912
x120: Cal. error 0.2570, RMSE 0.1813, R2 -0.2450
x121: Cal. error 0.2540, RMSE 0.1882, R2 -0.3419
x122: Cal. error 0.2630, RMSE 0.1820, R2 -0.2480
x123: Cal. error 0.2510, RMSE 0.1864, R2 -0.3008
x124: Cal. error 0.2660, RMSE 0.1786, R2 -0.1848
x125: Cal. error 0.2590, RMSE 0.1733, R2 -0.1061
x126: Cal. error 0.2630, RMSE 0.1590, R2 0.0739
x127: Cal. error 0.3010, RMSE 0.1747, R2 -0.1077
x128: Cal. error 0.3840, RMSE 0.1823, R2 -0.2034
x129: Cal. error 0.3140, RMSE 0.1715, R2 -0.0561
x130: Cal. error 0.3060, RMSE 0.1899, R2 -0.2899
x131: Cal. error 0.2970, RMSE 0.2067, R2 -0.5174
x132: Cal. error 0.3010, RMSE 0.2047, R2 -0.4834
x133: Cal. error 0.2880, RMSE 0.2029, R2 -0.4584
x134: Cal. error 0.2900, RMSE 0.2078, R2 -0.5326
x135: Cal. error 0.2770, RMSE 0.2068, R2 -0.5223
x136: Cal. error 0.2640, RMSE 0.2089, R2 -0.5615
x137: Cal. error 0.2790, RMSE 0.2108, R2 -0.6064
