Calibration metrics:
x0: Cal. error 0.1540, RMSE 0.1249, R2 0.4414
x1: Cal. error 0.1560, RMSE 0.1160, R2 0.5219
x2: Cal. error 0.1670, RMSE 0.1174, R2 0.5126
x3: Cal. error 0.1450, RMSE 0.1137, R2 0.5465
x4: Cal. error 0.0930, RMSE 0.1181, R2 0.5125
x5: Cal. error 0.0950, RMSE 0.1186, R2 0.5074
x6: Cal. error 0.0920, RMSE 0.1204, R2 0.4915
x7: Cal. error 0.1120, RMSE 0.1220, R2 0.4763
x8: Cal. error 0.1130, RMSE 0.1242, R2 0.4545
x9: Cal. error 0.1290, RMSE 0.1233, R2 0.4566
x10: Cal. error 0.1180, RMSE 0.1208, R2 0.4721
x11: Cal. error 0.1290, RMSE 0.1189, R2 0.4818
x12: Cal. error 0.1080, RMSE 0.1165, R2 0.4948
x13: Cal. error 0.1270, RMSE 0.1184, R2 0.4704
x14: Cal. error 0.1360, RMSE 0.1222, R2 0.4276
x15: Cal. error 0.1420, RMSE 0.1218, R2 0.4226
x16: Cal. error 0.1380, RMSE 0.1205, R2 0.4266
x17: Cal. error 0.1490, RMSE 0.1195, R2 0.4283
x18: Cal. error 0.1180, RMSE 0.1178, R2 0.4384
x19: Cal. error 0.1370, RMSE 0.1173, R2 0.4382
x20: Cal. error 0.1330, RMSE 0.1173, R2 0.4340
x21: Cal. error 0.1470, RMSE 0.1193, R2 0.4133
x22: Cal. error 0.1460, RMSE 0.1201, R2 0.4031
x23: Cal. error 0.1570, RMSE 0.1200, R2 0.4037
x24: Cal. error 0.1410, RMSE 0.1191, R2 0.4136
x25: Cal. error 0.1400, RMSE 0.1192, R2 0.4140
x26: Cal. error 0.1100, RMSE 0.1186, R2 0.4239
x27: Cal. error 0.1100, RMSE 0.1184, R2 0.4281
x28: Cal. error 0.1070, RMSE 0.1198, R2 0.4190
x29: Cal. error 0.1130, RMSE 0.1214, R2 0.4083
x30: Cal. error 0.1020, RMSE 0.1229, R2 0.3980
x31: Cal. error 0.1110, RMSE 0.1224, R2 0.4069
x32: Cal. error 0.0980, RMSE 0.1231, R2 0.4059
x33: Cal. error 0.0850, RMSE 0.1225, R2 0.4155
x34: Cal. error 0.0710, RMSE 0.1233, R2 0.4128
x35: Cal. error 0.0870, RMSE 0.1231, R2 0.4204
x36: Cal. error 0.0760, RMSE 0.1249, R2 0.4056
x37: Cal. error 0.0760, RMSE 0.1246, R2 0.4033
x38: Cal. error 0.0710, RMSE 0.1284, R2 0.3727
x39: Cal. error 0.0770, RMSE 0.1291, R2 0.3755
x40: Cal. error 0.0640, RMSE 0.1306, R2 0.3632
x41: Cal. error 0.0690, RMSE 0.1302, R2 0.3706
x42: Cal. error 0.0560, RMSE 0.1315, R2 0.3647
x43: Cal. error 0.0690, RMSE 0.1313, R2 0.3727
x44: Cal. error 0.0650, RMSE 0.1339, R2 0.3526
x45: Cal. error 0.0770, RMSE 0.1352, R2 0.3410
x46: Cal. error 0.0600, RMSE 0.1381, R2 0.3143
x47: Cal. error 0.0830, RMSE 0.1374, R2 0.3210
x48: Cal. error 0.0780, RMSE 0.1358, R2 0.3303
x49: Cal. error 0.0970, RMSE 0.1340, R2 0.3433
x50: Cal. error 0.0790, RMSE 0.1324, R2 0.3546
x51: Cal. error 0.1020, RMSE 0.1311, R2 0.3644
x52: Cal. error 0.1010, RMSE 0.1289, R2 0.3783
x53: Cal. error 0.1170, RMSE 0.1289, R2 0.3748
x54: Cal. error 0.1120, RMSE 0.1285, R2 0.3781
x55: Cal. error 0.1290, RMSE 0.1282, R2 0.3802
x56: Cal. error 0.1230, RMSE 0.1270, R2 0.3925
x57: Cal. error 0.1290, RMSE 0.1277, R2 0.3855
x58: Cal. error 0.1270, RMSE 0.1310, R2 0.3566
x59: Cal. error 0.1580, RMSE 0.1291, R2 0.3789
x60: Cal. error 0.1770, RMSE 0.1269, R2 0.4049
x61: Cal. error 0.1840, RMSE 0.1275, R2 0.4048
x62: Cal. error 0.1480, RMSE 0.1265, R2 0.4178
x63: Cal. error 0.1730, RMSE 0.1226, R2 0.4573
x64: Cal. error 0.2100, RMSE 0.1501, R2 0.1883
x65: Cal. error 0.2030, RMSE 0.1447, R2 0.2520
x66: Cal. error 0.2220, RMSE 0.1506, R2 0.1935
x67: Cal. error 0.2140, RMSE 0.1509, R2 0.1967
x68: Cal. error 0.1640, RMSE 0.1550, R2 0.1552
x69: Cal. error 0.1790, RMSE 0.1542, R2 0.1628
x70: Cal. error 0.1820, RMSE 0.1534, R2 0.1704
x71: Cal. error 0.2040, RMSE 0.1543, R2 0.1584
x72: Cal. error 0.1850, RMSE 0.1555, R2 0.1410
x73: Cal. error 0.2120, RMSE 0.1546, R2 0.1416
x74: Cal. error 0.2100, RMSE 0.1517, R2 0.1633
x75: Cal. error 0.2140, RMSE 0.1497, R2 0.1755
x76: Cal. error 0.2070, RMSE 0.1468, R2 0.1944
x77: Cal. error 0.2130, RMSE 0.1481, R2 0.1680
x78: Cal. error 0.2040, RMSE 0.1509, R2 0.1231
x79: Cal. error 0.2090, RMSE 0.1503, R2 0.1174
x80: Cal. error 0.1940, RMSE 0.1492, R2 0.1173
x81: Cal. error 0.2210, RMSE 0.1477, R2 0.1237
x82: Cal. error 0.2030, RMSE 0.1445, R2 0.1529
x83: Cal. error 0.2210, RMSE 0.1434, R2 0.1582
x84: Cal. error 0.1920, RMSE 0.1431, R2 0.1560
x85: Cal. error 0.2100, RMSE 0.1451, R2 0.1292
x86: Cal. error 0.2070, RMSE 0.1461, R2 0.1141
x87: Cal. error 0.2170, RMSE 0.1467, R2 0.1067
x88: Cal. error 0.2040, RMSE 0.1469, R2 0.1054
x89: Cal. error 0.2150, RMSE 0.1468, R2 0.1094
x90: Cal. error 0.1960, RMSE 0.1453, R2 0.1329
x91: Cal. error 0.1970, RMSE 0.1444, R2 0.1470
x92: Cal. error 0.1890, RMSE 0.1453, R2 0.1430
x93: Cal. error 0.1870, RMSE 0.1471, R2 0.1295
x94: Cal. error 0.1840, RMSE 0.1488, R2 0.1162
x95: Cal. error 0.1810, RMSE 0.1481, R2 0.1290
x96: Cal. error 0.1760, RMSE 0.1492, R2 0.1255
x97: Cal. error 0.1840, RMSE 0.1483, R2 0.1416
x98: Cal. error 0.1630, RMSE 0.1492, R2 0.1384
x99: Cal. error 0.1620, RMSE 0.1491, R2 0.1483
x100: Cal. error 0.1720, RMSE 0.1509, R2 0.1299
x101: Cal. error 0.1780, RMSE 0.1506, R2 0.1261
x102: Cal. error 0.1640, RMSE 0.1539, R2 0.0968
x103: Cal. error 0.1730, RMSE 0.1548, R2 0.1005
x104: Cal. error 0.1530, RMSE 0.1563, R2 0.0865
x105: Cal. error 0.1460, RMSE 0.1557, R2 0.0978
x106: Cal. error 0.1300, RMSE 0.1565, R2 0.0976
x107: Cal. error 0.1510, RMSE 0.1564, R2 0.1064
x108: Cal. error 0.1450, RMSE 0.1587, R2 0.0887
x109: Cal. error 0.1560, RMSE 0.1606, R2 0.0672
x110: Cal. error 0.1720, RMSE 0.1634, R2 0.0365
x111: Cal. error 0.1730, RMSE 0.1638, R2 0.0313
x112: Cal. error 0.1670, RMSE 0.1625, R2 0.0377
x113: Cal. error 0.1830, RMSE 0.1609, R2 0.0489
x114: Cal. error 0.1840, RMSE 0.1583, R2 0.0747
x115: Cal. error 0.2060, RMSE 0.1568, R2 0.0858
x116: Cal. error 0.2000, RMSE 0.1543, R2 0.1050
x117: Cal. error 0.2120, RMSE 0.1544, R2 0.0982
x118: Cal. error 0.2010, RMSE 0.1536, R2 0.1070
x119: Cal. error 0.2070, RMSE 0.1533, R2 0.1097
x120: Cal. error 0.1940, RMSE 0.1519, R2 0.1255
x121: Cal. error 0.1920, RMSE 0.1515, R2 0.1294
x122: Cal. error 0.1910, RMSE 0.1523, R2 0.1257
x123: Cal. error 0.2070, RMSE 0.1512, R2 0.1444
x124: Cal. error 0.2240, RMSE 0.1518, R2 0.1444
x125: Cal. error 0.2330, RMSE 0.1521, R2 0.1475
x126: Cal. error 0.1920, RMSE 0.1505, R2 0.1707
x127: Cal. error 0.1890, RMSE 0.1461, R2 0.2250
x128: Cal. error 0.1980, RMSE 0.1614, R2 0.0564
x129: Cal. error 0.2020, RMSE 0.1586, R2 0.0961
x130: Cal. error 0.2440, RMSE 0.1651, R2 0.0246
x131: Cal. error 0.2410, RMSE 0.1675, R2 0.0034
x132: Cal. error 0.2240, RMSE 0.1710, R2 -0.0354
x133: Cal. error 0.2200, RMSE 0.1701, R2 -0.0256
x134: Cal. error 0.2100, RMSE 0.1670, R2 0.0106
x135: Cal. error 0.2270, RMSE 0.1677, R2 -0.0018
x136: Cal. error 0.2240, RMSE 0.1682, R2 -0.0115
x137: Cal. error 0.2360, RMSE 0.1678, R2 -0.0177
x138: Cal. error 0.2370, RMSE 0.1646, R2 0.0085
x139: Cal. error 0.2310, RMSE 0.1629, R2 0.0167
x140: Cal. error 0.2300, RMSE 0.1596, R2 0.0411
x141: Cal. error 0.2390, RMSE 0.1613, R2 0.0060
x142: Cal. error 0.2290, RMSE 0.1639, R2 -0.0410
x143: Cal. error 0.2390, RMSE 0.1638, R2 -0.0555
x144: Cal. error 0.2260, RMSE 0.1633, R2 -0.0642
x145: Cal. error 0.2390, RMSE 0.1616, R2 -0.0558
x146: Cal. error 0.2310, RMSE 0.1576, R2 -0.0153
x147: Cal. error 0.2370, RMSE 0.1565, R2 -0.0089
x148: Cal. error 0.2350, RMSE 0.1562, R2 -0.0130
x149: Cal. error 0.2440, RMSE 0.1583, R2 -0.0436
x150: Cal. error 0.2330, RMSE 0.1589, R2 -0.0550
x151: Cal. error 0.2270, RMSE 0.1597, R2 -0.0658
x152: Cal. error 0.2340, RMSE 0.1603, R2 -0.0719
x153: Cal. error 0.2240, RMSE 0.1601, R2 -0.0671
x154: Cal. error 0.2070, RMSE 0.1579, R2 -0.0311
x155: Cal. error 0.2130, RMSE 0.1569, R2 -0.0135
x156: Cal. error 0.2240, RMSE 0.1577, R2 -0.0154
x157: Cal. error 0.2230, RMSE 0.1590, R2 -0.0236
x158: Cal. error 0.1990, RMSE 0.1594, R2 -0.0216
x159: Cal. error 0.2070, RMSE 0.1587, R2 -0.0067
x160: Cal. error 0.1960, RMSE 0.1600, R2 -0.0127
x161: Cal. error 0.1970, RMSE 0.1593, R2 0.0032
x162: Cal. error 0.1840, RMSE 0.1597, R2 0.0060
x163: Cal. error 0.2010, RMSE 0.1600, R2 0.0127
x164: Cal. error 0.2070, RMSE 0.1630, R2 -0.0217
x165: Cal. error 0.2090, RMSE 0.1630, R2 -0.0305
x166: Cal. error 0.1960, RMSE 0.1664, R2 -0.0612
x167: Cal. error 0.2090, RMSE 0.1677, R2 -0.0618
x168: Cal. error 0.1790, RMSE 0.1702, R2 -0.0894
x169: Cal. error 0.1770, RMSE 0.1698, R2 -0.0791
x170: Cal. error 0.1630, RMSE 0.1702, R2 -0.0723
x171: Cal. error 0.1770, RMSE 0.1702, R2 -0.0630
x172: Cal. error 0.1840, RMSE 0.1726, R2 -0.0835
x173: Cal. error 0.1990, RMSE 0.1747, R2 -0.1085
x174: Cal. error 0.2010, RMSE 0.1772, R2 -0.1384
x175: Cal. error 0.2110, RMSE 0.1779, R2 -0.1465
x176: Cal. error 0.2090, RMSE 0.1764, R2 -0.1374
x177: Cal. error 0.2130, RMSE 0.1748, R2 -0.1256
x178: Cal. error 0.2130, RMSE 0.1708, R2 -0.0822
x179: Cal. error 0.2270, RMSE 0.1692, R2 -0.0672
x180: Cal. error 0.2330, RMSE 0.1657, R2 -0.0358
x181: Cal. error 0.2500, RMSE 0.1656, R2 -0.0402
x182: Cal. error 0.2390, RMSE 0.1640, R2 -0.0222
x183: Cal. error 0.2470, RMSE 0.1636, R2 -0.0178
x184: Cal. error 0.2430, RMSE 0.1622, R2 0.0000
