Calibration metrics:
x0: Cal. error 0.1170, RMSE 0.1035, R2 0.6168
x1: Cal. error 0.2250, RMSE 0.1040, R2 0.6156
x2: Cal. error 0.2170, RMSE 0.0993, R2 0.6511
x3: Cal. error 0.2310, RMSE 0.1011, R2 0.6417
x4: Cal. error 0.2120, RMSE 0.1004, R2 0.6477
x5: Cal. error 0.2220, RMSE 0.0988, R2 0.6584
x6: Cal. error 0.2190, RMSE 0.0985, R2 0.6595
x7: Cal. error 0.2170, RMSE 0.0982, R2 0.6604
x8: Cal. error 0.1960, RMSE 0.0966, R2 0.6703
x9: Cal. error 0.1750, RMSE 0.0947, R2 0.6794
x10: Cal. error 0.1820, RMSE 0.0947, R2 0.6756
x11: Cal. error 0.1800, RMSE 0.0950, R2 0.6696
x12: Cal. error 0.1780, RMSE 0.0956, R2 0.6600
x13: Cal. error 0.1620, RMSE 0.0948, R2 0.6604
x14: Cal. error 0.1590, RMSE 0.0962, R2 0.6454
x15: Cal. error 0.1560, RMSE 0.0964, R2 0.6380
x16: Cal. error 0.1530, RMSE 0.0966, R2 0.6310
x17: Cal. error 0.1270, RMSE 0.0961, R2 0.6303
x18: Cal. error 0.1370, RMSE 0.0983, R2 0.6087
x19: Cal. error 0.1390, RMSE 0.0994, R2 0.5966
x20: Cal. error 0.1520, RMSE 0.0994, R2 0.5935
x21: Cal. error 0.1430, RMSE 0.0992, R2 0.5941
x22: Cal. error 0.1540, RMSE 0.1000, R2 0.5862
x23: Cal. error 0.1570, RMSE 0.1010, R2 0.5775
x24: Cal. error 0.1700, RMSE 0.1016, R2 0.5731
x25: Cal. error 0.1730, RMSE 0.1025, R2 0.5665
x26: Cal. error 0.1910, RMSE 0.1050, R2 0.5477
x27: Cal. error 0.2060, RMSE 0.1069, R2 0.5341
x28: Cal. error 0.2220, RMSE 0.1087, R2 0.5217
x29: Cal. error 0.2110, RMSE 0.1094, R2 0.5195
x30: Cal. error 0.2150, RMSE 0.1106, R2 0.5126
x31: Cal. error 0.2110, RMSE 0.1110, R2 0.5122
x32: Cal. error 0.2250, RMSE 0.1110, R2 0.5173
x33: Cal. error 0.2060, RMSE 0.1115, R2 0.5156
x34: Cal. error 0.1970, RMSE 0.1140, R2 0.4977
x35: Cal. error 0.2060, RMSE 0.1150, R2 0.4938
x36: Cal. error 0.2110, RMSE 0.1139, R2 0.5057
x37: Cal. error 0.2000, RMSE 0.1138, R2 0.5017
x38: Cal. error 0.1930, RMSE 0.1153, R2 0.4944
x39: Cal. error 0.1790, RMSE 0.1167, R2 0.4901
x40: Cal. error 0.1790, RMSE 0.1158, R2 0.4997
x41: Cal. error 0.1550, RMSE 0.1159, R2 0.5016
x42: Cal. error 0.1290, RMSE 0.1176, R2 0.4915
x43: Cal. error 0.1300, RMSE 0.1188, R2 0.4861
x44: Cal. error 0.1290, RMSE 0.1177, R2 0.4995
x45: Cal. error 0.1090, RMSE 0.1156, R2 0.5185
x46: Cal. error 0.1110, RMSE 0.1147, R2 0.5269
x47: Cal. error 0.1230, RMSE 0.1151, R2 0.5233
x48: Cal. error 0.1250, RMSE 0.1138, R2 0.5302
x49: Cal. error 0.1140, RMSE 0.1128, R2 0.5349
x50: Cal. error 0.1280, RMSE 0.1125, R2 0.5345
x51: Cal. error 0.1540, RMSE 0.1136, R2 0.5228
x52: Cal. error 0.1640, RMSE 0.1138, R2 0.5153
x53: Cal. error 0.1590, RMSE 0.1134, R2 0.5163
x54: Cal. error 0.1470, RMSE 0.1130, R2 0.5186
x55: Cal. error 0.1500, RMSE 0.1121, R2 0.5262
x56: Cal. error 0.1840, RMSE 0.1105, R2 0.5400
x57: Cal. error 0.1960, RMSE 0.1108, R2 0.5371
x58: Cal. error 0.1940, RMSE 0.1155, R2 0.5002
x59: Cal. error 0.2070, RMSE 0.1172, R2 0.4888
x60: Cal. error 0.2510, RMSE 0.1161, R2 0.5023
x61: Cal. error 0.2660, RMSE 0.1162, R2 0.5051
x62: Cal. error 0.2570, RMSE 0.1161, R2 0.5090
x63: Cal. error 0.2210, RMSE 0.1112, R2 0.5540
x64: Cal. error 0.2130, RMSE 0.1321, R2 0.3712
x65: Cal. error 0.2860, RMSE 0.1412, R2 0.2881
x66: Cal. error 0.2770, RMSE 0.1382, R2 0.3202
x67: Cal. error 0.2710, RMSE 0.1404, R2 0.3047
x68: Cal. error 0.2610, RMSE 0.1390, R2 0.3208
x69: Cal. error 0.2570, RMSE 0.1377, R2 0.3326
x70: Cal. error 0.2630, RMSE 0.1371, R2 0.3370
x71: Cal. error 0.2610, RMSE 0.1358, R2 0.3478
x72: Cal. error 0.2510, RMSE 0.1331, R2 0.3703
x73: Cal. error 0.2260, RMSE 0.1308, R2 0.3860
