Calibration metrics:
x0: Cal. error 0.1880, RMSE 0.1388, R2 0.3106
x1: Cal. error 0.1430, RMSE 0.1237, R2 0.4568
x2: Cal. error 0.0560, RMSE 0.1118, R2 0.5579
x3: Cal. error 0.0660, RMSE 0.1137, R2 0.5460
x4: Cal. error 0.0400, RMSE 0.1122, R2 0.5600
x5: Cal. error 0.0300, RMSE 0.1116, R2 0.5639
x6: Cal. error 0.0220, RMSE 0.1129, R2 0.5530
x7: Cal. error 0.0120, RMSE 0.1077, R2 0.5921
x8: Cal. error 0.0220, RMSE 0.1068, R2 0.5969
x9: Cal. error 0.0220, RMSE 0.1045, R2 0.6096
x10: Cal. error 0.0190, RMSE 0.1074, R2 0.5827
x11: Cal. error 0.0240, RMSE 0.1048, R2 0.5976
x12: Cal. error 0.0280, RMSE 0.1059, R2 0.5822
x13: Cal. error 0.0270, RMSE 0.1048, R2 0.5847
x14: Cal. error 0.0210, RMSE 0.1075, R2 0.5569
x15: Cal. error 0.0300, RMSE 0.1045, R2 0.5751
x16: Cal. error 0.0360, RMSE 0.1048, R2 0.5657
x17: Cal. error 0.0360, RMSE 0.1038, R2 0.5688
x18: Cal. error 0.0350, RMSE 0.1075, R2 0.5327
x19: Cal. error 0.0320, RMSE 0.1050, R2 0.5505
x20: Cal. error 0.0330, RMSE 0.1064, R2 0.5342
x21: Cal. error 0.0280, RMSE 0.1056, R2 0.5405
x22: Cal. error 0.0180, RMSE 0.1105, R2 0.4947
x23: Cal. error 0.0110, RMSE 0.1085, R2 0.5120
x24: Cal. error 0.0100, RMSE 0.1107, R2 0.4935
x25: Cal. error 0.0120, RMSE 0.1091, R2 0.5091
x26: Cal. error 0.0080, RMSE 0.1133, R2 0.4742
x27: Cal. error 0.0180, RMSE 0.1108, R2 0.4987
x28: Cal. error 0.0170, RMSE 0.1121, R2 0.4914
x29: Cal. error 0.0150, RMSE 0.1105, R2 0.5099
x30: Cal. error 0.0160, RMSE 0.1141, R2 0.4817
x31: Cal. error 0.0130, RMSE 0.1116, R2 0.5064
x32: Cal. error 0.0120, RMSE 0.1125, R2 0.5035
x33: Cal. error 0.0230, RMSE 0.1107, R2 0.5229
x34: Cal. error 0.0190, RMSE 0.1137, R2 0.5005
x35: Cal. error 0.0170, RMSE 0.1118, R2 0.5221
x36: Cal. error 0.0260, RMSE 0.1117, R2 0.5245
x37: Cal. error 0.0200, RMSE 0.1107, R2 0.5284
x38: Cal. error 0.0160, RMSE 0.1136, R2 0.5092
x39: Cal. error 0.0110, RMSE 0.1136, R2 0.5166
x40: Cal. error 0.0160, RMSE 0.1144, R2 0.5114
x41: Cal. error 0.0250, RMSE 0.1140, R2 0.5173
x42: Cal. error 0.0210, RMSE 0.1163, R2 0.5028
x43: Cal. error 0.0310, RMSE 0.1165, R2 0.5058
x44: Cal. error 0.0350, RMSE 0.1174, R2 0.5020
x45: Cal. error 0.0380, RMSE 0.1164, R2 0.5117
x46: Cal. error 0.0350, RMSE 0.1174, R2 0.5041
x47: Cal. error 0.0400, RMSE 0.1166, R2 0.5111
x48: Cal. error 0.0410, RMSE 0.1167, R2 0.5056
x49: Cal. error 0.0450, RMSE 0.1162, R2 0.5063
x50: Cal. error 0.0460, RMSE 0.1179, R2 0.4884
x51: Cal. error 0.0380, RMSE 0.1176, R2 0.4879
x52: Cal. error 0.0450, RMSE 0.1178, R2 0.4810
x53: Cal. error 0.0420, RMSE 0.1161, R2 0.4931
x54: Cal. error 0.0330, RMSE 0.1187, R2 0.4696
x55: Cal. error 0.0350, RMSE 0.1184, R2 0.4714
x56: Cal. error 0.0510, RMSE 0.1198, R2 0.4590
x57: Cal. error 0.0550, RMSE 0.1188, R2 0.4678
x58: Cal. error 0.0940, RMSE 0.1224, R2 0.4385
x59: Cal. error 0.1100, RMSE 0.1230, R2 0.4366
x60: Cal. error 0.1470, RMSE 0.1240, R2 0.4316
x61: Cal. error 0.1710, RMSE 0.1201, R2 0.4714
x62: Cal. error 0.2980, RMSE 0.1158, R2 0.5119
x63: Cal. error 0.3270, RMSE 0.1079, R2 0.5798
x64: Cal. error 0.2170, RMSE 0.1645, R2 0.0253
x65: Cal. error 0.1970, RMSE 0.1587, R2 0.1009
x66: Cal. error 0.1390, RMSE 0.1510, R2 0.1883
x67: Cal. error 0.1570, RMSE 0.1583, R2 0.1160
x68: Cal. error 0.1570, RMSE 0.1551, R2 0.1541
x69: Cal. error 0.1350, RMSE 0.1555, R2 0.1484
x70: Cal. error 0.1190, RMSE 0.1550, R2 0.1535
x71: Cal. error 0.1030, RMSE 0.1508, R2 0.1962
x72: Cal. error 0.0900, RMSE 0.1475, R2 0.2275
x73: Cal. error 0.0910, RMSE 0.1439, R2 0.2564
x74: Cal. error 0.0920, RMSE 0.1448, R2 0.2377
x75: Cal. error 0.0880, RMSE 0.1429, R2 0.2487
x76: Cal. error 0.0840, RMSE 0.1428, R2 0.2374
x77: Cal. error 0.0800, RMSE 0.1421, R2 0.2339
x78: Cal. error 0.0840, RMSE 0.1440, R2 0.2015
x79: Cal. error 0.0780, RMSE 0.1416, R2 0.2173
