Calibration metrics:
x96: Cal. error 0.4820, RMSE 0.3750, R2 -4.5243
x97: Cal. error 0.4990, RMSE 0.4091, R2 -5.5317
x98: Cal. error 0.4820, RMSE 0.3748, R2 -4.4365
x99: Cal. error 0.4990, RMSE 0.4120, R2 -5.5047
x100: Cal. error 0.4840, RMSE 0.3840, R2 -4.6339
x101: Cal. error 0.4960, RMSE 0.4132, R2 -5.5795
x102: Cal. error 0.4780, RMSE 0.3804, R2 -4.5155
x103: Cal. error 0.4960, RMSE 0.4198, R2 -5.6129
x104: Cal. error 0.4860, RMSE 0.3934, R2 -4.7893
x105: Cal. error 0.4990, RMSE 0.4257, R2 -5.7441
x106: Cal. error 0.4910, RMSE 0.3954, R2 -4.7592
x107: Cal. error 0.4990, RMSE 0.4295, R2 -5.7354
x108: Cal. error 0.4940, RMSE 0.4084, R2 -5.0396
x109: Cal. error 0.5010, RMSE 0.4350, R2 -5.8424
x110: Cal. error 0.4910, RMSE 0.4070, R2 -4.9785
x111: Cal. error 0.5020, RMSE 0.4363, R2 -5.8715
x112: Cal. error 0.4940, RMSE 0.4119, R2 -5.1794
x113: Cal. error 0.5020, RMSE 0.4338, R2 -5.9101
x114: Cal. error 0.4940, RMSE 0.4036, R2 -5.0174
x115: Cal. error 0.5020, RMSE 0.4225, R2 -5.6347
x116: Cal. error 0.4960, RMSE 0.3975, R2 -4.9365
x117: Cal. error 0.5050, RMSE 0.4151, R2 -5.5150
x118: Cal. error 0.4880, RMSE 0.3843, R2 -4.5906
x119: Cal. error 0.5050, RMSE 0.4059, R2 -5.2456
x120: Cal. error 0.4910, RMSE 0.3774, R2 -4.3942
x121: Cal. error 0.5010, RMSE 0.3940, R2 -4.8856
x122: Cal. error 0.4820, RMSE 0.3579, R2 -3.8286
x123: Cal. error 0.4990, RMSE 0.3809, R2 -4.4327
x124: Cal. error 0.4880, RMSE 0.3599, R2 -3.8135
x125: Cal. error 0.4950, RMSE 0.3789, R2 -4.2900
x126: Cal. error 0.5050, RMSE 0.4290, R2 -5.7367
x127: Cal. error 0.5050, RMSE 0.5108, R2 -8.4732
x128: Cal. error 0.5020, RMSE 0.5745, R2 -10.9534
x129: Cal. error 0.5050, RMSE 0.4374, R2 -5.8718
x130: Cal. error 0.4820, RMSE 0.3720, R2 -3.9512
x131: Cal. error 0.4890, RMSE 0.4010, R2 -4.7091
x132: Cal. error 0.4790, RMSE 0.3753, R2 -3.9854
x133: Cal. error 0.4820, RMSE 0.3953, R2 -4.5372
x134: Cal. error 0.4710, RMSE 0.3648, R2 -3.7215
x135: Cal. error 0.4790, RMSE 0.3838, R2 -4.2439
x136: Cal. error 0.4720, RMSE 0.3693, R2 -3.8790
x137: Cal. error 0.4790, RMSE 0.3798, R2 -4.2157
x138: Cal. error 0.4640, RMSE 0.3583, R2 -3.6962
x139: Cal. error 0.4790, RMSE 0.3766, R2 -4.2551
x140: Cal. error 0.4650, RMSE 0.3581, R2 -3.8276
x141: Cal. error 0.4790, RMSE 0.3719, R2 -4.2828
x142: Cal. error 0.4620, RMSE 0.3475, R2 -3.6783
x143: Cal. error 0.4880, RMSE 0.3677, R2 -4.3174
x144: Cal. error 0.4720, RMSE 0.3497, R2 -3.8820
x145: Cal. error 0.4880, RMSE 0.3645, R2 -4.3707
x146: Cal. error 0.4770, RMSE 0.3436, R2 -3.8250
x147: Cal. error 0.4910, RMSE 0.3684, R2 -4.5947
x148: Cal. error 0.4790, RMSE 0.3495, R2 -4.0712
x149: Cal. error 0.4960, RMSE 0.3740, R2 -4.8244
x150: Cal. error 0.4820, RMSE 0.3513, R2 -4.1553
x151: Cal. error 0.5020, RMSE 0.3819, R2 -5.0991
x152: Cal. error 0.4850, RMSE 0.3630, R2 -4.4981
x153: Cal. error 0.5020, RMSE 0.3926, R2 -5.4144
x154: Cal. error 0.4880, RMSE 0.3665, R2 -4.5567
x155: Cal. error 0.5020, RMSE 0.4000, R2 -5.5876
x156: Cal. error 0.4910, RMSE 0.3792, R2 -4.8727
x157: Cal. error 0.5020, RMSE 0.4115, R2 -5.8547
x158: Cal. error 0.4820, RMSE 0.3824, R2 -4.8773
x159: Cal. error 0.5010, RMSE 0.4174, R2 -5.9588
x160: Cal. error 0.4850, RMSE 0.3950, R2 -5.1688
x161: Cal. error 0.4990, RMSE 0.4270, R2 -6.1628
x162: Cal. error 0.4850, RMSE 0.3945, R2 -5.0622
x163: Cal. error 0.4990, RMSE 0.4288, R2 -6.0923
x164: Cal. error 0.4890, RMSE 0.4035, R2 -5.2593
x165: Cal. error 0.4990, RMSE 0.4306, R2 -6.1903
x166: Cal. error 0.4890, RMSE 0.3997, R2 -5.1259
x167: Cal. error 0.4990, RMSE 0.4362, R2 -6.1826
x168: Cal. error 0.4910, RMSE 0.4125, R2 -5.4010
x169: Cal. error 0.4990, RMSE 0.4434, R2 -6.3542
x170: Cal. error 0.4910, RMSE 0.4140, R2 -5.3472
x171: Cal. error 0.4990, RMSE 0.4462, R2 -6.3046
x172: Cal. error 0.4910, RMSE 0.4277, R2 -5.6542
x173: Cal. error 0.4990, RMSE 0.4533, R2 -6.4633
x174: Cal. error 0.4910, RMSE 0.4266, R2 -5.5962
x175: Cal. error 0.5020, RMSE 0.4536, R2 -6.4564
x176: Cal. error 0.4960, RMSE 0.4308, R2 -5.7863
x177: Cal. error 0.5020, RMSE 0.4517, R2 -6.5181
x178: Cal. error 0.4950, RMSE 0.4217, R2 -5.5947
x179: Cal. error 0.5020, RMSE 0.4390, R2 -6.1885
x180: Cal. error 0.4990, RMSE 0.4154, R2 -5.5060
x181: Cal. error 0.5050, RMSE 0.4338, R2 -6.1377
x182: Cal. error 0.5020, RMSE 0.4031, R2 -5.1710
x183: Cal. error 0.5050, RMSE 0.4234, R2 -5.8185
x184: Cal. error 0.4960, RMSE 0.3958, R2 -4.9554
x185: Cal. error 0.5050, RMSE 0.4103, R2 -5.4076
x186: Cal. error 0.4880, RMSE 0.3775, R2 -4.3921
x187: Cal. error 0.5020, RMSE 0.3988, R2 -4.9805
x188: Cal. error 0.4880, RMSE 0.3825, R2 -4.4612
x189: Cal. error 0.4960, RMSE 0.3872, R2 -4.5495
x190: Cal. error 0.5050, RMSE 0.4495, R2 -6.4343
x191: Cal. error 0.5050, RMSE 0.5189, R2 -8.8293
x192: Cal. error 0.5020, RMSE 0.5769, R2 -11.0597
x193: Cal. error 0.5050, RMSE 0.4430, R2 -6.0522
x194: Cal. error 0.4850, RMSE 0.3764, R2 -4.0738
x195: Cal. error 0.4940, RMSE 0.3974, R2 -4.6128
x196: Cal. error 0.4820, RMSE 0.3755, R2 -3.9974
x197: Cal. error 0.4880, RMSE 0.3959, R2 -4.5631
x198: Cal. error 0.4720, RMSE 0.3658, R2 -3.7572
x199: Cal. error 0.4820, RMSE 0.3853, R2 -4.2957
x200: Cal. error 0.4620, RMSE 0.3684, R2 -3.8647
x201: Cal. error 0.4790, RMSE 0.3790, R2 -4.2076
x202: Cal. error 0.4570, RMSE 0.3558, R2 -3.6444
x203: Cal. error 0.4790, RMSE 0.3754, R2 -4.2357
x204: Cal. error 0.4670, RMSE 0.3557, R2 -3.7783
x205: Cal. error 0.4840, RMSE 0.3709, R2 -4.2733
x206: Cal. error 0.4620, RMSE 0.3455, R2 -3.6403
x207: Cal. error 0.4880, RMSE 0.3662, R2 -4.2920
x208: Cal. error 0.4710, RMSE 0.3469, R2 -3.8219
x209: Cal. error 0.4880, RMSE 0.3625, R2 -4.3335
x210: Cal. error 0.4740, RMSE 0.3404, R2 -3.7520
x211: Cal. error 0.4880, RMSE 0.3665, R2 -4.5564
x212: Cal. error 0.4790, RMSE 0.3459, R2 -3.9836
x213: Cal. error 0.4980, RMSE 0.3719, R2 -4.7806
x214: Cal. error 0.4820, RMSE 0.3470, R2 -4.0483
x215: Cal. error 0.5050, RMSE 0.3796, R2 -5.0471
x216: Cal. error 0.4850, RMSE 0.3585, R2 -4.3824
x217: Cal. error 0.5020, RMSE 0.3897, R2 -5.3420
x218: Cal. error 0.4910, RMSE 0.3619, R2 -4.4386
x219: Cal. error 0.5020, RMSE 0.3978, R2 -5.5395
x220: Cal. error 0.4940, RMSE 0.3752, R2 -4.7694
x221: Cal. error 0.5020, RMSE 0.4092, R2 -5.8044
x222: Cal. error 0.4910, RMSE 0.3783, R2 -4.7751
x223: Cal. error 0.5020, RMSE 0.4155, R2 -5.9214
x224: Cal. error 0.4910, RMSE 0.3915, R2 -5.0812
x225: Cal. error 0.4990, RMSE 0.4248, R2 -6.1157
x226: Cal. error 0.4880, RMSE 0.3910, R2 -4.9760
x227: Cal. error 0.4990, RMSE 0.4277, R2 -6.0765
x228: Cal. error 0.4880, RMSE 0.4007, R2 -5.1929
x229: Cal. error 0.4990, RMSE 0.4292, R2 -6.1607
x230: Cal. error 0.4850, RMSE 0.3969, R2 -5.0531
x231: Cal. error 0.4990, RMSE 0.4354, R2 -6.1713
x232: Cal. error 0.4910, RMSE 0.4105, R2 -5.3481
x233: Cal. error 0.4960, RMSE 0.4431, R2 -6.3536
x234: Cal. error 0.4940, RMSE 0.4128, R2 -5.3174
x235: Cal. error 0.4960, RMSE 0.4468, R2 -6.3301
x236: Cal. error 0.4910, RMSE 0.4271, R2 -5.6376
x237: Cal. error 0.4990, RMSE 0.4536, R2 -6.4744
x238: Cal. error 0.4990, RMSE 0.4256, R2 -5.5655
x239: Cal. error 0.4990, RMSE 0.4542, R2 -6.4754
x240: Cal. error 0.4990, RMSE 0.4302, R2 -5.7660
x241: Cal. error 0.5020, RMSE 0.4521, R2 -6.5300
x242: Cal. error 0.4990, RMSE 0.4200, R2 -5.5362
x243: Cal. error 0.5020, RMSE 0.4391, R2 -6.1862
x244: Cal. error 0.5050, RMSE 0.4135, R2 -5.4425
x245: Cal. error 0.5050, RMSE 0.4322, R2 -6.0805
x246: Cal. error 0.5040, RMSE 0.3995, R2 -5.0590
x247: Cal. error 0.5050, RMSE 0.4219, R2 -5.7667
x248: Cal. error 0.4960, RMSE 0.3924, R2 -4.8521
x249: Cal. error 0.5050, RMSE 0.4080, R2 -5.3314
x250: Cal. error 0.4890, RMSE 0.3738, R2 -4.2864
x251: Cal. error 0.5020, RMSE 0.3974, R2 -4.9376
x252: Cal. error 0.4910, RMSE 0.3779, R2 -4.3295
x253: Cal. error 0.4960, RMSE 0.3851, R2 -4.4892
x254: Cal. error 0.5050, RMSE 0.4437, R2 -6.2443
x255: Cal. error 0.5050, RMSE 0.5194, R2 -8.8494
x256: Cal. error 0.5050, RMSE 0.5932, R2 -11.7292
x257: Cal. error 0.5050, RMSE 0.4711, R2 -6.9648
x258: Cal. error 0.4850, RMSE 0.4007, R2 -4.7420
x259: Cal. error 0.4960, RMSE 0.4230, R2 -5.3503
x260: Cal. error 0.4740, RMSE 0.3948, R2 -4.5168
x261: Cal. error 0.4910, RMSE 0.4169, R2 -5.1624
x262: Cal. error 0.4650, RMSE 0.3838, R2 -4.2289
x263: Cal. error 0.4840, RMSE 0.4025, R2 -4.7726
x264: Cal. error 0.4650, RMSE 0.3835, R2 -4.2667
x265: Cal. error 0.4820, RMSE 0.3958, R2 -4.6699
x266: Cal. error 0.4620, RMSE 0.3701, R2 -4.0169
x267: Cal. error 0.4840, RMSE 0.3912, R2 -4.6794
x268: Cal. error 0.4740, RMSE 0.3699, R2 -4.1608
x269: Cal. error 0.4910, RMSE 0.3874, R2 -4.7441
x270: Cal. error 0.4720, RMSE 0.3594, R2 -4.0165
x271: Cal. error 0.4880, RMSE 0.3820, R2 -4.7525
x272: Cal. error 0.4790, RMSE 0.3614, R2 -4.2282
x273: Cal. error 0.4880, RMSE 0.3794, R2 -4.8354
x274: Cal. error 0.4790, RMSE 0.3560, R2 -4.1923
x275: Cal. error 0.4960, RMSE 0.3840, R2 -5.0936
x276: Cal. error 0.4850, RMSE 0.3631, R2 -4.4881
x277: Cal. error 0.4960, RMSE 0.3908, R2 -5.3769
x278: Cal. error 0.4840, RMSE 0.3655, R2 -4.5946
x279: Cal. error 0.5020, RMSE 0.3994, R2 -5.6872
x280: Cal. error 0.4850, RMSE 0.3793, R2 -5.0206
x281: Cal. error 0.5020, RMSE 0.4107, R2 -6.0401
x282: Cal. error 0.4910, RMSE 0.3836, R2 -5.1043
x283: Cal. error 0.5020, RMSE 0.4206, R2 -6.3051
x284: Cal. error 0.4940, RMSE 0.3995, R2 -5.5342
x285: Cal. error 0.4990, RMSE 0.4342, R2 -6.6523
x286: Cal. error 0.4910, RMSE 0.4036, R2 -5.5650
x287: Cal. error 0.4990, RMSE 0.4417, R2 -6.8128
x288: Cal. error 0.4910, RMSE 0.4188, R2 -5.9523
x289: Cal. error 0.4990, RMSE 0.4526, R2 -7.0669
x290: Cal. error 0.4880, RMSE 0.4187, R2 -5.8432
x291: Cal. error 0.4990, RMSE 0.4568, R2 -7.0642
x292: Cal. error 0.4940, RMSE 0.4300, R2 -6.1195
x293: Cal. error 0.4990, RMSE 0.4584, R2 -7.1579
x294: Cal. error 0.4890, RMSE 0.4245, R2 -5.9144
x295: Cal. error 0.4960, RMSE 0.4637, R2 -7.1190
x296: Cal. error 0.4940, RMSE 0.4376, R2 -6.2003
x297: Cal. error 0.4960, RMSE 0.4701, R2 -7.2611
x298: Cal. error 0.4940, RMSE 0.4376, R2 -6.0839
x299: Cal. error 0.4960, RMSE 0.4737, R2 -7.2167
x300: Cal. error 0.4960, RMSE 0.4519, R2 -6.4132
x301: Cal. error 0.4990, RMSE 0.4797, R2 -7.3364
x302: Cal. error 0.4960, RMSE 0.4491, R2 -6.2893
x303: Cal. error 0.4990, RMSE 0.4788, R2 -7.2821
x304: Cal. error 0.4960, RMSE 0.4542, R2 -6.5169
x305: Cal. error 0.4990, RMSE 0.4755, R2 -7.3004
x306: Cal. error 0.5020, RMSE 0.4422, R2 -6.2223
x307: Cal. error 0.5020, RMSE 0.4634, R2 -6.9797
x308: Cal. error 0.5020, RMSE 0.4375, R2 -6.1907
x309: Cal. error 0.5020, RMSE 0.4568, R2 -6.8883
x310: Cal. error 0.5050, RMSE 0.4231, R2 -5.7770
x311: Cal. error 0.5050, RMSE 0.4483, R2 -6.6214
x312: Cal. error 0.5050, RMSE 0.4176, R2 -5.6128
x313: Cal. error 0.5050, RMSE 0.4354, R2 -6.1955
x314: Cal. error 0.4940, RMSE 0.3991, R2 -5.0152
x315: Cal. error 0.5050, RMSE 0.4257, R2 -5.8007
x316: Cal. error 0.4960, RMSE 0.4059, R2 -5.1388
x317: Cal. error 0.5050, RMSE 0.4165, R2 -5.4103
x318: Cal. error 0.5050, RMSE 0.4624, R2 -6.8546
x319: Cal. error 0.5040, RMSE 0.5292, R2 -9.2118
x320: Cal. error 0.5020, RMSE 0.5390, R2 -8.3814
x321: Cal. error 0.4840, RMSE 0.3349, R2 -2.4395
x322: Cal. error 0.3580, RMSE 0.2688, R2 -1.0580
x323: Cal. error 0.4370, RMSE 0.3045, R2 -1.5955
x324: Cal. error 0.2830, RMSE 0.2578, R2 -0.8175
x325: Cal. error 0.3950, RMSE 0.2811, R2 -1.1374
x326: Cal. error 0.2160, RMSE 0.2470, R2 -0.6110
x327: Cal. error 0.3730, RMSE 0.2684, R2 -0.8694
x328: Cal. error 0.1720, RMSE 0.2395, R2 -0.5390
x329: Cal. error 0.3370, RMSE 0.2493, R2 -0.7183
x330: Cal. error 0.1510, RMSE 0.2289, R2 -0.4838
x331: Cal. error 0.3410, RMSE 0.2436, R2 -0.7215
x332: Cal. error 0.1460, RMSE 0.2201, R2 -0.4812
x333: Cal. error 0.3410, RMSE 0.2312, R2 -0.7358
x334: Cal. error 0.1460, RMSE 0.2120, R2 -0.5337
x335: Cal. error 0.3480, RMSE 0.2232, R2 -0.7631
x336: Cal. error 0.1530, RMSE 0.2130, R2 -0.6585
x337: Cal. error 0.3710, RMSE 0.2286, R2 -0.9622
x338: Cal. error 0.1940, RMSE 0.2203, R2 -0.8667
x339: Cal. error 0.4010, RMSE 0.2373, R2 -1.1980
x340: Cal. error 0.2470, RMSE 0.2348, R2 -1.1817
x341: Cal. error 0.4110, RMSE 0.2559, R2 -1.5955
x342: Cal. error 0.2950, RMSE 0.2596, R2 -1.6381
x343: Cal. error 0.4340, RMSE 0.2720, R2 -1.9295
x344: Cal. error 0.3300, RMSE 0.2713, R2 -2.0360
x345: Cal. error 0.4620, RMSE 0.2838, R2 -2.3466
x346: Cal. error 0.3580, RMSE 0.2855, R2 -2.3031
x347: Cal. error 0.4740, RMSE 0.3002, R2 -2.4970
x348: Cal. error 0.3770, RMSE 0.3124, R2 -2.5043
x349: Cal. error 0.4550, RMSE 0.3398, R2 -2.7261
x350: Cal. error 0.3720, RMSE 0.3572, R2 -2.6288
x351: Cal. error 0.4520, RMSE 0.3677, R2 -2.7916
x352: Cal. error 0.3570, RMSE 0.3613, R2 -2.7390
x353: Cal. error 0.4510, RMSE 0.3587, R2 -2.8507
x354: Cal. error 0.3510, RMSE 0.3482, R2 -2.6055
x355: Cal. error 0.4510, RMSE 0.3546, R2 -2.7181
x356: Cal. error 0.3480, RMSE 0.3525, R2 -2.5579
x357: Cal. error 0.4490, RMSE 0.3710, R2 -2.7443
x358: Cal. error 0.3440, RMSE 0.3670, R2 -2.4858
x359: Cal. error 0.4570, RMSE 0.3831, R2 -2.6083
x360: Cal. error 0.3370, RMSE 0.3896, R2 -2.5118
x361: Cal. error 0.4570, RMSE 0.3884, R2 -2.6355
x362: Cal. error 0.3170, RMSE 0.3737, R2 -2.4689
x363: Cal. error 0.4610, RMSE 0.3945, R2 -2.5588
x364: Cal. error 0.3080, RMSE 0.3983, R2 -2.5833
x365: Cal. error 0.4370, RMSE 0.3930, R2 -2.7449
x366: Cal. error 0.3140, RMSE 0.3761, R2 -2.7300
x367: Cal. error 0.4300, RMSE 0.3693, R2 -2.8311
x368: Cal. error 0.3320, RMSE 0.3751, R2 -3.0970
x369: Cal. error 0.4410, RMSE 0.3791, R2 -3.1831
x370: Cal. error 0.3570, RMSE 0.3754, R2 -3.2110
x371: Cal. error 0.4570, RMSE 0.3617, R2 -3.1493
x372: Cal. error 0.3800, RMSE 0.3584, R2 -3.3354
x373: Cal. error 0.4680, RMSE 0.3517, R2 -3.2829
x374: Cal. error 0.3780, RMSE 0.3455, R2 -3.2114
x375: Cal. error 0.4540, RMSE 0.3294, R2 -2.9700
x376: Cal. error 0.3850, RMSE 0.3292, R2 -2.9585
x377: Cal. error 0.4580, RMSE 0.3259, R2 -2.7708
x378: Cal. error 0.3670, RMSE 0.3102, R2 -2.2676
x379: Cal. error 0.4480, RMSE 0.3158, R2 -2.2113
x380: Cal. error 0.3840, RMSE 0.2870, R2 -1.7151
x381: Cal. error 0.4650, RMSE 0.2991, R2 -1.9768
x382: Cal. error 0.4770, RMSE 0.3554, R2 -3.2060
x383: Cal. error 0.5020, RMSE 0.4507, R2 -5.7394
x384: Cal. error 0.5020, RMSE 0.5491, R2 -8.8060
x385: Cal. error 0.4880, RMSE 0.3598, R2 -3.0008
x386: Cal. error 0.4000, RMSE 0.2988, R2 -1.5628
x387: Cal. error 0.4480, RMSE 0.3227, R2 -1.9368
x388: Cal. error 0.3100, RMSE 0.2839, R2 -1.2195
x389: Cal. error 0.4040, RMSE 0.3057, R2 -1.5417
x390: Cal. error 0.2630, RMSE 0.2787, R2 -1.0596
x391: Cal. error 0.3800, RMSE 0.2947, R2 -1.2622
x392: Cal. error 0.2260, RMSE 0.2716, R2 -0.9840
x393: Cal. error 0.3670, RMSE 0.2760, R2 -1.1090
x394: Cal. error 0.1990, RMSE 0.2599, R2 -0.9147
x395: Cal. error 0.3680, RMSE 0.2690, R2 -1.1013
x396: Cal. error 0.2040, RMSE 0.2504, R2 -0.9202
x397: Cal. error 0.3600, RMSE 0.2550, R2 -1.1144
x398: Cal. error 0.1900, RMSE 0.2385, R2 -0.9434
x399: Cal. error 0.3740, RMSE 0.2443, R2 -1.1170
x400: Cal. error 0.2130, RMSE 0.2378, R2 -1.0725
x401: Cal. error 0.4000, RMSE 0.2488, R2 -1.3299
x402: Cal. error 0.2430, RMSE 0.2422, R2 -1.2624
x403: Cal. error 0.4150, RMSE 0.2555, R2 -1.5534
x404: Cal. error 0.2810, RMSE 0.2571, R2 -1.6224
x405: Cal. error 0.4310, RMSE 0.2743, R2 -1.9873
x406: Cal. error 0.3170, RMSE 0.2817, R2 -2.1135
x407: Cal. error 0.4490, RMSE 0.2911, R2 -2.3589
x408: Cal. error 0.3620, RMSE 0.2947, R2 -2.5851
x409: Cal. error 0.4680, RMSE 0.3043, R2 -2.8499
x410: Cal. error 0.3810, RMSE 0.3091, R2 -2.8770
x411: Cal. error 0.4690, RMSE 0.3221, R2 -3.0307
x412: Cal. error 0.3910, RMSE 0.3399, R2 -3.1541
x413: Cal. error 0.4590, RMSE 0.3649, R2 -3.3013
x414: Cal. error 0.3880, RMSE 0.3883, R2 -3.2928
x415: Cal. error 0.4710, RMSE 0.3954, R2 -3.3899
x416: Cal. error 0.3950, RMSE 0.3941, R2 -3.4543
x417: Cal. error 0.4770, RMSE 0.3874, R2 -3.4966
