Calibration metrics:
x0: Cal. error 0.5050, RMSE 0.7175, R2 -17.4322
x1: Cal. error 0.5050, RMSE 0.7121, R2 -17.0084
x2: Cal. error 0.5050, RMSE 0.7121, R2 -16.9392
x3: Cal. error 0.5050, RMSE 0.7117, R2 -16.7706
x4: Cal. error 0.5050, RMSE 0.7120, R2 -16.7286
x5: Cal. error 0.5050, RMSE 0.7087, R2 -16.5916
x6: Cal. error 0.5050, RMSE 0.7090, R2 -16.6269
x7: Cal. error 0.5050, RMSE 0.7058, R2 -16.5284
x8: Cal. error 0.5050, RMSE 0.7054, R2 -16.5962
x9: Cal. error 0.5050, RMSE 0.7005, R2 -16.5380
x10: Cal. error 0.5050, RMSE 0.6985, R2 -16.6485
x11: Cal. error 0.5050, RMSE 0.6945, R2 -16.6748
x12: Cal. error 0.5050, RMSE 0.6924, R2 -16.8489
x13: Cal. error 0.5050, RMSE 0.6891, R2 -16.9446
x14: Cal. error 0.5050, RMSE 0.6887, R2 -17.1852
x15: Cal. error 0.5050, RMSE 0.6863, R2 -17.3335
x16: Cal. error 0.5050, RMSE 0.6868, R2 -17.6392
x17: Cal. error 0.5050, RMSE 0.6860, R2 -17.8347
x18: Cal. error 0.5050, RMSE 0.6888, R2 -18.1941
x19: Cal. error 0.5050, RMSE 0.6904, R2 -18.4538
x20: Cal. error 0.5050, RMSE 0.6947, R2 -18.8400
x21: Cal. error 0.5050, RMSE 0.6984, R2 -19.1147
x22: Cal. error 0.5050, RMSE 0.7045, R2 -19.5378
x23: Cal. error 0.5050, RMSE 0.7093, R2 -19.8364
x24: Cal. error 0.5050, RMSE 0.7169, R2 -20.2437
x25: Cal. error 0.5050, RMSE 0.7225, R2 -20.5228
x26: Cal. error 0.5050, RMSE 0.7315, R2 -20.9325
x27: Cal. error 0.5050, RMSE 0.7376, R2 -21.1958
x28: Cal. error 0.5050, RMSE 0.7472, R2 -21.5943
x29: Cal. error 0.5050, RMSE 0.7544, R2 -21.8349
x30: Cal. error 0.5050, RMSE 0.7629, R2 -22.1900
x31: Cal. error 0.5050, RMSE 0.7688, R2 -22.4056
x32: Cal. error 0.5050, RMSE 0.7786, R2 -22.7588
x33: Cal. error 0.5050, RMSE 0.7831, R2 -22.8829
x34: Cal. error 0.5050, RMSE 0.7902, R2 -23.1172
x35: Cal. error 0.5050, RMSE 0.7958, R2 -23.2200
x36: Cal. error 0.5050, RMSE 0.8011, R2 -23.4681
x37: Cal. error 0.5050, RMSE 0.7967, R2 -23.4112
x38: Cal. error 0.5050, RMSE 0.8032, R2 -23.5339
x39: Cal. error 0.5050, RMSE 0.8090, R2 -23.5067
x40: Cal. error 0.5050, RMSE 0.8114, R2 -23.5705
x41: Cal. error 0.5050, RMSE 0.8114, R2 -23.4386
x42: Cal. error 0.5050, RMSE 0.8153, R2 -23.4343
x43: Cal. error 0.5050, RMSE 0.8162, R2 -23.2604
x44: Cal. error 0.5050, RMSE 0.8188, R2 -23.2031
x45: Cal. error 0.5050, RMSE 0.8153, R2 -22.9627
x46: Cal. error 0.5050, RMSE 0.8132, R2 -22.7871
x47: Cal. error 0.5050, RMSE 0.8081, R2 -22.4900
x48: Cal. error 0.5050, RMSE 0.8004, R2 -22.2537
x49: Cal. error 0.5050, RMSE 0.7912, R2 -21.8958
x50: Cal. error 0.5050, RMSE 0.7842, R2 -21.6282
x51: Cal. error 0.5050, RMSE 0.7750, R2 -21.2277
x52: Cal. error 0.5050, RMSE 0.7652, R2 -20.9018
x53: Cal. error 0.5050, RMSE 0.7555, R2 -20.4745
x54: Cal. error 0.5050, RMSE 0.7493, R2 -20.1492
x55: Cal. error 0.5050, RMSE 0.7416, R2 -19.7417
x56: Cal. error 0.5050, RMSE 0.7359, R2 -19.4102
x57: Cal. error 0.5050, RMSE 0.7291, R2 -19.0422
x58: Cal. error 0.5050, RMSE 0.7255, R2 -18.7323
x59: Cal. error 0.5050, RMSE 0.7213, R2 -18.3735
x60: Cal. error 0.5050, RMSE 0.7189, R2 -18.0906
x61: Cal. error 0.5050, RMSE 0.7148, R2 -17.7164
x62: Cal. error 0.5050, RMSE 0.7124, R2 -17.4727
x63: Cal. error 0.5050, RMSE 0.7193, R2 -17.6797
x64: Cal. error 0.5050, RMSE 0.7156, R2 -17.4440
x65: Cal. error 0.5050, RMSE 0.7113, R2 -17.0676
x66: Cal. error 0.5050, RMSE 0.7109, R2 -16.9766
x67: Cal. error 0.5050, RMSE 0.7105, R2 -16.8125
x68: Cal. error 0.5050, RMSE 0.7104, R2 -16.7460
x69: Cal. error 0.5050, RMSE 0.7075, R2 -16.6256
x70: Cal. error 0.5050, RMSE 0.7072, R2 -16.6304
x71: Cal. error 0.5050, RMSE 0.7045, R2 -16.5555
x72: Cal. error 0.5050, RMSE 0.7038, R2 -16.5993
x73: Cal. error 0.5050, RMSE 0.6993, R2 -16.5635
x74: Cal. error 0.5050, RMSE 0.6969, R2 -16.6476
x75: Cal. error 0.5050, RMSE 0.6933, R2 -16.6878
x76: Cal. error 0.5050, RMSE 0.6908, R2 -16.8384
x77: Cal. error 0.5050, RMSE 0.6879, R2 -16.9534
x78: Cal. error 0.5050, RMSE 0.6871, R2 -17.1669
x79: Cal. error 0.5050, RMSE 0.6851, R2 -17.3344
x80: Cal. error 0.5050, RMSE 0.6851, R2 -17.6146
x81: Cal. error 0.5050, RMSE 0.6848, R2 -17.8313
x82: Cal. error 0.5050, RMSE 0.6871, R2 -18.1649
x83: Cal. error 0.5050, RMSE 0.6891, R2 -18.4395
x84: Cal. error 0.5050, RMSE 0.6929, R2 -18.7973
x85: Cal. error 0.5050, RMSE 0.6969, R2 -19.0887
x86: Cal. error 0.5050, RMSE 0.7026, R2 -19.4845
x87: Cal. error 0.5050, RMSE 0.7076, R2 -19.7982
x88: Cal. error 0.5050, RMSE 0.7149, R2 -20.1806
x89: Cal. error 0.5050, RMSE 0.7207, R2 -20.4744
x90: Cal. error 0.5050, RMSE 0.7294, R2 -20.8643
x91: Cal. error 0.5050, RMSE 0.7356, R2 -21.1343
x92: Cal. error 0.5050, RMSE 0.7449, R2 -21.5120
x93: Cal. error 0.5050, RMSE 0.7524, R2 -21.7628
x94: Cal. error 0.5050, RMSE 0.7606, R2 -22.1031
x95: Cal. error 0.5050, RMSE 0.7666, R2 -22.3217
x96: Cal. error 0.5050, RMSE 0.7762, R2 -22.6673
x97: Cal. error 0.5050, RMSE 0.7808, R2 -22.7954
x98: Cal. error 0.5050, RMSE 0.7878, R2 -23.0248
