Calibration metrics:
x0: Cal. error 0.5050, RMSE 0.7143, R2 -17.2694
x1: Cal. error 0.5050, RMSE 0.7134, R2 -17.0720
x2: Cal. error 0.5050, RMSE 0.7040, R2 -16.5296
x3: Cal. error 0.5050, RMSE 0.6987, R2 -16.1272
x4: Cal. error 0.5050, RMSE 0.7013, R2 -16.2017
x5: Cal. error 0.5050, RMSE 0.6968, R2 -16.0059
x6: Cal. error 0.5050, RMSE 0.6977, R2 -16.0704
x7: Cal. error 0.5050, RMSE 0.6947, R2 -15.9826
x8: Cal. error 0.5050, RMSE 0.6950, R2 -16.0781
x9: Cal. error 0.5050, RMSE 0.6899, R2 -16.0112
x10: Cal. error 0.5050, RMSE 0.6883, R2 -16.1401
x11: Cal. error 0.5050, RMSE 0.6843, R2 -16.1595
x12: Cal. error 0.5050, RMSE 0.6826, R2 -16.3488
x13: Cal. error 0.5050, RMSE 0.6785, R2 -16.3972
x14: Cal. error 0.5050, RMSE 0.6785, R2 -16.6532
x15: Cal. error 0.5050, RMSE 0.6759, R2 -16.7827
x16: Cal. error 0.5050, RMSE 0.6768, R2 -17.1039
x17: Cal. error 0.5050, RMSE 0.6753, R2 -17.2538
x18: Cal. error 0.5050, RMSE 0.6786, R2 -17.6305
x19: Cal. error 0.5050, RMSE 0.6799, R2 -17.8656
x20: Cal. error 0.5050, RMSE 0.6844, R2 -18.2522
x21: Cal. error 0.5050, RMSE 0.6869, R2 -18.4602
x22: Cal. error 0.5050, RMSE 0.6932, R2 -18.8819
x23: Cal. error 0.5050, RMSE 0.6974, R2 -19.1480
x24: Cal. error 0.5050, RMSE 0.7052, R2 -19.5542
x25: Cal. error 0.5050, RMSE 0.7097, R2 -19.7691
x26: Cal. error 0.5050, RMSE 0.7190, R2 -20.1893
x27: Cal. error 0.5050, RMSE 0.7245, R2 -20.4149
x28: Cal. error 0.5050, RMSE 0.7342, R2 -20.8176
x29: Cal. error 0.5050, RMSE 0.7401, R2 -20.9795
x30: Cal. error 0.5050, RMSE 0.7490, R2 -21.3556
x31: Cal. error 0.5050, RMSE 0.7544, R2 -21.5401
x32: Cal. error 0.5050, RMSE 0.7648, R2 -21.9241
x33: Cal. error 0.5050, RMSE 0.7681, R2 -21.9773
x34: Cal. error 0.5050, RMSE 0.7760, R2 -22.2585
x35: Cal. error 0.5050, RMSE 0.7810, R2 -22.3260
x36: Cal. error 0.5050, RMSE 0.7869, R2 -22.6119
x37: Cal. error 0.5050, RMSE 0.7814, R2 -22.4828
x38: Cal. error 0.5050, RMSE 0.7888, R2 -22.6624
x39: Cal. error 0.5050, RMSE 0.7941, R2 -22.6149
x40: Cal. error 0.5050, RMSE 0.7975, R2 -22.7366
x41: Cal. error 0.5050, RMSE 0.7965, R2 -22.5499
x42: Cal. error 0.5050, RMSE 0.8016, R2 -22.6157
x43: Cal. error 0.5050, RMSE 0.8021, R2 -22.4266
x44: Cal. error 0.5050, RMSE 0.8056, R2 -22.4295
x45: Cal. error 0.5050, RMSE 0.8011, R2 -22.1340
x46: Cal. error 0.5050, RMSE 0.8001, R2 -22.0306
x47: Cal. error 0.5050, RMSE 0.7946, R2 -21.7142
x48: Cal. error 0.5050, RMSE 0.7880, R2 -21.5390
x49: Cal. error 0.5050, RMSE 0.7778, R2 -21.1244
x50: Cal. error 0.5050, RMSE 0.7720, R2 -20.9302
x51: Cal. error 0.5050, RMSE 0.7622, R2 -20.4973
x52: Cal. error 0.5050, RMSE 0.7534, R2 -20.2360
x53: Cal. error 0.5050, RMSE 0.7426, R2 -19.7505
x54: Cal. error 0.5050, RMSE 0.7380, R2 -19.5140
x55: Cal. error 0.5050, RMSE 0.7293, R2 -19.0602
x56: Cal. error 0.5050, RMSE 0.7250, R2 -18.8104
x57: Cal. error 0.5050, RMSE 0.7168, R2 -18.3707
x58: Cal. error 0.5050, RMSE 0.7149, R2 -18.1602
x59: Cal. error 0.5050, RMSE 0.7098, R2 -17.7615
x60: Cal. error 0.5050, RMSE 0.7093, R2 -17.5871
x61: Cal. error 0.5050, RMSE 0.7023, R2 -17.0706
x62: Cal. error 0.5050, RMSE 0.6955, R2 -16.6055
x63: Cal. error 0.5050, RMSE 0.7217, R2 -17.8062
x64: Cal. error 0.5050, RMSE 0.7144, R2 -17.3785
x65: Cal. error 0.5050, RMSE 0.7143, R2 -17.2185
x66: Cal. error 0.5050, RMSE 0.7061, R2 -16.7368
x67: Cal. error 0.5050, RMSE 0.7019, R2 -16.3836
x68: Cal. error 0.5050, RMSE 0.7040, R2 -16.4291
x69: Cal. error 0.5050, RMSE 0.6998, R2 -16.2418
x70: Cal. error 0.5050, RMSE 0.7005, R2 -16.2978
x71: Cal. error 0.5050, RMSE 0.6974, R2 -16.2038
x72: Cal. error 0.5050, RMSE 0.6976, R2 -16.2896
x73: Cal. error 0.5050, RMSE 0.6925, R2 -16.2205
x74: Cal. error 0.5050, RMSE 0.6909, R2 -16.3456
x75: Cal. error 0.5050, RMSE 0.6868, R2 -16.3592
x76: Cal. error 0.5050, RMSE 0.6851, R2 -16.5456
x77: Cal. error 0.5050, RMSE 0.6811, R2 -16.5972
x78: Cal. error 0.5050, RMSE 0.6811, R2 -16.8522
x79: Cal. error 0.5050, RMSE 0.6785, R2 -16.9801
x80: Cal. error 0.5050, RMSE 0.6792, R2 -17.2953
x81: Cal. error 0.5050, RMSE 0.6779, R2 -17.4519
x82: Cal. error 0.5050, RMSE 0.6810, R2 -17.8261
x83: Cal. error 0.5050, RMSE 0.6824, R2 -18.0604
x84: Cal. error 0.5050, RMSE 0.6867, R2 -18.4419
x85: Cal. error 0.5050, RMSE 0.6894, R2 -18.6558
x86: Cal. error 0.5050, RMSE 0.6957, R2 -19.0809
x87: Cal. error 0.5050, RMSE 0.6999, R2 -19.3470
x88: Cal. error 0.5050, RMSE 0.7076, R2 -19.7512
x89: Cal. error 0.5050, RMSE 0.7122, R2 -19.9707
x90: Cal. error 0.5050, RMSE 0.7216, R2 -20.3978
x91: Cal. error 0.5050, RMSE 0.7270, R2 -20.6193
x92: Cal. error 0.5050, RMSE 0.7368, R2 -21.0215
x93: Cal. error 0.5050, RMSE 0.7428, R2 -21.1881
x94: Cal. error 0.5050, RMSE 0.7518, R2 -21.5704
x95: Cal. error 0.5050, RMSE 0.7570, R2 -21.7465
x96: Cal. error 0.5050, RMSE 0.7674, R2 -22.1314
x97: Cal. error 0.5050, RMSE 0.7707, R2 -22.1879
x98: Cal. error 0.5050, RMSE 0.7787, R2 -22.4724
x99: Cal. error 0.5050, RMSE 0.7836, R2 -22.5358
x100: Cal. error 0.5050, RMSE 0.7896, R2 -22.8240
x101: Cal. error 0.5050, RMSE 0.7841, R2 -22.6990
x102: Cal. error 0.5050, RMSE 0.7916, R2 -22.8834
x103: Cal. error 0.5050, RMSE 0.7968, R2 -22.8291
x104: Cal. error 0.5050, RMSE 0.8002, R2 -22.9535
x105: Cal. error 0.5050, RMSE 0.7992, R2 -22.7677
x106: Cal. error 0.5050, RMSE 0.8043, R2 -22.8369
x107: Cal. error 0.5050, RMSE 0.8047, R2 -22.6430
x108: Cal. error 0.5050, RMSE 0.8082, R2 -22.6472
x109: Cal. error 0.5050, RMSE 0.8037, R2 -22.3568
x110: Cal. error 0.5050, RMSE 0.8028, R2 -22.2598
x111: Cal. error 0.5050, RMSE 0.7972, R2 -21.9402
x112: Cal. error 0.5050, RMSE 0.7905, R2 -21.7659
x113: Cal. error 0.5050, RMSE 0.7804, R2 -21.3579
x114: Cal. error 0.5050, RMSE 0.7745, R2 -21.1641
x115: Cal. error 0.5050, RMSE 0.7647, R2 -20.7329
x116: Cal. error 0.5050, RMSE 0.7559, R2 -20.4691
x117: Cal. error 0.5050, RMSE 0.7451, R2 -19.9884
x118: Cal. error 0.5050, RMSE 0.7404, R2 -19.7510
x119: Cal. error 0.5050, RMSE 0.7318, R2 -19.2986
x120: Cal. error 0.5050, RMSE 0.7274, R2 -19.0456
