Calibration metrics:
x0: Cal. error 0.5050, RMSE 0.7057, R2 -16.8332
x1: Cal. error 0.5050, RMSE 0.6990, R2 -16.3487
x2: Cal. error 0.5050, RMSE 0.7015, R2 -16.4062
x3: Cal. error 0.5050, RMSE 0.7011, R2 -16.2456
x4: Cal. error 0.5050, RMSE 0.7002, R2 -16.1489
x5: Cal. error 0.5050, RMSE 0.6978, R2 -16.0520
x6: Cal. error 0.5050, RMSE 0.6986, R2 -16.1169
x7: Cal. error 0.5050, RMSE 0.6941, R2 -15.9555
x8: Cal. error 0.5050, RMSE 0.6959, R2 -16.1221
x9: Cal. error 0.5050, RMSE 0.6892, R2 -15.9793
x10: Cal. error 0.5050, RMSE 0.6889, R2 -16.1679
x11: Cal. error 0.5050, RMSE 0.6833, R2 -16.1091
x12: Cal. error 0.5050, RMSE 0.6833, R2 -16.3826
x13: Cal. error 0.5050, RMSE 0.6783, R2 -16.3857
x14: Cal. error 0.5050, RMSE 0.6794, R2 -16.6988
x15: Cal. error 0.5050, RMSE 0.6755, R2 -16.7589
x16: Cal. error 0.5050, RMSE 0.6775, R2 -17.1381
x17: Cal. error 0.5050, RMSE 0.6751, R2 -17.2392
x18: Cal. error 0.5050, RMSE 0.6790, R2 -17.6540
x19: Cal. error 0.5050, RMSE 0.6792, R2 -17.8230
x20: Cal. error 0.5050, RMSE 0.6852, R2 -18.2980
x21: Cal. error 0.5050, RMSE 0.6871, R2 -18.4684
x22: Cal. error 0.5050, RMSE 0.6951, R2 -18.9898
x23: Cal. error 0.5050, RMSE 0.6979, R2 -19.1761
x24: Cal. error 0.5050, RMSE 0.7081, R2 -19.7280
x25: Cal. error 0.5050, RMSE 0.7112, R2 -19.8586
x26: Cal. error 0.5050, RMSE 0.7229, R2 -20.4201
x27: Cal. error 0.5050, RMSE 0.7265, R2 -20.5373
x28: Cal. error 0.5050, RMSE 0.7392, R2 -21.1142
x29: Cal. error 0.5050, RMSE 0.7432, R2 -21.1637
x30: Cal. error 0.5050, RMSE 0.7549, R2 -21.7061
x31: Cal. error 0.5050, RMSE 0.7577, R2 -21.7340
x32: Cal. error 0.5050, RMSE 0.7710, R2 -22.2995
x33: Cal. error 0.5050, RMSE 0.7718, R2 -22.1995
x34: Cal. error 0.5050, RMSE 0.7823, R2 -22.6387
x35: Cal. error 0.5050, RMSE 0.7847, R2 -22.5476
x36: Cal. error 0.5050, RMSE 0.7934, R2 -23.0029
x37: Cal. error 0.5050, RMSE 0.7852, R2 -22.7089
x38: Cal. error 0.5050, RMSE 0.7951, R2 -23.0414
x39: Cal. error 0.5050, RMSE 0.7972, R2 -22.7961
x40: Cal. error 0.5050, RMSE 0.8032, R2 -23.0764
x41: Cal. error 0.5050, RMSE 0.7993, R2 -22.7160
x42: Cal. error 0.5050, RMSE 0.8064, R2 -22.9022
x43: Cal. error 0.5050, RMSE 0.8041, R2 -22.5437
x44: Cal. error 0.5050, RMSE 0.8096, R2 -22.6624
x45: Cal. error 0.5050, RMSE 0.8029, R2 -22.2397
x46: Cal. error 0.5050, RMSE 0.8036, R2 -22.2275
x47: Cal. error 0.5050, RMSE 0.7958, R2 -21.7801
x48: Cal. error 0.5050, RMSE 0.7908, R2 -21.6965
x49: Cal. error 0.5050, RMSE 0.7791, R2 -21.2008
x50: Cal. error 0.5050, RMSE 0.7743, R2 -21.0583
x51: Cal. error 0.5050, RMSE 0.7631, R2 -20.5486
x52: Cal. error 0.5050, RMSE 0.7555, R2 -20.3507
x53: Cal. error 0.5050, RMSE 0.7436, R2 -19.8031
x54: Cal. error 0.5050, RMSE 0.7397, R2 -19.6116
x55: Cal. error 0.5050, RMSE 0.7298, R2 -19.0880
x56: Cal. error 0.5050, RMSE 0.7268, R2 -18.9070
x57: Cal. error 0.5050, RMSE 0.7174, R2 -18.4033
x58: Cal. error 0.5050, RMSE 0.7163, R2 -18.2358
x59: Cal. error 0.5050, RMSE 0.7095, R2 -17.7447
x60: Cal. error 0.5050, RMSE 0.7093, R2 -17.5863
x61: Cal. error 0.5050, RMSE 0.7064, R2 -17.2782
x62: Cal. error 0.5050, RMSE 0.7132, R2 -17.5169
x63: Cal. error 0.5050, RMSE 0.7030, R2 -16.8447
x64: Cal. error 0.5050, RMSE 0.7086, R2 -17.0819
x65: Cal. error 0.5050, RMSE 0.6997, R2 -16.4853
x66: Cal. error 0.5050, RMSE 0.7025, R2 -16.5581
x67: Cal. error 0.5050, RMSE 0.7013, R2 -16.3505
x68: Cal. error 0.5050, RMSE 0.7016, R2 -16.3114
x69: Cal. error 0.5050, RMSE 0.6984, R2 -16.1725
x70: Cal. error 0.5050, RMSE 0.6992, R2 -16.2369
x71: Cal. error 0.5050, RMSE 0.6952, R2 -16.0945
x72: Cal. error 0.5050, RMSE 0.6964, R2 -16.2298
x73: Cal. error 0.5050, RMSE 0.6902, R2 -16.1054
x74: Cal. error 0.5050, RMSE 0.6893, R2 -16.2625
x75: Cal. error 0.5050, RMSE 0.6840, R2 -16.2183
x76: Cal. error 0.5050, RMSE 0.6834, R2 -16.4608
x77: Cal. error 0.5050, RMSE 0.6789, R2 -16.4842
x78: Cal. error 0.5050, RMSE 0.6794, R2 -16.7636
x79: Cal. error 0.5050, RMSE 0.6761, R2 -16.8530
x80: Cal. error 0.5050, RMSE 0.6776, R2 -17.2088
x81: Cal. error 0.5050, RMSE 0.6758, R2 -17.3399
x82: Cal. error 0.5050, RMSE 0.6793, R2 -17.7309
x83: Cal. error 0.5050, RMSE 0.6800, R2 -17.9281
x84: Cal. error 0.5050, RMSE 0.6856, R2 -18.3783
x85: Cal. error 0.5050, RMSE 0.6878, R2 -18.5685
x86: Cal. error 0.5050, RMSE 0.6954, R2 -19.0649
x87: Cal. error 0.5050, RMSE 0.6985, R2 -19.2673
x88: Cal. error 0.5050, RMSE 0.7086, R2 -19.8072
x89: Cal. error 0.5050, RMSE 0.7119, R2 -19.9487
x90: Cal. error 0.5050, RMSE 0.7234, R2 -20.5031
x91: Cal. error 0.5050, RMSE 0.7270, R2 -20.6150
x92: Cal. error 0.5050, RMSE 0.7397, R2 -21.1958
x93: Cal. error 0.5050, RMSE 0.7439, R2 -21.2512
x94: Cal. error 0.5050, RMSE 0.7553, R2 -21.7825
x95: Cal. error 0.5050, RMSE 0.7581, R2 -21.8086
x96: Cal. error 0.5050, RMSE 0.7714, R2 -22.3764
x97: Cal. error 0.5050, RMSE 0.7724, R2 -22.2860
x98: Cal. error 0.5050, RMSE 0.7826, R2 -22.7099
x99: Cal. error 0.5050, RMSE 0.7849, R2 -22.6121
x100: Cal. error 0.5050, RMSE 0.7937, R2 -23.0727
x101: Cal. error 0.5050, RMSE 0.7857, R2 -22.7956
x102: Cal. error 0.5050, RMSE 0.7952, R2 -23.1007
x103: Cal. error 0.5050, RMSE 0.7975, R2 -22.8670
x104: Cal. error 0.5050, RMSE 0.8033, R2 -23.1351
x105: Cal. error 0.5050, RMSE 0.7998, R2 -22.7988
x106: Cal. error 0.5050, RMSE 0.8066, R2 -22.9717
x107: Cal. error 0.5050, RMSE 0.8044, R2 -22.6224
x108: Cal. error 0.5050, RMSE 0.8099, R2 -22.7470
x109: Cal. error 0.5050, RMSE 0.8035, R2 -22.3453
x110: Cal. error 0.5050, RMSE 0.8039, R2 -22.3238
x111: Cal. error 0.5050, RMSE 0.7964, R2 -21.8934
x112: Cal. error 0.5050, RMSE 0.7912, R2 -21.8054
x113: Cal. error 0.5050, RMSE 0.7799, R2 -21.3345
x114: Cal. error 0.5050, RMSE 0.7750, R2 -21.1888
x115: Cal. error 0.5050, RMSE 0.7639, R2 -20.6901
x116: Cal. error 0.5050, RMSE 0.7565, R2 -20.5029
x117: Cal. error 0.5050, RMSE 0.7446, R2 -19.9616
x118: Cal. error 0.5050, RMSE 0.7407, R2 -19.7691
x119: Cal. error 0.5050, RMSE 0.7308, R2 -19.2446
x120: Cal. error 0.5050, RMSE 0.7278, R2 -19.0646
x121: Cal. error 0.5050, RMSE 0.7185, R2 -18.5681
x122: Cal. error 0.5050, RMSE 0.7171, R2 -18.3831
x123: Cal. error 0.5050, RMSE 0.7109, R2 -17.9244
x124: Cal. error 0.5050, RMSE 0.7112, R2 -17.7924
x125: Cal. error 0.5050, RMSE 0.7076, R2 -17.4467
x126: Cal. error 0.5050, RMSE 0.7128, R2 -17.6005
x127: Cal. error 0.5050, RMSE 0.7038, R2 -16.9880
x128: Cal. error 0.5050, RMSE 0.7057, R2 -17.0367
x129: Cal. error 0.5050, RMSE 0.7058, R2 -16.8939
x130: Cal. error 0.5050, RMSE 0.7036, R2 -16.7154
x131: Cal. error 0.5050, RMSE 0.7023, R2 -16.5112
x132: Cal. error 0.5050, RMSE 0.7025, R2 -16.4672
x133: Cal. error 0.5050, RMSE 0.6993, R2 -16.3310
x134: Cal. error 0.5050, RMSE 0.7000, R2 -16.3909
x135: Cal. error 0.5050, RMSE 0.6961, R2 -16.2520
x136: Cal. error 0.5050, RMSE 0.6976, R2 -16.4045
x137: Cal. error 0.5050, RMSE 0.6908, R2 -16.2550
x138: Cal. error 0.5050, RMSE 0.6904, R2 -16.4396
x139: Cal. error 0.5050, RMSE 0.6850, R2 -16.3850
x140: Cal. error 0.5050, RMSE 0.6848, R2 -16.6508
x141: Cal. error 0.5050, RMSE 0.6796, R2 -16.6445
x142: Cal. error 0.5050, RMSE 0.6807, R2 -16.9552
x143: Cal. error 0.5050, RMSE 0.6769, R2 -17.0210
x144: Cal. error 0.5050, RMSE 0.6788, R2 -17.4002
x145: Cal. error 0.5050, RMSE 0.6764, R2 -17.4976
x146: Cal. error 0.5050, RMSE 0.6804, R2 -17.9212
x147: Cal. error 0.5050, RMSE 0.6808, R2 -18.0993
x148: Cal. error 0.5050, RMSE 0.6867, R2 -18.5741
x149: Cal. error 0.5050, RMSE 0.6884, R2 -18.7356
x150: Cal. error 0.5050, RMSE 0.6967, R2 -19.2744
x151: Cal. error 0.5050, RMSE 0.6995, R2 -19.4595
x152: Cal. error 0.5050, RMSE 0.7099, R2 -20.0237
x153: Cal. error 0.5050, RMSE 0.7126, R2 -20.1269
