Calibration metrics:
x0: Cal. error 0.5050, RMSE 0.8237, R2 -23.2965
x1: Cal. error 0.5050, RMSE 0.7607, R2 -19.5476
x2: Cal. error 0.5050, RMSE 0.7638, R2 -19.6368
x3: Cal. error 0.5050, RMSE 0.7665, R2 -19.6132
x4: Cal. error 0.5050, RMSE 0.7679, R2 -19.6207
x5: Cal. error 0.5050, RMSE 0.7660, R2 -19.5526
x6: Cal. error 0.5050, RMSE 0.7662, R2 -19.5890
x7: Cal. error 0.5050, RMSE 0.7644, R2 -19.5636
x8: Cal. error 0.5050, RMSE 0.7638, R2 -19.6280
x9: Cal. error 0.5050, RMSE 0.7598, R2 -19.6340
x10: Cal. error 0.5050, RMSE 0.7571, R2 -19.7328
x11: Cal. error 0.5050, RMSE 0.7536, R2 -19.8099
x12: Cal. error 0.5050, RMSE 0.7506, R2 -19.9776
x13: Cal. error 0.5050, RMSE 0.7480, R2 -20.1439
x14: Cal. error 0.5050, RMSE 0.7469, R2 -20.3939
x15: Cal. error 0.5050, RMSE 0.7452, R2 -20.6152
x16: Cal. error 0.5050, RMSE 0.7449, R2 -20.9285
x17: Cal. error 0.5050, RMSE 0.7447, R2 -21.1985
x18: Cal. error 0.5050, RMSE 0.7468, R2 -21.5666
x19: Cal. error 0.5050, RMSE 0.7489, R2 -21.8891
x20: Cal. error 0.5050, RMSE 0.7523, R2 -22.2641
x21: Cal. error 0.5050, RMSE 0.7565, R2 -22.6043
x22: Cal. error 0.5050, RMSE 0.7620, R2 -23.0251
x23: Cal. error 0.5050, RMSE 0.7673, R2 -23.3878
x24: Cal. error 0.5050, RMSE 0.7742, R2 -23.7783
x25: Cal. error 0.5050, RMSE 0.7805, R2 -24.1197
x26: Cal. error 0.5050, RMSE 0.7892, R2 -24.5266
x27: Cal. error 0.5050, RMSE 0.7959, R2 -24.8449
x28: Cal. error 0.5050, RMSE 0.8050, R2 -25.2300
x29: Cal. error 0.5050, RMSE 0.8133, R2 -25.5371
x30: Cal. error 0.5050, RMSE 0.8215, R2 -25.8884
x31: Cal. error 0.5050, RMSE 0.8282, R2 -26.1662
x32: Cal. error 0.5050, RMSE 0.8379, R2 -26.5137
x33: Cal. error 0.5050, RMSE 0.8433, R2 -26.6961
x34: Cal. error 0.5050, RMSE 0.8504, R2 -26.9284
x35: Cal. error 0.5050, RMSE 0.8569, R2 -27.0833
x36: Cal. error 0.5050, RMSE 0.8618, R2 -27.3214
x37: Cal. error 0.5050, RMSE 0.8581, R2 -27.3203
x38: Cal. error 0.5050, RMSE 0.8648, R2 -27.4404
x39: Cal. error 0.5050, RMSE 0.8719, R2 -27.4637
x40: Cal. error 0.5050, RMSE 0.8742, R2 -27.5180
x41: Cal. error 0.5050, RMSE 0.8752, R2 -27.4358
x42: Cal. error 0.5050, RMSE 0.8794, R2 -27.4231
x43: Cal. error 0.5050, RMSE 0.8813, R2 -27.2834
x44: Cal. error 0.5050, RMSE 0.8837, R2 -27.1946
x45: Cal. error 0.5050, RMSE 0.8810, R2 -26.9794
x46: Cal. error 0.5050, RMSE 0.8785, R2 -26.7606
x47: Cal. error 0.5050, RMSE 0.8738, R2 -26.4656
x48: Cal. error 0.5050, RMSE 0.8652, R2 -26.1715
x49: Cal. error 0.5050, RMSE 0.8561, R2 -25.8042
x50: Cal. error 0.5050, RMSE 0.8483, R2 -25.4757
x51: Cal. error 0.5050, RMSE 0.8389, R2 -25.0440
x52: Cal. error 0.5050, RMSE 0.8279, R2 -24.6390
x53: Cal. error 0.5050, RMSE 0.8179, R2 -24.1721
x54: Cal. error 0.5050, RMSE 0.8111, R2 -23.7784
x55: Cal. error 0.5050, RMSE 0.8029, R2 -23.3143
x56: Cal. error 0.5050, RMSE 0.7966, R2 -22.9119
x57: Cal. error 0.5050, RMSE 0.7891, R2 -22.4768
x58: Cal. error 0.5050, RMSE 0.7848, R2 -22.0902
x59: Cal. error 0.5050, RMSE 0.7801, R2 -21.6581
x60: Cal. error 0.5050, RMSE 0.7754, R2 -21.2126
x61: Cal. error 0.5050, RMSE 0.7696, R2 -20.6979
x62: Cal. error 0.5050, RMSE 0.7631, R2 -20.1964
x63: Cal. error 0.5050, RMSE 0.8388, R2 -24.4006
x64: Cal. error 0.5050, RMSE 0.8257, R2 -23.5528
x65: Cal. error 0.5050, RMSE 0.7637, R2 -19.8300
x66: Cal. error 0.5050, RMSE 0.7676, R2 -19.9598
x67: Cal. error 0.5050, RMSE 0.7706, R2 -19.9537
x68: Cal. error 0.5050, RMSE 0.7722, R2 -19.9720
x69: Cal. error 0.5050, RMSE 0.7704, R2 -19.8985
x70: Cal. error 0.5050, RMSE 0.7707, R2 -19.9376
x71: Cal. error 0.5050, RMSE 0.7688, R2 -19.9059
x72: Cal. error 0.5050, RMSE 0.7682, R2 -19.9696
x73: Cal. error 0.5050, RMSE 0.7641, R2 -19.9691
x74: Cal. error 0.5050, RMSE 0.7615, R2 -20.0681
x75: Cal. error 0.5050, RMSE 0.7579, R2 -20.1379
x76: Cal. error 0.5050, RMSE 0.7550, R2 -20.3077
x77: Cal. error 0.5050, RMSE 0.7523, R2 -20.4688
x78: Cal. error 0.5050, RMSE 0.7513, R2 -20.7212
x79: Cal. error 0.5050, RMSE 0.7495, R2 -20.9390
x80: Cal. error 0.5050, RMSE 0.7491, R2 -21.2552
x81: Cal. error 0.5050, RMSE 0.7489, R2 -21.5229
x82: Cal. error 0.5050, RMSE 0.7511, R2 -21.8965
x83: Cal. error 0.5050, RMSE 0.7531, R2 -22.2173
x84: Cal. error 0.5050, RMSE 0.7565, R2 -22.5984
x85: Cal. error 0.5050, RMSE 0.7607, R2 -22.9367
x86: Cal. error 0.5050, RMSE 0.7663, R2 -23.3646
x87: Cal. error 0.5050, RMSE 0.7716, R2 -23.7262
x88: Cal. error 0.5050, RMSE 0.7786, R2 -24.1238
x89: Cal. error 0.5050, RMSE 0.7848, R2 -24.4633
x90: Cal. error 0.5050, RMSE 0.7936, R2 -24.8779
x91: Cal. error 0.5050, RMSE 0.8003, R2 -25.1936
x92: Cal. error 0.5050, RMSE 0.8095, R2 -25.5851
x93: Cal. error 0.5050, RMSE 0.8177, R2 -25.8901
x94: Cal. error 0.5050, RMSE 0.8261, R2 -26.2505
x95: Cal. error 0.5050, RMSE 0.8328, R2 -26.5250
x96: Cal. error 0.5050, RMSE 0.8425, R2 -26.8820
x97: Cal. error 0.5050, RMSE 0.8479, R2 -27.0602
x98: Cal. error 0.5050, RMSE 0.8551, R2 -27.3015
x99: Cal. error 0.5050, RMSE 0.8616, R2 -27.4528
x100: Cal. error 0.5050, RMSE 0.8666, R2 -27.6988
x101: Cal. error 0.5050, RMSE 0.8628, R2 -27.6938
x102: Cal. error 0.5050, RMSE 0.8695, R2 -27.8191
x103: Cal. error 0.5050, RMSE 0.8766, R2 -27.8394
x104: Cal. error 0.5050, RMSE 0.8790, R2 -27.8994
x105: Cal. error 0.5050, RMSE 0.8800, R2 -27.8122
x106: Cal. error 0.5050, RMSE 0.8842, R2 -27.8065
x107: Cal. error 0.5050, RMSE 0.8861, R2 -27.6636
x108: Cal. error 0.5050, RMSE 0.8885, R2 -27.5828
x109: Cal. error 0.5050, RMSE 0.8857, R2 -27.3668
x110: Cal. error 0.5050, RMSE 0.8833, R2 -27.1590
x111: Cal. error 0.5050, RMSE 0.8786, R2 -26.8608
x112: Cal. error 0.5050, RMSE 0.8700, R2 -26.5732
x113: Cal. error 0.5050, RMSE 0.8608, R2 -26.2027
x114: Cal. error 0.5050, RMSE 0.8530, R2 -25.8799
x115: Cal. error 0.5050, RMSE 0.8435, R2 -25.4433
x116: Cal. error 0.5050, RMSE 0.8325, R2 -25.0414
x117: Cal. error 0.5050, RMSE 0.8224, R2 -24.5688
x118: Cal. error 0.5050, RMSE 0.8156, R2 -24.1789
x119: Cal. error 0.5050, RMSE 0.8074, R2 -23.7088
x120: Cal. error 0.5050, RMSE 0.8010, R2 -23.3078
x121: Cal. error 0.5050, RMSE 0.7935, R2 -22.8663
x122: Cal. error 0.5050, RMSE 0.7893, R2 -22.4795
x123: Cal. error 0.5050, RMSE 0.7844, R2 -22.0388
x124: Cal. error 0.5050, RMSE 0.7797, R2 -21.5856
x125: Cal. error 0.5050, RMSE 0.7735, R2 -21.0433
x126: Cal. error 0.5050, RMSE 0.7662, R2 -20.4940
x127: Cal. error 0.5050, RMSE 0.8407, R2 -24.6606
x128: Cal. error 0.5050, RMSE 0.8256, R2 -23.6874
x129: Cal. error 0.5050, RMSE 0.7634, R2 -19.9337
x130: Cal. error 0.5050, RMSE 0.7672, R2 -20.0634
x131: Cal. error 0.5050, RMSE 0.7702, R2 -20.0606
x132: Cal. error 0.5050, RMSE 0.7717, R2 -20.0774
x133: Cal. error 0.5050, RMSE 0.7698, R2 -20.0002
x134: Cal. error 0.5050, RMSE 0.7699, R2 -20.0369
x135: Cal. error 0.5050, RMSE 0.7680, R2 -20.0013
x136: Cal. error 0.5050, RMSE 0.7674, R2 -20.0617
x137: Cal. error 0.5050, RMSE 0.7632, R2 -20.0600
x138: Cal. error 0.5050, RMSE 0.7605, R2 -20.1582
x139: Cal. error 0.5050, RMSE 0.7569, R2 -20.2282
x140: Cal. error 0.5050, RMSE 0.7540, R2 -20.3986
x141: Cal. error 0.5050, RMSE 0.7513, R2 -20.5597
x142: Cal. error 0.5050, RMSE 0.7502, R2 -20.8124
x143: Cal. error 0.5050, RMSE 0.7484, R2 -21.0311
x144: Cal. error 0.5050, RMSE 0.7481, R2 -21.3490
x145: Cal. error 0.5050, RMSE 0.7479, R2 -21.6182
x146: Cal. error 0.5050, RMSE 0.7501, R2 -21.9944
x147: Cal. error 0.5050, RMSE 0.7522, R2 -22.3167
x148: Cal. error 0.5050, RMSE 0.7557, R2 -22.7020
x149: Cal. error 0.5050, RMSE 0.7599, R2 -23.0438
x150: Cal. error 0.5050, RMSE 0.7655, R2 -23.4738
x151: Cal. error 0.5050, RMSE 0.7708, R2 -23.8393
x152: Cal. error 0.5050, RMSE 0.7778, R2 -24.2405
x153: Cal. error 0.5050, RMSE 0.7841, R2 -24.5825
x154: Cal. error 0.5050, RMSE 0.7929, R2 -24.9987
x155: Cal. error 0.5050, RMSE 0.7996, R2 -25.3175
x156: Cal. error 0.5050, RMSE 0.8088, R2 -25.7137
x157: Cal. error 0.5050, RMSE 0.8170, R2 -26.0197
x158: Cal. error 0.5050, RMSE 0.8254, R2 -26.3833
x159: Cal. error 0.5050, RMSE 0.8321, R2 -26.6597
x160: Cal. error 0.5050, RMSE 0.8418, R2 -27.0207
x161: Cal. error 0.5050, RMSE 0.8472, R2 -27.1990
x162: Cal. error 0.5050, RMSE 0.8544, R2 -27.4381
x163: Cal. error 0.5050, RMSE 0.8609, R2 -27.5891
x164: Cal. error 0.5050, RMSE 0.8659, R2 -27.8331
x165: Cal. error 0.5050, RMSE 0.8621, R2 -27.8226
x166: Cal. error 0.5050, RMSE 0.8689, R2 -27.9430
x167: Cal. error 0.5050, RMSE 0.8759, R2 -27.9589
x168: Cal. error 0.5050, RMSE 0.8783, R2 -28.0120
x169: Cal. error 0.5050, RMSE 0.8792, R2 -27.9163
x170: Cal. error 0.5050, RMSE 0.8835, R2 -27.9007
x171: Cal. error 0.5050, RMSE 0.8853, R2 -27.7501
x172: Cal. error 0.5050, RMSE 0.8878, R2 -27.6649
x173: Cal. error 0.5050, RMSE 0.8850, R2 -27.4431
x174: Cal. error 0.5050, RMSE 0.8826, R2 -27.2317
x175: Cal. error 0.5050, RMSE 0.8779, R2 -26.9289
x176: Cal. error 0.5050, RMSE 0.8694, R2 -26.6410
x177: Cal. error 0.5050, RMSE 0.8602, R2 -26.2710
x178: Cal. error 0.5050, RMSE 0.8525, R2 -25.9496
x179: Cal. error 0.5050, RMSE 0.8431, R2 -25.5134
x180: Cal. error 0.5050, RMSE 0.8322, R2 -25.1133
x181: Cal. error 0.5050, RMSE 0.8221, R2 -24.6422
x182: Cal. error 0.5050, RMSE 0.8153, R2 -24.2527
x183: Cal. error 0.5050, RMSE 0.8071, R2 -23.7836
x184: Cal. error 0.5050, RMSE 0.8008, R2 -23.3847
x185: Cal. error 0.5050, RMSE 0.7933, R2 -22.9452
x186: Cal. error 0.5050, RMSE 0.7890, R2 -22.5602
x187: Cal. error 0.5050, RMSE 0.7841, R2 -22.1222
x188: Cal. error 0.5050, RMSE 0.7794, R2 -21.6696
x189: Cal. error 0.5050, RMSE 0.7730, R2 -21.1212
x190: Cal. error 0.5050, RMSE 0.7656, R2 -20.5683
x191: Cal. error 0.5050, RMSE 0.8404, R2 -24.7810
x192: Cal. error 0.5050, RMSE 0.8272, R2 -23.7895
x193: Cal. error 0.5050, RMSE 0.7658, R2 -20.0797
x194: Cal. error 0.5050, RMSE 0.7703, R2 -20.2501
x195: Cal. error 0.5050, RMSE 0.7736, R2 -20.2683
x196: Cal. error 0.5050, RMSE 0.7753, R2 -20.3031
x197: Cal. error 0.5050, RMSE 0.7734, R2 -20.2307
x198: Cal. error 0.5050, RMSE 0.7736, R2 -20.2777
x199: Cal. error 0.5050, RMSE 0.7717, R2 -20.2470
x200: Cal. error 0.5050, RMSE 0.7711, R2 -20.3164
x201: Cal. error 0.5050, RMSE 0.7669, R2 -20.3180
x202: Cal. error 0.5050, RMSE 0.7642, R2 -20.4251
x203: Cal. error 0.5050, RMSE 0.7606, R2 -20.4997
x204: Cal. error 0.5050, RMSE 0.7577, R2 -20.6790
x205: Cal. error 0.5050, RMSE 0.7550, R2 -20.8444
x206: Cal. error 0.5050, RMSE 0.7540, R2 -21.1062
x207: Cal. error 0.5050, RMSE 0.7522, R2 -21.3270
x208: Cal. error 0.5050, RMSE 0.7519, R2 -21.6529
x209: Cal. error 0.5050, RMSE 0.7516, R2 -21.9238
x210: Cal. error 0.5050, RMSE 0.7538, R2 -22.3077
x211: Cal. error 0.5050, RMSE 0.7558, R2 -22.6315
x212: Cal. error 0.5050, RMSE 0.7594, R2 -23.0251
x213: Cal. error 0.5050, RMSE 0.7636, R2 -23.3667
x214: Cal. error 0.5050, RMSE 0.7692, R2 -23.8056
x215: Cal. error 0.5050, RMSE 0.7745, R2 -24.1741
x216: Cal. error 0.5050, RMSE 0.7817, R2 -24.5841
