Calibration metrics:
x0: Cal. error 0.1940, RMSE 0.1179, R2 0.5004
x1: Cal. error 0.1030, RMSE 0.0912, R2 0.7030
x2: Cal. error 0.0290, RMSE 0.0870, R2 0.7309
x3: Cal. error 0.0170, RMSE 0.0814, R2 0.7662
x4: Cal. error 0.0240, RMSE 0.0899, R2 0.7154
x5: Cal. error 0.0260, RMSE 0.0903, R2 0.7119
x6: Cal. error 0.0230, RMSE 0.0926, R2 0.6966
x7: Cal. error 0.0470, RMSE 0.0938, R2 0.6872
x8: Cal. error 0.0580, RMSE 0.0984, R2 0.6543
x9: Cal. error 0.0580, RMSE 0.0956, R2 0.6695
x10: Cal. error 0.0590, RMSE 0.0963, R2 0.6603
x11: Cal. error 0.0780, RMSE 0.0963, R2 0.6559
x12: Cal. error 0.1000, RMSE 0.1000, R2 0.6230
x13: Cal. error 0.1370, RMSE 0.0994, R2 0.6218
x14: Cal. error 0.1530, RMSE 0.0973, R2 0.6320
x15: Cal. error 0.1390, RMSE 0.0953, R2 0.6419
x16: Cal. error 0.1310, RMSE 0.0935, R2 0.6501
x17: Cal. error 0.1160, RMSE 0.0885, R2 0.6821
x18: Cal. error 0.0830, RMSE 0.0862, R2 0.6958
x19: Cal. error 0.0840, RMSE 0.0847, R2 0.7033
x20: Cal. error 0.0860, RMSE 0.0893, R2 0.6682
x21: Cal. error 0.1120, RMSE 0.0900, R2 0.6619
x22: Cal. error 0.1250, RMSE 0.0939, R2 0.6308
x23: Cal. error 0.1370, RMSE 0.0932, R2 0.6355
x24: Cal. error 0.1310, RMSE 0.0934, R2 0.6351
x25: Cal. error 0.1120, RMSE 0.0898, R2 0.6635
x26: Cal. error 0.0970, RMSE 0.0886, R2 0.6743
x27: Cal. error 0.1240, RMSE 0.0884, R2 0.6775
x28: Cal. error 0.0840, RMSE 0.0908, R2 0.6627
x29: Cal. error 0.0930, RMSE 0.0906, R2 0.6670
x30: Cal. error 0.1000, RMSE 0.0947, R2 0.6387
x31: Cal. error 0.1100, RMSE 0.0966, R2 0.6267
x32: Cal. error 0.1080, RMSE 0.1020, R2 0.5874
x33: Cal. error 0.0800, RMSE 0.0978, R2 0.6232
x34: Cal. error 0.0640, RMSE 0.0968, R2 0.6339
x35: Cal. error 0.0710, RMSE 0.0972, R2 0.6347
x36: Cal. error 0.0580, RMSE 0.0995, R2 0.6184
x37: Cal. error 0.0510, RMSE 0.0977, R2 0.6286
x38: Cal. error 0.0530, RMSE 0.0988, R2 0.6249
x39: Cal. error 0.0610, RMSE 0.0982, R2 0.6345
x40: Cal. error 0.0700, RMSE 0.0991, R2 0.6290
x41: Cal. error 0.0710, RMSE 0.0967, R2 0.6486
x42: Cal. error 0.0760, RMSE 0.0961, R2 0.6566
x43: Cal. error 0.1020, RMSE 0.0940, R2 0.6741
x44: Cal. error 0.0840, RMSE 0.0950, R2 0.6704
x45: Cal. error 0.1040, RMSE 0.0935, R2 0.6813
x46: Cal. error 0.0970, RMSE 0.0934, R2 0.6823
x47: Cal. error 0.1130, RMSE 0.0929, R2 0.6861
