Calibration metrics:
x0: Cal. error 0.5020, RMSE 0.4253, R2 -5.5076
x1: Cal. error 0.5020, RMSE 0.4641, R2 -6.6863
x2: Cal. error 0.4530, RMSE 0.3620, R2 -3.6622
x3: Cal. error 0.2860, RMSE 0.2767, R2 -1.7044
x4: Cal. error 0.3870, RMSE 0.3494, R2 -3.3009
x5: Cal. error 0.4860, RMSE 0.4723, R2 -6.8738
x6: Cal. error 0.4390, RMSE 0.4286, R2 -5.4985
x7: Cal. error 0.3840, RMSE 0.3715, R2 -3.9044
x8: Cal. error 0.4750, RMSE 0.4802, R2 -7.2392
x9: Cal. error 0.4850, RMSE 0.5067, R2 -8.2793
x10: Cal. error 0.3930, RMSE 0.3879, R2 -4.5078
x11: Cal. error 0.3530, RMSE 0.3662, R2 -3.9752
x12: Cal. error 0.4790, RMSE 0.4680, R2 -7.2567
x13: Cal. error 0.4750, RMSE 0.4547, R2 -6.9139
x14: Cal. error 0.4630, RMSE 0.4637, R2 -7.3519
x15: Cal. error 0.3520, RMSE 0.3633, R2 -4.2036
x16: Cal. error 0.4860, RMSE 0.4994, R2 -8.9859
x17: Cal. error 0.4960, RMSE 0.5404, R2 -10.8424
x18: Cal. error 0.4630, RMSE 0.4303, R2 -6.5885
x19: Cal. error 0.3940, RMSE 0.3609, R2 -4.3834
x20: Cal. error 0.4900, RMSE 0.4979, R2 -9.3207
x21: Cal. error 0.4830, RMSE 0.4517, R2 -7.5230
x22: Cal. error 0.4750, RMSE 0.4604, R2 -7.8812
x23: Cal. error 0.3660, RMSE 0.3526, R2 -4.2141
x24: Cal. error 0.4860, RMSE 0.4881, R2 -8.9652
x25: Cal. error 0.5020, RMSE 0.5523, R2 -11.7269
x26: Cal. error 0.4400, RMSE 0.4216, R2 -6.3704
x27: Cal. error 0.4090, RMSE 0.3853, R2 -5.1259
x28: Cal. error 0.4780, RMSE 0.4909, R2 -8.8626
x29: Cal. error 0.4810, RMSE 0.4908, R2 -8.7740
x30: Cal. error 0.4550, RMSE 0.4858, R2 -8.5058
x31: Cal. error 0.3330, RMSE 0.3711, R2 -4.5132
x32: Cal. error 0.4780, RMSE 0.5402, R2 -10.5600
x33: Cal. error 0.5050, RMSE 0.6090, R2 -13.6019
x34: Cal. error 0.4340, RMSE 0.4656, R2 -7.4619
x35: Cal. error 0.4060, RMSE 0.4284, R2 -6.0967
x36: Cal. error 0.4820, RMSE 0.5459, R2 -10.4876
x37: Cal. error 0.4790, RMSE 0.5449, R2 -10.5418
x38: Cal. error 0.4600, RMSE 0.5265, R2 -9.6591
x39: Cal. error 0.3160, RMSE 0.3933, R2 -4.8576
x40: Cal. error 0.4930, RMSE 0.6025, R2 -12.7055
x41: Cal. error 0.4930, RMSE 0.6147, R2 -13.1912
x42: Cal. error 0.4440, RMSE 0.4981, R2 -8.2279
x43: Cal. error 0.3970, RMSE 0.4735, R2 -7.2629
x44: Cal. error 0.4850, RMSE 0.5568, R2 -10.3302
x45: Cal. error 0.4780, RMSE 0.5325, R2 -9.3441
x46: Cal. error 0.4490, RMSE 0.5106, R2 -8.4880
x47: Cal. error 0.3470, RMSE 0.4056, R2 -4.9855
x48: Cal. error 0.4860, RMSE 0.5564, R2 -10.3628
x49: Cal. error 0.4830, RMSE 0.5511, R2 -10.2237
x50: Cal. error 0.4490, RMSE 0.4759, R2 -7.4161
x51: Cal. error 0.3950, RMSE 0.4274, R2 -5.8238
x52: Cal. error 0.4810, RMSE 0.4925, R2 -8.1510
x53: Cal. error 0.4630, RMSE 0.5178, R2 -9.1620
x54: Cal. error 0.4670, RMSE 0.4607, R2 -7.0471
x55: Cal. error 0.3260, RMSE 0.3481, R2 -3.5978
x56: Cal. error 0.4810, RMSE 0.4752, R2 -7.5549
x57: Cal. error 0.4820, RMSE 0.4795, R2 -7.7098
x58: Cal. error 0.4720, RMSE 0.4524, R2 -6.7034
x59: Cal. error 0.3260, RMSE 0.3150, R2 -2.7085
x60: Cal. error 0.4810, RMSE 0.4224, R2 -5.6152
x61: Cal. error 0.3990, RMSE 0.3538, R2 -3.6023
x62: Cal. error 0.4690, RMSE 0.3436, R2 -3.3128
x63: Cal. error 0.4850, RMSE 0.3407, R2 -3.2068
x64: Cal. error 0.4990, RMSE 0.4565, R2 -6.4966
x65: Cal. error 0.5020, RMSE 0.5097, R2 -8.2683
x66: Cal. error 0.4430, RMSE 0.3718, R2 -3.9161
x67: Cal. error 0.2860, RMSE 0.3076, R2 -2.3380
x68: Cal. error 0.3590, RMSE 0.3545, R2 -3.4199
x69: Cal. error 0.4780, RMSE 0.4719, R2 -6.8479
x70: Cal. error 0.4460, RMSE 0.4452, R2 -5.9963
x71: Cal. error 0.2980, RMSE 0.3386, R2 -3.0608
x72: Cal. error 0.4730, RMSE 0.5362, R2 -9.2377
x73: Cal. error 0.4810, RMSE 0.5167, R2 -8.6111
x74: Cal. error 0.3670, RMSE 0.3920, R2 -4.5995
x75: Cal. error 0.3510, RMSE 0.3915, R2 -4.6589
x76: Cal. error 0.4890, RMSE 0.5157, R2 -8.9779
x77: Cal. error 0.4450, RMSE 0.4550, R2 -6.8823
x78: Cal. error 0.4680, RMSE 0.4891, R2 -8.2430
x79: Cal. error 0.3930, RMSE 0.4234, R2 -6.0325
x80: Cal. error 0.4760, RMSE 0.5248, R2 -9.9691
x81: Cal. error 0.4860, RMSE 0.5353, R2 -10.5560
x82: Cal. error 0.4430, RMSE 0.4509, R2 -7.2871
