Calibration metrics:
x99: Cal. error 0.3610, RMSE 0.1696, R2 -0.1004
x100: Cal. error 0.3460, RMSE 0.1732, R2 -0.1434
x101: Cal. error 0.3430, RMSE 0.1712, R2 -0.1269
x102: Cal. error 0.3360, RMSE 0.1747, R2 -0.1601
x103: Cal. error 0.3410, RMSE 0.1758, R2 -0.1564
x104: Cal. error 0.3470, RMSE 0.1782, R2 -0.1847
x105: Cal. error 0.3550, RMSE 0.1782, R2 -0.1782
x106: Cal. error 0.3400, RMSE 0.1816, R2 -0.2114
x107: Cal. error 0.3480, RMSE 0.1819, R2 -0.2046
x108: Cal. error 0.3520, RMSE 0.1861, R2 -0.2503
x109: Cal. error 0.3510, RMSE 0.1854, R2 -0.2403
x110: Cal. error 0.3510, RMSE 0.1863, R2 -0.2492
x111: Cal. error 0.3520, RMSE 0.1838, R2 -0.2173
x112: Cal. error 0.3540, RMSE 0.1818, R2 -0.2018
x113: Cal. error 0.3500, RMSE 0.1787, R2 -0.1709
x114: Cal. error 0.3410, RMSE 0.1766, R2 -0.1509
x115: Cal. error 0.3550, RMSE 0.1743, R2 -0.1285
x116: Cal. error 0.3640, RMSE 0.1735, R2 -0.1312
x117: Cal. error 0.3690, RMSE 0.1707, R2 -0.1019
x118: Cal. error 0.3620, RMSE 0.1696, R2 -0.0899
x119: Cal. error 0.3710, RMSE 0.1676, R2 -0.0660
x120: Cal. error 0.3790, RMSE 0.1683, R2 -0.0755
x121: Cal. error 0.3790, RMSE 0.1685, R2 -0.0792
x122: Cal. error 0.3860, RMSE 0.1706, R2 -0.1010
x123: Cal. error 0.3820, RMSE 0.1703, R2 -0.0894
x124: Cal. error 0.3810, RMSE 0.1701, R2 -0.0794
x125: Cal. error 0.3550, RMSE 0.1657, R2 -0.0156
x126: Cal. error 0.3570, RMSE 0.1606, R2 0.0523
x127: Cal. error 0.3840, RMSE 0.1565, R2 0.1075
x128: Cal. error 0.2240, RMSE 0.0863, R2 0.7589
x129: Cal. error 0.1630, RMSE 0.0838, R2 0.7841
x130: Cal. error 0.1720, RMSE 0.0828, R2 0.8043
x131: Cal. error 0.2040, RMSE 0.0816, R2 0.8132
x132: Cal. error 0.2280, RMSE 0.0859, R2 0.7976
x133: Cal. error 0.2550, RMSE 0.0825, R2 0.8157
x134: Cal. error 0.2410, RMSE 0.0821, R2 0.8217
x135: Cal. error 0.2220, RMSE 0.0835, R2 0.8189
x136: Cal. error 0.2000, RMSE 0.0815, R2 0.8216
x137: Cal. error 0.2000, RMSE 0.0790, R2 0.8272
x138: Cal. error 0.1920, RMSE 0.0770, R2 0.8320
x139: Cal. error 0.1970, RMSE 0.0758, R2 0.8330
x140: Cal. error 0.1960, RMSE 0.0744, R2 0.8304
x141: Cal. error 0.1900, RMSE 0.0728, R2 0.8276
x142: Cal. error 0.1880, RMSE 0.0729, R2 0.8182
x143: Cal. error 0.1800, RMSE 0.0748, R2 0.8014
x144: Cal. error 0.1860, RMSE 0.0768, R2 0.7836
x145: Cal. error 0.2170, RMSE 0.0782, R2 0.7692
x146: Cal. error 0.2530, RMSE 0.0792, R2 0.7578
x147: Cal. error 0.2860, RMSE 0.0801, R2 0.7481
x148: Cal. error 0.2740, RMSE 0.0802, R2 0.7444
x149: Cal. error 0.2800, RMSE 0.0807, R2 0.7409
x150: Cal. error 0.2600, RMSE 0.0818, R2 0.7371
x151: Cal. error 0.2530, RMSE 0.0836, R2 0.7224
x152: Cal. error 0.2480, RMSE 0.0836, R2 0.7111
x153: Cal. error 0.2720, RMSE 0.0846, R2 0.7023
x154: Cal. error 0.2800, RMSE 0.0857, R2 0.7017
x155: Cal. error 0.2890, RMSE 0.0887, R2 0.6946
x156: Cal. error 0.2970, RMSE 0.0917, R2 0.6982
x157: Cal. error 0.2840, RMSE 0.0945, R2 0.7117
x158: Cal. error 0.2650, RMSE 0.0990, R2 0.7209
x159: Cal. error 0.2360, RMSE 0.0997, R2 0.7208
x160: Cal. error 0.2240, RMSE 0.0974, R2 0.7280
x161: Cal. error 0.2440, RMSE 0.0946, R2 0.7321
x162: Cal. error 0.2410, RMSE 0.0943, R2 0.7357
x163: Cal. error 0.2260, RMSE 0.0956, R2 0.7296
x164: Cal. error 0.2140, RMSE 0.0970, R2 0.7308
x165: Cal. error 0.2040, RMSE 0.0991, R2 0.7331
x166: Cal. error 0.2160, RMSE 0.1024, R2 0.7291
x167: Cal. error 0.2270, RMSE 0.1083, R2 0.7126
x168: Cal. error 0.2190, RMSE 0.1144, R2 0.6983
x169: Cal. error 0.2120, RMSE 0.1119, R2 0.6993
x170: Cal. error 0.2040, RMSE 0.1114, R2 0.6933
x171: Cal. error 0.2260, RMSE 0.1183, R2 0.6812
x172: Cal. error 0.2420, RMSE 0.1215, R2 0.6682
x173: Cal. error 0.2450, RMSE 0.1176, R2 0.6666
x174: Cal. error 0.2460, RMSE 0.1140, R2 0.6590
x175: Cal. error 0.2430, RMSE 0.1127, R2 0.6452
x176: Cal. error 0.2390, RMSE 0.1138, R2 0.6255
x177: Cal. error 0.2620, RMSE 0.1144, R2 0.6221
x178: Cal. error 0.2710, RMSE 0.1146, R2 0.6101
x179: Cal. error 0.2580, RMSE 0.1130, R2 0.5976
x180: Cal. error 0.2690, RMSE 0.1117, R2 0.5818
x181: Cal. error 0.2770, RMSE 0.1096, R2 0.5862
x182: Cal. error 0.2670, RMSE 0.1096, R2 0.5776
x183: Cal. error 0.2770, RMSE 0.1098, R2 0.5603
x184: Cal. error 0.2920, RMSE 0.1138, R2 0.5277
x185: Cal. error 0.3050, RMSE 0.1169, R2 0.5146
x186: Cal. error 0.3060, RMSE 0.1237, R2 0.4798
x187: Cal. error 0.3010, RMSE 0.1303, R2 0.4520
