Calibration metrics:
x0: Cal. error 0.5050, RMSE 0.7514, R2 -19.3148
x1: Cal. error 0.5050, RMSE 0.7470, R2 -18.9081
x2: Cal. error 0.5050, RMSE 0.7444, R2 -18.6916
x3: Cal. error 0.5050, RMSE 0.7444, R2 -18.5301
x4: Cal. error 0.5050, RMSE 0.7443, R2 -18.4582
x5: Cal. error 0.5050, RMSE 0.7420, R2 -18.3674
x6: Cal. error 0.5050, RMSE 0.7411, R2 -18.3454
x7: Cal. error 0.5050, RMSE 0.7391, R2 -18.3072
x8: Cal. error 0.5050, RMSE 0.7379, R2 -18.3340
x9: Cal. error 0.5050, RMSE 0.7341, R2 -18.3414
x10: Cal. error 0.5050, RMSE 0.7308, R2 -18.4003
x11: Cal. error 0.5050, RMSE 0.7277, R2 -18.4881
x12: Cal. error 0.5050, RMSE 0.7245, R2 -18.6274
x13: Cal. error 0.5050, RMSE 0.7222, R2 -18.7946
x14: Cal. error 0.5050, RMSE 0.7206, R2 -18.9944
x15: Cal. error 0.5050, RMSE 0.7192, R2 -19.2139
x16: Cal. error 0.5050, RMSE 0.7187, R2 -19.4950
x17: Cal. error 0.5050, RMSE 0.7188, R2 -19.7584
x18: Cal. error 0.5050, RMSE 0.7206, R2 -20.0889
x19: Cal. error 0.5050, RMSE 0.7233, R2 -20.4270
x20: Cal. error 0.5050, RMSE 0.7266, R2 -20.7779
x21: Cal. error 0.5050, RMSE 0.7312, R2 -21.1265
x22: Cal. error 0.5050, RMSE 0.7363, R2 -21.5052
x23: Cal. error 0.5050, RMSE 0.7421, R2 -21.8780
x24: Cal. error 0.5050, RMSE 0.7491, R2 -22.2550
x25: Cal. error 0.5050, RMSE 0.7556, R2 -22.5944
x26: Cal. error 0.5050, RMSE 0.7640, R2 -22.9714
x27: Cal. error 0.5050, RMSE 0.7710, R2 -23.2961
x28: Cal. error 0.5050, RMSE 0.7801, R2 -23.6577
x29: Cal. error 0.5050, RMSE 0.7883, R2 -23.9541
x30: Cal. error 0.5050, RMSE 0.7960, R2 -24.2650
x31: Cal. error 0.5050, RMSE 0.8028, R2 -24.5298
x32: Cal. error 0.5050, RMSE 0.8123, R2 -24.8622
x33: Cal. error 0.5050, RMSE 0.8175, R2 -25.0273
x34: Cal. error 0.5050, RMSE 0.8243, R2 -25.2356
x35: Cal. error 0.5050, RMSE 0.8309, R2 -25.3861
x36: Cal. error 0.5050, RMSE 0.8356, R2 -25.6004
x37: Cal. error 0.5050, RMSE 0.8319, R2 -25.5949
x38: Cal. error 0.5050, RMSE 0.8379, R2 -25.6738
x39: Cal. error 0.5050, RMSE 0.8447, R2 -25.6885
x40: Cal. error 0.5050, RMSE 0.8468, R2 -25.7242
x41: Cal. error 0.5050, RMSE 0.8476, R2 -25.6313
