Calibration metrics:
x0: Cal. error 0.5050, RMSE 0.6999, R2 -16.6251
x1: Cal. error 0.5050, RMSE 0.6654, R2 -14.7949
x2: Cal. error 0.5050, RMSE 0.6736, R2 -15.1228
x3: Cal. error 0.5050, RMSE 0.6578, R2 -14.2511
x4: Cal. error 0.5050, RMSE 0.6789, R2 -15.1893
x5: Cal. error 0.5050, RMSE 0.6646, R2 -14.5393
x6: Cal. error 0.5050, RMSE 0.6911, R2 -15.8228
x7: Cal. error 0.5050, RMSE 0.6694, R2 -14.8333
x8: Cal. error 0.5050, RMSE 0.6780, R2 -15.3221
x9: Cal. error 0.5050, RMSE 0.6678, R2 -15.0062
x10: Cal. error 0.5050, RMSE 0.6792, R2 -15.7586
x11: Cal. error 0.5050, RMSE 0.6576, R2 -14.9124
x12: Cal. error 0.5050, RMSE 0.6644, R2 -15.5026
x13: Cal. error 0.5050, RMSE 0.6553, R2 -15.2937
x14: Cal. error 0.5050, RMSE 0.6695, R2 -16.2609
x15: Cal. error 0.5050, RMSE 0.6525, R2 -15.6367
x16: Cal. error 0.5050, RMSE 0.6644, R2 -16.5155
x17: Cal. error 0.5050, RMSE 0.6559, R2 -16.2865
x18: Cal. error 0.5050, RMSE 0.6702, R2 -17.2445
x19: Cal. error 0.5050, RMSE 0.6563, R2 -16.6442
x20: Cal. error 0.5050, RMSE 0.6696, R2 -17.4962
x21: Cal. error 0.5050, RMSE 0.6636, R2 -17.2206
x22: Cal. error 0.5050, RMSE 0.6844, R2 -18.4389
x23: Cal. error 0.5050, RMSE 0.6723, R2 -17.7776
x24: Cal. error 0.5050, RMSE 0.6900, R2 -18.7283
x25: Cal. error 0.5050, RMSE 0.6853, R2 -18.4110
x26: Cal. error 0.5050, RMSE 0.7096, R2 -19.6775
x27: Cal. error 0.5050, RMSE 0.6960, R2 -18.7983
x28: Cal. error 0.5050, RMSE 0.7161, R2 -19.7797
x29: Cal. error 0.5050, RMSE 0.7110, R2 -19.3020
x30: Cal. error 0.5050, RMSE 0.7365, R2 -20.6290
x31: Cal. error 0.5050, RMSE 0.7236, R2 -19.7419
x32: Cal. error 0.5050, RMSE 0.7459, R2 -20.8103
x33: Cal. error 0.5050, RMSE 0.7389, R2 -20.2623
x34: Cal. error 0.5050, RMSE 0.7626, R2 -21.4508
x35: Cal. error 0.5050, RMSE 0.7481, R2 -20.3920
x36: Cal. error 0.5050, RMSE 0.7659, R2 -21.3500
x37: Cal. error 0.5050, RMSE 0.7512, R2 -20.6821
x38: Cal. error 0.5050, RMSE 0.7743, R2 -21.7771
x39: Cal. error 0.5050, RMSE 0.7651, R2 -20.8916
x40: Cal. error 0.5050, RMSE 0.7795, R2 -21.6478
x41: Cal. error 0.5050, RMSE 0.7721, R2 -21.1025
x42: Cal. error 0.5050, RMSE 0.7906, R2 -21.9451
x43: Cal. error 0.5050, RMSE 0.7769, R2 -20.9534
x44: Cal. error 0.5050, RMSE 0.7895, R2 -21.4783
x45: Cal. error 0.5050, RMSE 0.7780, R2 -20.7993
x46: Cal. error 0.5050, RMSE 0.7890, R2 -21.3768
x47: Cal. error 0.5050, RMSE 0.7736, R2 -20.5185
x48: Cal. error 0.5050, RMSE 0.7759, R2 -20.8500
x49: Cal. error 0.5050, RMSE 0.7597, R2 -20.1171
x50: Cal. error 0.5050, RMSE 0.7637, R2 -20.4802
x51: Cal. error 0.5050, RMSE 0.7454, R2 -19.5879
x52: Cal. error 0.5050, RMSE 0.7434, R2 -19.7137
x53: Cal. error 0.5050, RMSE 0.7256, R2 -18.8576
x54: Cal. error 0.5050, RMSE 0.7286, R2 -19.0545
x55: Cal. error 0.5050, RMSE 0.7118, R2 -18.1720
x56: Cal. error 0.5050, RMSE 0.7119, R2 -18.1743
x57: Cal. error 0.5050, RMSE 0.6925, R2 -17.1529
x58: Cal. error 0.5050, RMSE 0.6793, R2 -16.3769
x59: Cal. error 0.5050, RMSE 0.6717, R2 -15.8764
x60: Cal. error 0.5050, RMSE 0.6818, R2 -16.2521
x61: Cal. error 0.5050, RMSE 0.6765, R2 -15.8435
x62: Cal. error 0.5050, RMSE 0.6544, R2 -14.6641
x63: Cal. error 0.5050, RMSE 0.6636, R2 -14.9755
x64: Cal. error 0.5050, RMSE 0.7001, R2 -16.7225
x65: Cal. error 0.5050, RMSE 0.6960, R2 -16.3638
x66: Cal. error 0.5050, RMSE 0.6974, R2 -16.3677
x67: Cal. error 0.5050, RMSE 0.6952, R2 -16.1146
x68: Cal. error 0.5050, RMSE 0.6977, R2 -16.1815
x69: Cal. error 0.5050, RMSE 0.6940, R2 -16.0218
x70: Cal. error 0.5050, RMSE 0.6955, R2 -16.1167
x71: Cal. error 0.5050, RMSE 0.6912, R2 -15.9611
x72: Cal. error 0.5050, RMSE 0.6915, R2 -16.0505
x73: Cal. error 0.5050, RMSE 0.6877, R2 -16.0452
x74: Cal. error 0.5050, RMSE 0.6852, R2 -16.1229
x75: Cal. error 0.5050, RMSE 0.6800, R2 -16.0797
x76: Cal. error 0.5050, RMSE 0.6783, R2 -16.2601
x77: Cal. error 0.5050, RMSE 0.6761, R2 -16.3991
x78: Cal. error 0.5050, RMSE 0.6755, R2 -16.6198
x79: Cal. error 0.5050, RMSE 0.6727, R2 -16.7322
x80: Cal. error 0.5050, RMSE 0.6734, R2 -17.0400
x81: Cal. error 0.5050, RMSE 0.6733, R2 -17.2589
x82: Cal. error 0.5050, RMSE 0.6757, R2 -17.5874
x83: Cal. error 0.5050, RMSE 0.6766, R2 -17.7929
x84: Cal. error 0.5050, RMSE 0.6809, R2 -18.1655
x85: Cal. error 0.5050, RMSE 0.6847, R2 -18.4336
x86: Cal. error 0.5050, RMSE 0.6910, R2 -18.8481
x87: Cal. error 0.5050, RMSE 0.6947, R2 -19.0775
x88: Cal. error 0.5050, RMSE 0.7027, R2 -19.4895
x89: Cal. error 0.5050, RMSE 0.7083, R2 -19.7575
x90: Cal. error 0.5050, RMSE 0.7174, R2 -20.1596
x91: Cal. error 0.5050, RMSE 0.7221, R2 -20.3298
x92: Cal. error 0.5050, RMSE 0.7321, R2 -20.7339
x93: Cal. error 0.5050, RMSE 0.7392, R2 -20.9583
x94: Cal. error 0.5050, RMSE 0.7479, R2 -21.3152
x95: Cal. error 0.5050, RMSE 0.7527, R2 -21.4543
x96: Cal. error 0.5050, RMSE 0.7630, R2 -21.8297
x97: Cal. error 0.5050, RMSE 0.7673, R2 -21.9394
x98: Cal. error 0.5050, RMSE 0.7747, R2 -22.1832
x99: Cal. error 0.5050, RMSE 0.7788, R2 -22.1940
x100: Cal. error 0.5050, RMSE 0.7846, R2 -22.4704
x101: Cal. error 0.5050, RMSE 0.7804, R2 -22.4139
x102: Cal. error 0.5050, RMSE 0.7874, R2 -22.5698
x103: Cal. error 0.5050, RMSE 0.7923, R2 -22.4958
