Calibration metrics:
x99: Cal. error 0.2800, RMSE 0.1382, R2 0.2697
x100: Cal. error 0.2750, RMSE 0.1372, R2 0.2823
x101: Cal. error 0.2700, RMSE 0.1386, R2 0.2619
x102: Cal. error 0.2760, RMSE 0.1383, R2 0.2731
x103: Cal. error 0.2730, RMSE 0.1411, R2 0.2545
x104: Cal. error 0.2630, RMSE 0.1398, R2 0.2709
x105: Cal. error 0.2680, RMSE 0.1402, R2 0.2706
x106: Cal. error 0.2750, RMSE 0.1397, R2 0.2830
x107: Cal. error 0.2700, RMSE 0.1401, R2 0.2853
x108: Cal. error 0.2480, RMSE 0.1385, R2 0.3073
x109: Cal. error 0.2630, RMSE 0.1389, R2 0.3039
x110: Cal. error 0.2660, RMSE 0.1363, R2 0.3311
x111: Cal. error 0.2500, RMSE 0.1383, R2 0.3115
x112: Cal. error 0.2340, RMSE 0.1354, R2 0.3336
x113: Cal. error 0.2800, RMSE 0.1349, R2 0.3328
x114: Cal. error 0.2590, RMSE 0.1341, R2 0.3361
x115: Cal. error 0.2730, RMSE 0.1355, R2 0.3183
x116: Cal. error 0.2650, RMSE 0.1337, R2 0.3283
x117: Cal. error 0.2300, RMSE 0.1359, R2 0.3016
x118: Cal. error 0.2690, RMSE 0.1332, R2 0.3279
x119: Cal. error 0.2710, RMSE 0.1342, R2 0.3164
x120: Cal. error 0.2540, RMSE 0.1335, R2 0.3230
x121: Cal. error 0.2660, RMSE 0.1333, R2 0.3249
x122: Cal. error 0.2760, RMSE 0.1338, R2 0.3232
x123: Cal. error 0.2780, RMSE 0.1355, R2 0.3099
x124: Cal. error 0.2780, RMSE 0.1343, R2 0.3270
x125: Cal. error 0.3280, RMSE 0.1360, R2 0.3162
x126: Cal. error 0.3600, RMSE 0.1322, R2 0.3573
x127: Cal. error 0.4080, RMSE 0.1308, R2 0.3767
x128: Cal. error 0.1310, RMSE 0.0854, R2 0.7641
x129: Cal. error 0.0160, RMSE 0.0788, R2 0.8093
x130: Cal. error 0.0170, RMSE 0.0807, R2 0.8142
x131: Cal. error 0.0980, RMSE 0.0866, R2 0.7892
x132: Cal. error 0.0230, RMSE 0.0790, R2 0.8289
x133: Cal. error 0.0200, RMSE 0.0813, R2 0.8210
x134: Cal. error 0.0260, RMSE 0.0800, R2 0.8307
x135: Cal. error 0.0700, RMSE 0.0794, R2 0.8361
x136: Cal. error 0.0540, RMSE 0.0787, R2 0.8339
x137: Cal. error 0.0970, RMSE 0.0795, R2 0.8252
x138: Cal. error 0.1210, RMSE 0.0785, R2 0.8254
x139: Cal. error 0.1860, RMSE 0.0778, R2 0.8242
x140: Cal. error 0.1390, RMSE 0.0776, R2 0.8154
x141: Cal. error 0.1750, RMSE 0.0748, R2 0.8177
x142: Cal. error 0.1030, RMSE 0.0705, R2 0.8301
x143: Cal. error 0.1540, RMSE 0.0697, R2 0.8275
x144: Cal. error 0.0920, RMSE 0.0671, R2 0.8346
x145: Cal. error 0.1190, RMSE 0.0683, R2 0.8243
x146: Cal. error 0.0670, RMSE 0.0679, R2 0.8217
x147: Cal. error 0.1110, RMSE 0.0677, R2 0.8201
x148: Cal. error 0.0850, RMSE 0.0668, R2 0.8226
x149: Cal. error 0.1280, RMSE 0.0697, R2 0.8069
x150: Cal. error 0.1020, RMSE 0.0713, R2 0.8000
x151: Cal. error 0.1450, RMSE 0.0733, R2 0.7868
x152: Cal. error 0.1290, RMSE 0.0739, R2 0.7741
x153: Cal. error 0.1580, RMSE 0.0769, R2 0.7541
x154: Cal. error 0.1310, RMSE 0.0792, R2 0.7457
x155: Cal. error 0.1750, RMSE 0.0821, R2 0.7382
x156: Cal. error 0.1070, RMSE 0.0847, R2 0.7421
x157: Cal. error 0.1470, RMSE 0.0907, R2 0.7345
x158: Cal. error 0.1190, RMSE 0.0951, R2 0.7424
x159: Cal. error 0.1600, RMSE 0.0947, R2 0.7484
x160: Cal. error 0.1180, RMSE 0.0926, R2 0.7543
x161: Cal. error 0.1470, RMSE 0.0908, R2 0.7531
x162: Cal. error 0.0800, RMSE 0.0885, R2 0.7669
x163: Cal. error 0.1060, RMSE 0.0881, R2 0.7707
x164: Cal. error 0.0530, RMSE 0.0877, R2 0.7800
x165: Cal. error 0.0990, RMSE 0.0932, R2 0.7639
x166: Cal. error 0.0780, RMSE 0.0939, R2 0.7723
x167: Cal. error 0.1150, RMSE 0.0982, R2 0.7636
x168: Cal. error 0.0710, RMSE 0.1006, R2 0.7664
x169: Cal. error 0.1080, RMSE 0.1011, R2 0.7548
x170: Cal. error 0.0730, RMSE 0.0975, R2 0.7650
x171: Cal. error 0.0990, RMSE 0.1029, R2 0.7588
x172: Cal. error 0.0580, RMSE 0.1008, R2 0.7717
x173: Cal. error 0.0780, RMSE 0.0991, R2 0.7630
x174: Cal. error 0.0610, RMSE 0.0931, R2 0.7727
x175: Cal. error 0.0760, RMSE 0.0935, R2 0.7560
x176: Cal. error 0.0420, RMSE 0.0920, R2 0.7552
x177: Cal. error 0.1020, RMSE 0.0960, R2 0.7335
x178: Cal. error 0.0550, RMSE 0.0942, R2 0.7369
x179: Cal. error 0.1090, RMSE 0.0961, R2 0.7092
x180: Cal. error 0.0630, RMSE 0.0915, R2 0.7190
x181: Cal. error 0.0960, RMSE 0.0924, R2 0.7063
x182: Cal. error 0.0910, RMSE 0.0884, R2 0.7252
x183: Cal. error 0.1360, RMSE 0.0900, R2 0.7042
x184: Cal. error 0.0770, RMSE 0.0885, R2 0.7141
x185: Cal. error 0.1090, RMSE 0.0912, R2 0.7046
x186: Cal. error 0.0770, RMSE 0.0905, R2 0.7215
x187: Cal. error 0.1540, RMSE 0.0953, R2 0.7070
x188: Cal. error 0.1520, RMSE 0.0940, R2 0.7080
x189: Cal. error 0.2180, RMSE 0.0924, R2 0.7148
x190: Cal. error 0.2550, RMSE 0.0899, R2 0.7304
x191: Cal. error 0.3690, RMSE 0.0934, R2 0.7097
x192: Cal. error 0.1700, RMSE 0.1331, R2 0.4222
x193: Cal. error 0.0690, RMSE 0.1280, R2 0.4925
x194: Cal. error 0.0840, RMSE 0.1318, R2 0.5003
x195: Cal. error 0.1310, RMSE 0.1376, R2 0.4645
x196: Cal. error 0.0600, RMSE 0.1287, R2 0.5425
x197: Cal. error 0.0990, RMSE 0.1307, R2 0.5342
x198: Cal. error 0.0870, RMSE 0.1310, R2 0.5438
x199: Cal. error 0.1400, RMSE 0.1317, R2 0.5474
x200: Cal. error 0.1410, RMSE 0.1325, R2 0.5266
x201: Cal. error 0.1690, RMSE 0.1316, R2 0.5193
x202: Cal. error 0.1870, RMSE 0.1307, R2 0.5147
x203: Cal. error 0.2330, RMSE 0.1297, R2 0.5098
x204: Cal. error 0.2090, RMSE 0.1293, R2 0.4861
x205: Cal. error 0.2170, RMSE 0.1235, R2 0.5021
x206: Cal. error 0.1860, RMSE 0.1184, R2 0.5188
x207: Cal. error 0.2050, RMSE 0.1166, R2 0.5157
x208: Cal. error 0.1860, RMSE 0.1134, R2 0.5268
x209: Cal. error 0.2080, RMSE 0.1127, R2 0.5198
x210: Cal. error 0.1770, RMSE 0.1127, R2 0.5080
x211: Cal. error 0.1850, RMSE 0.1124, R2 0.5035
x212: Cal. error 0.1630, RMSE 0.1119, R2 0.5012
x213: Cal. error 0.1880, RMSE 0.1130, R2 0.4907
x214: Cal. error 0.1730, RMSE 0.1142, R2 0.4870
x215: Cal. error 0.1960, RMSE 0.1151, R2 0.4735
x216: Cal. error 0.1780, RMSE 0.1142, R2 0.4609
x217: Cal. error 0.1820, RMSE 0.1163, R2 0.4369
x218: Cal. error 0.1770, RMSE 0.1205, R2 0.4110
x219: Cal. error 0.1980, RMSE 0.1244, R2 0.3987
x220: Cal. error 0.1590, RMSE 0.1299, R2 0.3943
x221: Cal. error 0.1850, RMSE 0.1384, R2 0.3815
x222: Cal. error 0.1620, RMSE 0.1474, R2 0.3816
x223: Cal. error 0.1860, RMSE 0.1489, R2 0.3779
x224: Cal. error 0.1680, RMSE 0.1476, R2 0.3755
x225: Cal. error 0.1710, RMSE 0.1447, R2 0.3725
x226: Cal. error 0.1420, RMSE 0.1432, R2 0.3892
x227: Cal. error 0.1420, RMSE 0.1427, R2 0.3960
x228: Cal. error 0.1160, RMSE 0.1431, R2 0.4119
x229: Cal. error 0.1390, RMSE 0.1489, R2 0.3945
x230: Cal. error 0.1250, RMSE 0.1516, R2 0.4031
x231: Cal. error 0.1420, RMSE 0.1588, R2 0.3791
x232: Cal. error 0.1200, RMSE 0.1643, R2 0.3749
x233: Cal. error 0.1350, RMSE 0.1636, R2 0.3553
x234: Cal. error 0.1200, RMSE 0.1591, R2 0.3723
x235: Cal. error 0.1250, RMSE 0.1686, R2 0.3518
x236: Cal. error 0.1080, RMSE 0.1671, R2 0.3715
x237: Cal. error 0.1320, RMSE 0.1627, R2 0.3608
x238: Cal. error 0.1120, RMSE 0.1523, R2 0.3914
x239: Cal. error 0.1330, RMSE 0.1507, R2 0.3665
x240: Cal. error 0.1080, RMSE 0.1472, R2 0.3744
x241: Cal. error 0.1130, RMSE 0.1502, R2 0.3493
x242: Cal. error 0.0750, RMSE 0.1469, R2 0.3603
x243: Cal. error 0.0980, RMSE 0.1468, R2 0.3226
x244: Cal. error 0.0600, RMSE 0.1396, R2 0.3472
x245: Cal. error 0.0960, RMSE 0.1396, R2 0.3299
x246: Cal. error 0.1160, RMSE 0.1356, R2 0.3551
x247: Cal. error 0.1460, RMSE 0.1365, R2 0.3216
x248: Cal. error 0.1290, RMSE 0.1348, R2 0.3381
x249: Cal. error 0.1670, RMSE 0.1379, R2 0.3250
x250: Cal. error 0.1620, RMSE 0.1385, R2 0.3473
x251: Cal. error 0.1900, RMSE 0.1449, R2 0.3212
x252: Cal. error 0.1750, RMSE 0.1414, R2 0.3364
x253: Cal. error 0.2340, RMSE 0.1420, R2 0.3238
x254: Cal. error 0.2720, RMSE 0.1384, R2 0.3571
x255: Cal. error 0.3650, RMSE 0.1392, R2 0.3508
x256: Cal. error 0.2800, RMSE 0.0872, R2 0.7140
x257: Cal. error 0.0150, RMSE 0.0825, R2 0.7725
x258: Cal. error 0.0370, RMSE 0.0832, R2 0.8093
x259: Cal. error 0.0300, RMSE 0.0899, R2 0.8086
x260: Cal. error 0.0450, RMSE 0.0885, R2 0.8267
x261: Cal. error 0.0460, RMSE 0.0917, R2 0.8284
x262: Cal. error 0.0170, RMSE 0.0906, R2 0.8327
x263: Cal. error 0.0240, RMSE 0.0861, R2 0.8352
x264: Cal. error 0.0160, RMSE 0.0846, R2 0.8391
x265: Cal. error 0.0370, RMSE 0.0809, R2 0.8426
x266: Cal. error 0.0460, RMSE 0.0768, R2 0.8495
x267: Cal. error 0.0830, RMSE 0.0762, R2 0.8411
x268: Cal. error 0.0810, RMSE 0.0748, R2 0.8406
x269: Cal. error 0.0860, RMSE 0.0766, R2 0.8343
x270: Cal. error 0.1010, RMSE 0.0759, R2 0.8396
x271: Cal. error 0.1270, RMSE 0.0752, R2 0.8383
x272: Cal. error 0.1130, RMSE 0.0725, R2 0.8387
x273: Cal. error 0.0850, RMSE 0.0708, R2 0.8366
x274: Cal. error 0.0950, RMSE 0.0693, R2 0.8351
x275: Cal. error 0.0860, RMSE 0.0689, R2 0.8351
x276: Cal. error 0.0700, RMSE 0.0687, R2 0.8348
x277: Cal. error 0.0630, RMSE 0.0690, R2 0.8363
x278: Cal. error 0.0810, RMSE 0.0721, R2 0.8306
x279: Cal. error 0.0920, RMSE 0.0751, R2 0.8267
x280: Cal. error 0.0750, RMSE 0.0767, R2 0.8173
x281: Cal. error 0.0590, RMSE 0.0801, R2 0.8077
x282: Cal. error 0.0570, RMSE 0.0865, R2 0.8057
x283: Cal. error 0.0660, RMSE 0.0856, R2 0.8066
x284: Cal. error 0.0450, RMSE 0.0830, R2 0.8024
x285: Cal. error 0.0540, RMSE 0.0826, R2 0.7897
x286: Cal. error 0.0580, RMSE 0.0800, R2 0.7890
x287: Cal. error 0.0710, RMSE 0.0753, R2 0.7845
x288: Cal. error 0.0870, RMSE 0.0714, R2 0.7807
x289: Cal. error 0.0710, RMSE 0.0689, R2 0.7854
x290: Cal. error 0.0470, RMSE 0.0685, R2 0.7951
x291: Cal. error 0.0660, RMSE 0.0723, R2 0.7962
x292: Cal. error 0.0630, RMSE 0.0775, R2 0.7993
x293: Cal. error 0.0650, RMSE 0.0834, R2 0.7910
x294: Cal. error 0.0800, RMSE 0.0905, R2 0.7801
x295: Cal. error 0.1070, RMSE 0.0895, R2 0.7802
x296: Cal. error 0.1110, RMSE 0.0892, R2 0.7773
x297: Cal. error 0.0930, RMSE 0.0865, R2 0.7821
x298: Cal. error 0.0610, RMSE 0.0805, R2 0.7929
x299: Cal. error 0.0420, RMSE 0.0749, R2 0.7990
x300: Cal. error 0.0440, RMSE 0.0749, R2 0.8019
x301: Cal. error 0.0200, RMSE 0.0746, R2 0.8064
x302: Cal. error 0.0170, RMSE 0.0768, R2 0.7962
x303: Cal. error 0.0480, RMSE 0.0784, R2 0.7950
x304: Cal. error 0.0580, RMSE 0.0806, R2 0.7888
x305: Cal. error 0.0480, RMSE 0.0826, R2 0.7800
x306: Cal. error 0.0520, RMSE 0.0871, R2 0.7728
x307: Cal. error 0.0460, RMSE 0.0925, R2 0.7637
