Calibration metrics:
x0: Cal. error 0.5050, RMSE 0.7428, R2 -18.8524
x1: Cal. error 0.5050, RMSE 0.7431, R2 -18.7009
x2: Cal. error 0.5050, RMSE 0.7417, R2 -18.5466
x3: Cal. error 0.5050, RMSE 0.7409, R2 -18.3476
x4: Cal. error 0.5050, RMSE 0.7407, R2 -18.2748
x5: Cal. error 0.5050, RMSE 0.7383, R2 -18.1720
x6: Cal. error 0.5050, RMSE 0.7384, R2 -18.2010
x7: Cal. error 0.5050, RMSE 0.7361, R2 -18.1494
x8: Cal. error 0.5050, RMSE 0.7350, R2 -18.1816
x9: Cal. error 0.5050, RMSE 0.7306, R2 -18.1582
x10: Cal. error 0.5050, RMSE 0.7278, R2 -18.2426
x11: Cal. error 0.5050, RMSE 0.7241, R2 -18.2936
x12: Cal. error 0.5050, RMSE 0.7213, R2 -18.4543
x13: Cal. error 0.5050, RMSE 0.7183, R2 -18.5808
x14: Cal. error 0.5050, RMSE 0.7176, R2 -18.8260
x15: Cal. error 0.5050, RMSE 0.7156, R2 -19.0149
x16: Cal. error 0.5050, RMSE 0.7153, R2 -19.3053
x17: Cal. error 0.5050, RMSE 0.7147, R2 -19.5266
x18: Cal. error 0.5050, RMSE 0.7173, R2 -19.9004
x19: Cal. error 0.5050, RMSE 0.7195, R2 -20.2025
x20: Cal. error 0.5050, RMSE 0.7232, R2 -20.5796
x21: Cal. error 0.5050, RMSE 0.7275, R2 -20.9019
x22: Cal. error 0.5050, RMSE 0.7333, R2 -21.3193
x23: Cal. error 0.5050, RMSE 0.7390, R2 -21.6848
x24: Cal. error 0.5050, RMSE 0.7458, R2 -22.0504
x25: Cal. error 0.5050, RMSE 0.7522, R2 -22.3852
x26: Cal. error 0.5050, RMSE 0.7607, R2 -22.7635
x27: Cal. error 0.5050, RMSE 0.7676, R2 -23.0805
x28: Cal. error 0.5050, RMSE 0.7766, R2 -23.4385
x29: Cal. error 0.5050, RMSE 0.7848, R2 -23.7383
x30: Cal. error 0.5050, RMSE 0.7926, R2 -24.0503
x31: Cal. error 0.5050, RMSE 0.7996, R2 -24.3297
x32: Cal. error 0.5050, RMSE 0.8088, R2 -24.6393
x33: Cal. error 0.5050, RMSE 0.8143, R2 -24.8194
x34: Cal. error 0.5050, RMSE 0.8208, R2 -25.0101
x35: Cal. error 0.5050, RMSE 0.8275, R2 -25.1731
x36: Cal. error 0.5050, RMSE 0.8321, R2 -25.3812
x37: Cal. error 0.5050, RMSE 0.8286, R2 -25.3821
x38: Cal. error 0.5050, RMSE 0.8345, R2 -25.4558
x39: Cal. error 0.5050, RMSE 0.8416, R2 -25.4894
x40: Cal. error 0.5050, RMSE 0.8434, R2 -25.5116
x41: Cal. error 0.5050, RMSE 0.8444, R2 -25.4322
x42: Cal. error 0.5050, RMSE 0.8477, R2 -25.3770
x43: Cal. error 0.5050, RMSE 0.8497, R2 -25.2570
x44: Cal. error 0.5050, RMSE 0.8517, R2 -25.1592
x45: Cal. error 0.5050, RMSE 0.8489, R2 -24.9579
x46: Cal. error 0.5050, RMSE 0.8459, R2 -24.7251
x47: Cal. error 0.5050, RMSE 0.8415, R2 -24.4664
x48: Cal. error 0.5050, RMSE 0.8329, R2 -24.1811
x49: Cal. error 0.5050, RMSE 0.8242, R2 -23.8555
x50: Cal. error 0.5050, RMSE 0.8163, R2 -23.5411
x51: Cal. error 0.5050, RMSE 0.8076, R2 -23.1688
x52: Cal. error 0.5050, RMSE 0.7966, R2 -22.7799
x53: Cal. error 0.5050, RMSE 0.7872, R2 -22.3690
x54: Cal. error 0.5050, RMSE 0.7803, R2 -22.0013
x55: Cal. error 0.5050, RMSE 0.7729, R2 -21.6052
x56: Cal. error 0.5050, RMSE 0.7669, R2 -21.2479
x57: Cal. error 0.5050, RMSE 0.7599, R2 -20.8635
