Calibration metrics:
x0: Cal. error 0.1920, RMSE 0.0901, R2 0.7079
x1: Cal. error 0.1670, RMSE 0.0767, R2 0.7903
x2: Cal. error 0.2060, RMSE 0.0778, R2 0.7847
x3: Cal. error 0.2130, RMSE 0.0793, R2 0.7783
x4: Cal. error 0.2210, RMSE 0.0800, R2 0.7750
x5: Cal. error 0.2040, RMSE 0.0814, R2 0.7672
x6: Cal. error 0.2050, RMSE 0.0834, R2 0.7552
x7: Cal. error 0.1970, RMSE 0.0851, R2 0.7441
x8: Cal. error 0.1930, RMSE 0.0859, R2 0.7381
x9: Cal. error 0.1940, RMSE 0.0855, R2 0.7374
x10: Cal. error 0.1830, RMSE 0.0859, R2 0.7320
x11: Cal. error 0.1820, RMSE 0.0863, R2 0.7260
x12: Cal. error 0.2030, RMSE 0.0856, R2 0.7263
x13: Cal. error 0.1910, RMSE 0.0856, R2 0.7217
x14: Cal. error 0.1910, RMSE 0.0872, R2 0.7073
x15: Cal. error 0.2030, RMSE 0.0868, R2 0.7055
x16: Cal. error 0.1890, RMSE 0.0853, R2 0.7113
x17: Cal. error 0.1980, RMSE 0.0850, R2 0.7095
x18: Cal. error 0.2020, RMSE 0.0856, R2 0.7024
x19: Cal. error 0.2050, RMSE 0.0869, R2 0.6904
x20: Cal. error 0.1970, RMSE 0.0869, R2 0.6882
x21: Cal. error 0.2060, RMSE 0.0880, R2 0.6798
x22: Cal. error 0.1890, RMSE 0.0896, R2 0.6669
x23: Cal. error 0.2070, RMSE 0.0901, R2 0.6627
x24: Cal. error 0.2010, RMSE 0.0888, R2 0.6731
x25: Cal. error 0.1960, RMSE 0.0894, R2 0.6699
x26: Cal. error 0.1880, RMSE 0.0903, R2 0.6648
x27: Cal. error 0.1770, RMSE 0.0913, R2 0.6591
x28: Cal. error 0.1890, RMSE 0.0902, R2 0.6705
x29: Cal. error 0.1860, RMSE 0.0903, R2 0.6728
x30: Cal. error 0.1750, RMSE 0.0906, R2 0.6728
