Calibration metrics:
x0: Cal. error 0.5050, RMSE 0.6105, R2 -12.4101
x1: Cal. error 0.5050, RMSE 0.5365, R2 -9.2675
x2: Cal. error 0.4990, RMSE 0.5146, R2 -8.4113
x3: Cal. error 0.5020, RMSE 0.5098, R2 -8.1595
x4: Cal. error 0.5020, RMSE 0.5111, R2 -8.1750
x5: Cal. error 0.5020, RMSE 0.5051, R2 -7.9742
x6: Cal. error 0.5020, RMSE 0.5023, R2 -7.8868
x7: Cal. error 0.4990, RMSE 0.4967, R2 -7.7175
x8: Cal. error 0.4990, RMSE 0.4981, R2 -7.8104
x9: Cal. error 0.4990, RMSE 0.4952, R2 -7.8005
x10: Cal. error 0.4990, RMSE 0.4953, R2 -7.9121
x11: Cal. error 0.4990, RMSE 0.4963, R2 -8.0635
x12: Cal. error 0.4990, RMSE 0.4986, R2 -8.2962
x13: Cal. error 0.4990, RMSE 0.4973, R2 -8.3870
x14: Cal. error 0.5020, RMSE 0.4992, R2 -8.5959
x15: Cal. error 0.5020, RMSE 0.4979, R2 -8.6890
x16: Cal. error 0.5020, RMSE 0.4998, R2 -8.9110
x17: Cal. error 0.5020, RMSE 0.4986, R2 -8.9891
x18: Cal. error 0.5020, RMSE 0.5015, R2 -9.2133
x19: Cal. error 0.5020, RMSE 0.5033, R2 -9.3759
x20: Cal. error 0.5020, RMSE 0.5057, R2 -9.5494
x21: Cal. error 0.5020, RMSE 0.5052, R2 -9.5602
x22: Cal. error 0.5020, RMSE 0.5065, R2 -9.6475
x23: Cal. error 0.5020, RMSE 0.5074, R2 -9.6964
x24: Cal. error 0.5020, RMSE 0.5108, R2 -9.8124
x25: Cal. error 0.5020, RMSE 0.5135, R2 -9.8951
x26: Cal. error 0.5020, RMSE 0.5187, R2 -10.0486
x27: Cal. error 0.5020, RMSE 0.5239, R2 -10.2188
x28: Cal. error 0.5020, RMSE 0.5296, R2 -10.3669
x29: Cal. error 0.5020, RMSE 0.5327, R2 -10.3946
x30: Cal. error 0.5020, RMSE 0.5368, R2 -10.4904
x31: Cal. error 0.5020, RMSE 0.5401, R2 -10.5567
x32: Cal. error 0.5020, RMSE 0.5475, R2 -10.7478
x33: Cal. error 0.5020, RMSE 0.5500, R2 -10.7816
x34: Cal. error 0.5020, RMSE 0.5563, R2 -10.9484
x35: Cal. error 0.5020, RMSE 0.5620, R2 -11.0719
x36: Cal. error 0.5020, RMSE 0.5674, R2 -11.2662
x37: Cal. error 0.5020, RMSE 0.5624, R2 -11.1525
x38: Cal. error 0.5020, RMSE 0.5674, R2 -11.2302
x39: Cal. error 0.5020, RMSE 0.5713, R2 -11.2075
x40: Cal. error 0.5020, RMSE 0.5756, R2 -11.3475
x41: Cal. error 0.5020, RMSE 0.5755, R2 -11.2780
x42: Cal. error 0.5020, RMSE 0.5818, R2 -11.4263
x43: Cal. error 0.5020, RMSE 0.5846, R2 -11.4302
x44: Cal. error 0.5020, RMSE 0.5898, R2 -11.5448
x45: Cal. error 0.5020, RMSE 0.5861, R2 -11.3743
x46: Cal. error 0.5020, RMSE 0.5864, R2 -11.3616
x47: Cal. error 0.4990, RMSE 0.5828, R2 -11.2156
x48: Cal. error 0.4990, RMSE 0.5799, R2 -11.2079
x49: Cal. error 0.4990, RMSE 0.5722, R2 -10.9789
x50: Cal. error 0.4990, RMSE 0.5689, R2 -10.9193
x51: Cal. error 0.4990, RMSE 0.5621, R2 -10.7079
x52: Cal. error 0.4990, RMSE 0.5551, R2 -10.5493
x53: Cal. error 0.4990, RMSE 0.5455, R2 -10.2217
x54: Cal. error 0.4990, RMSE 0.5421, R2 -10.1013
x55: Cal. error 0.4990, RMSE 0.5371, R2 -9.9174
x56: Cal. error 0.4990, RMSE 0.5382, R2 -9.9587
x57: Cal. error 0.4990, RMSE 0.5306, R2 -9.6587
x58: Cal. error 0.4990, RMSE 0.5264, R2 -9.4351
x59: Cal. error 0.4990, RMSE 0.5206, R2 -9.1384
x60: Cal. error 0.4990, RMSE 0.5195, R2 -9.0170
x61: Cal. error 0.4990, RMSE 0.5032, R2 -8.3222
x62: Cal. error 0.5050, RMSE 0.5351, R2 -9.4733
x63: Cal. error 0.5050, RMSE 0.6418, R2 -13.9434
x64: Cal. error 0.5050, RMSE 0.6292, R2 -13.3119
x65: Cal. error 0.5050, RMSE 0.5783, R2 -10.9871
x66: Cal. error 0.5020, RMSE 0.5618, R2 -10.2708
x67: Cal. error 0.5020, RMSE 0.5614, R2 -10.1602
x68: Cal. error 0.5020, RMSE 0.5656, R2 -10.2924
x69: Cal. error 0.5020, RMSE 0.5604, R2 -10.0977
x70: Cal. error 0.5020, RMSE 0.5586, R2 -10.0423
x71: Cal. error 0.5020, RMSE 0.5519, R2 -9.8124
x72: Cal. error 0.5020, RMSE 0.5522, R2 -9.8717
x73: Cal. error 0.5020, RMSE 0.5470, R2 -9.7838
x74: Cal. error 0.5020, RMSE 0.5458, R2 -9.8629
x75: Cal. error 0.5020, RMSE 0.5435, R2 -9.9086
x76: Cal. error 0.5020, RMSE 0.5426, R2 -10.0451
x77: Cal. error 0.5020, RMSE 0.5399, R2 -10.0972
x78: Cal. error 0.5020, RMSE 0.5407, R2 -10.2878
x79: Cal. error 0.5020, RMSE 0.5381, R2 -10.3454
x80: Cal. error 0.5020, RMSE 0.5375, R2 -10.4930
x81: Cal. error 0.5020, RMSE 0.5357, R2 -10.5590
x82: Cal. error 0.5020, RMSE 0.5381, R2 -10.7872
x83: Cal. error 0.5020, RMSE 0.5390, R2 -10.9261
x84: Cal. error 0.5020, RMSE 0.5407, R2 -11.0836
x85: Cal. error 0.5020, RMSE 0.5413, R2 -11.1477
x86: Cal. error 0.5020, RMSE 0.5449, R2 -11.3433
x87: Cal. error 0.5020, RMSE 0.5467, R2 -11.4340
x88: Cal. error 0.5020, RMSE 0.5511, R2 -11.6043
x89: Cal. error 0.5020, RMSE 0.5546, R2 -11.7253
x90: Cal. error 0.5020, RMSE 0.5625, R2 -12.0085
x91: Cal. error 0.5020, RMSE 0.5671, R2 -12.1543
x92: Cal. error 0.5020, RMSE 0.5738, R2 -12.3516
x93: Cal. error 0.5020, RMSE 0.5775, R2 -12.4020
x94: Cal. error 0.5020, RMSE 0.5846, R2 -12.6321
x95: Cal. error 0.5020, RMSE 0.5878, R2 -12.6931
x96: Cal. error 0.5020, RMSE 0.5960, R2 -12.9286
x97: Cal. error 0.5020, RMSE 0.5987, R2 -12.9659
x98: Cal. error 0.5020, RMSE 0.6075, R2 -13.2555
x99: Cal. error 0.5050, RMSE 0.6123, R2 -13.3393
x100: Cal. error 0.5050, RMSE 0.6184, R2 -13.5797
x101: Cal. error 0.5020, RMSE 0.6135, R2 -13.4729
x102: Cal. error 0.5020, RMSE 0.6208, R2 -13.6535
x103: Cal. error 0.5050, RMSE 0.6245, R2 -13.5975
x104: Cal. error 0.5050, RMSE 0.6283, R2 -13.7248
x105: Cal. error 0.5050, RMSE 0.6276, R2 -13.6152
x106: Cal. error 0.5050, RMSE 0.6345, R2 -13.7944
x107: Cal. error 0.5050, RMSE 0.6355, R2 -13.7068
x108: Cal. error 0.5050, RMSE 0.6395, R2 -13.7687
x109: Cal. error 0.5050, RMSE 0.6355, R2 -13.5666
x110: Cal. error 0.5040, RMSE 0.6360, R2 -13.5644
x111: Cal. error 0.5020, RMSE 0.6311, R2 -13.3467
x112: Cal. error 0.5020, RMSE 0.6260, R2 -13.2493
x113: Cal. error 0.5020, RMSE 0.6170, R2 -12.9543
x114: Cal. error 0.5020, RMSE 0.6133, R2 -12.8827
x115: Cal. error 0.5020, RMSE 0.6045, R2 -12.5730
x116: Cal. error 0.4990, RMSE 0.5958, R2 -12.3372
x117: Cal. error 0.4990, RMSE 0.5859, R2 -11.9808
x118: Cal. error 0.4990, RMSE 0.5837, R2 -11.9097
x119: Cal. error 0.4990, RMSE 0.5778, R2 -11.6762
x120: Cal. error 0.4990, RMSE 0.5772, R2 -11.6496
x121: Cal. error 0.4990, RMSE 0.5696, R2 -11.3321
x122: Cal. error 0.4990, RMSE 0.5666, R2 -11.1386
x123: Cal. error 0.4990, RMSE 0.5628, R2 -10.9014
x124: Cal. error 0.4990, RMSE 0.5654, R2 -10.9210
x125: Cal. error 0.4990, RMSE 0.5488, R2 -10.1386
x126: Cal. error 0.5050, RMSE 0.5812, R2 -11.4154
x127: Cal. error 0.5050, RMSE 0.6625, R2 -14.9991
x128: Cal. error 0.5050, RMSE 0.5643, R2 -9.3080
x129: Cal. error 0.4990, RMSE 0.4608, R2 -5.5264
x130: Cal. error 0.4940, RMSE 0.4525, R2 -4.8474
x131: Cal. error 0.4940, RMSE 0.4704, R2 -5.2119
x132: Cal. error 0.4850, RMSE 0.4648, R2 -4.9262
x133: Cal. error 0.4940, RMSE 0.4729, R2 -5.0604
x134: Cal. error 0.4850, RMSE 0.4647, R2 -4.7119
x135: Cal. error 0.4870, RMSE 0.4686, R2 -4.7036
x136: Cal. error 0.4710, RMSE 0.4478, R2 -4.3850
x137: Cal. error 0.4710, RMSE 0.4461, R2 -4.5056
x138: Cal. error 0.4640, RMSE 0.4351, R2 -4.3638
x139: Cal. error 0.4710, RMSE 0.4423, R2 -4.6838
x140: Cal. error 0.4640, RMSE 0.4266, R2 -4.5741
x141: Cal. error 0.4770, RMSE 0.4265, R2 -4.9207
x142: Cal. error 0.4770, RMSE 0.4154, R2 -4.9023
x143: Cal. error 0.4780, RMSE 0.4204, R2 -5.2774
x144: Cal. error 0.4810, RMSE 0.4143, R2 -5.2989
x145: Cal. error 0.4850, RMSE 0.4239, R2 -5.7768
x146: Cal. error 0.4840, RMSE 0.4235, R2 -5.9303
x147: Cal. error 0.4910, RMSE 0.4393, R2 -6.5674
x148: Cal. error 0.4850, RMSE 0.4401, R2 -6.6989
x149: Cal. error 0.4910, RMSE 0.4550, R2 -7.2382
x150: Cal. error 0.4910, RMSE 0.4602, R2 -7.3216
x151: Cal. error 0.4910, RMSE 0.4724, R2 -7.8582
x152: Cal. error 0.4910, RMSE 0.4629, R2 -7.8520
x153: Cal. error 0.4910, RMSE 0.4727, R2 -8.2960
x154: Cal. error 0.4910, RMSE 0.4780, R2 -8.2698
x155: Cal. error 0.4990, RMSE 0.5014, R2 -8.7574
x156: Cal. error 0.4990, RMSE 0.5186, R2 -8.6620
x157: Cal. error 0.5050, RMSE 0.5575, R2 -9.0313
x158: Cal. error 0.5050, RMSE 0.5907, R2 -8.9296
x159: Cal. error 0.5050, RMSE 0.6039, R2 -9.2375
x160: Cal. error 0.5050, RMSE 0.5906, R2 -8.9972
x161: Cal. error 0.5050, RMSE 0.5832, R2 -9.1793
x162: Cal. error 0.5050, RMSE 0.5778, R2 -8.9256
x163: Cal. error 0.5050, RMSE 0.5881, R2 -9.2260
x164: Cal. error 0.5050, RMSE 0.5908, R2 -8.9884
x165: Cal. error 0.5050, RMSE 0.6138, R2 -9.2414
x166: Cal. error 0.5050, RMSE 0.6208, R2 -8.9559
x167: Cal. error 0.5050, RMSE 0.6444, R2 -9.1802
x168: Cal. error 0.5050, RMSE 0.6546, R2 -8.8785
x169: Cal. error 0.5050, RMSE 0.6488, R2 -9.1050
x170: Cal. error 0.5050, RMSE 0.6322, R2 -8.8820
x171: Cal. error 0.5050, RMSE 0.6700, R2 -9.2214
x172: Cal. error 0.5050, RMSE 0.6654, R2 -8.9565
x173: Cal. error 0.5050, RMSE 0.6518, R2 -9.2519
x174: Cal. error 0.5050, RMSE 0.6183, R2 -9.0273
