Calibration metrics:
x0: Cal. error 0.5050, RMSE 0.5909, R2 -11.5042
x1: Cal. error 0.4880, RMSE 0.3748, R2 -3.9886
x2: Cal. error 0.4440, RMSE 0.3595, R2 -3.5718
x3: Cal. error 0.3820, RMSE 0.3704, R2 -3.8133
x4: Cal. error 0.3270, RMSE 0.3476, R2 -3.2268
x5: Cal. error 0.2450, RMSE 0.3274, R2 -2.7550
x6: Cal. error 0.2170, RMSE 0.3005, R2 -2.1674
x7: Cal. error 0.1920, RMSE 0.3144, R2 -2.4775
x8: Cal. error 0.2080, RMSE 0.3255, R2 -2.7470
x9: Cal. error 0.2010, RMSE 0.3322, R2 -2.9450
x10: Cal. error 0.2420, RMSE 0.3324, R2 -2.9976
x11: Cal. error 0.2060, RMSE 0.3241, R2 -2.8490
x12: Cal. error 0.2080, RMSE 0.3110, R2 -2.6000
x13: Cal. error 0.1750, RMSE 0.3055, R2 -2.5261
x14: Cal. error 0.2190, RMSE 0.3056, R2 -2.5802
x15: Cal. error 0.1940, RMSE 0.3085, R2 -2.7048
x16: Cal. error 0.2080, RMSE 0.3046, R2 -2.6664
x17: Cal. error 0.1710, RMSE 0.3046, R2 -2.7143
x18: Cal. error 0.2180, RMSE 0.3057, R2 -2.7808
x19: Cal. error 0.1880, RMSE 0.3064, R2 -2.8315
x20: Cal. error 0.2010, RMSE 0.3035, R2 -2.7871
x21: Cal. error 0.1850, RMSE 0.3018, R2 -2.7558
x22: Cal. error 0.2250, RMSE 0.3007, R2 -2.7405
x23: Cal. error 0.2150, RMSE 0.3105, R2 -2.9930
x24: Cal. error 0.2220, RMSE 0.3140, R2 -3.0767
x25: Cal. error 0.2160, RMSE 0.3266, R2 -3.3985
x26: Cal. error 0.2420, RMSE 0.3284, R2 -3.4211
x27: Cal. error 0.2240, RMSE 0.3349, R2 -3.5770
x28: Cal. error 0.2120, RMSE 0.3260, R2 -3.3015
x29: Cal. error 0.2040, RMSE 0.3301, R2 -3.3724
x30: Cal. error 0.2320, RMSE 0.3262, R2 -3.2390
x31: Cal. error 0.2250, RMSE 0.3418, R2 -3.6264
x32: Cal. error 0.2120, RMSE 0.3378, R2 -3.4731
x33: Cal. error 0.2120, RMSE 0.3530, R2 -3.8540
x34: Cal. error 0.2420, RMSE 0.3551, R2 -3.8689
x35: Cal. error 0.2270, RMSE 0.3655, R2 -4.1091
x36: Cal. error 0.2080, RMSE 0.3504, R2 -3.6819
x37: Cal. error 0.1850, RMSE 0.3457, R2 -3.5952
x38: Cal. error 0.2010, RMSE 0.3370, R2 -3.3193
x39: Cal. error 0.1890, RMSE 0.3504, R2 -3.5968
x40: Cal. error 0.1950, RMSE 0.3479, R2 -3.5168
x41: Cal. error 0.2040, RMSE 0.3629, R2 -3.8890
x42: Cal. error 0.2370, RMSE 0.3690, R2 -4.0057
x43: Cal. error 0.2120, RMSE 0.3768, R2 -4.1687
x44: Cal. error 0.1910, RMSE 0.3646, R2 -3.7986
x45: Cal. error 0.1820, RMSE 0.3575, R2 -3.6065
x46: Cal. error 0.1820, RMSE 0.3377, R2 -3.1011
x47: Cal. error 0.1550, RMSE 0.3369, R2 -3.0825
x48: Cal. error 0.1620, RMSE 0.3332, R2 -3.0308
x49: Cal. error 0.1870, RMSE 0.3487, R2 -3.4474
x50: Cal. error 0.2430, RMSE 0.3530, R2 -3.5844
x51: Cal. error 0.2040, RMSE 0.3551, R2 -3.6666
x52: Cal. error 0.1950, RMSE 0.3424, R2 -3.3851
x53: Cal. error 0.1940, RMSE 0.3446, R2 -3.4682
x54: Cal. error 0.2220, RMSE 0.3361, R2 -3.2544
x55: Cal. error 0.2010, RMSE 0.3297, R2 -3.1007
x56: Cal. error 0.1790, RMSE 0.3101, R2 -2.6237
x57: Cal. error 0.1710, RMSE 0.3119, R2 -2.6671
x58: Cal. error 0.2950, RMSE 0.3508, R2 -3.6137
x59: Cal. error 0.3120, RMSE 0.3687, R2 -4.0628
x60: Cal. error 0.3340, RMSE 0.3571, R2 -3.7097
x61: Cal. error 0.3300, RMSE 0.3566, R2 -3.6595
x62: Cal. error 0.4450, RMSE 0.3784, R2 -4.2110
x63: Cal. error 0.4990, RMSE 0.4795, R2 -7.3002
x64: Cal. error 0.5050, RMSE 0.6105, R2 -12.4215
x65: Cal. error 0.4940, RMSE 0.4257, R2 -5.4708
x66: Cal. error 0.4720, RMSE 0.3975, R2 -4.6206
x67: Cal. error 0.4180, RMSE 0.3930, R2 -4.4487
x68: Cal. error 0.3670, RMSE 0.3717, R2 -3.8575
x69: Cal. error 0.2840, RMSE 0.3499, R2 -3.3114
x70: Cal. error 0.2680, RMSE 0.3291, R2 -2.8189
