Calibration metrics:
x98: Cal. error 0.3140, RMSE 0.2068, R2 -0.6549
x99: Cal. error 0.3210, RMSE 0.2118, R2 -0.7196
x100: Cal. error 0.3200, RMSE 0.2140, R2 -0.7493
x101: Cal. error 0.3240, RMSE 0.2153, R2 -0.7871
x102: Cal. error 0.3370, RMSE 0.2153, R2 -0.7663
x103: Cal. error 0.3430, RMSE 0.2166, R2 -0.7612
x104: Cal. error 0.3330, RMSE 0.2139, R2 -0.7106
x105: Cal. error 0.3210, RMSE 0.2147, R2 -0.7147
x106: Cal. error 0.3180, RMSE 0.2070, R2 -0.5782
x107: Cal. error 0.3210, RMSE 0.2101, R2 -0.6111
x108: Cal. error 0.3060, RMSE 0.2120, R2 -0.6273
x109: Cal. error 0.3210, RMSE 0.2141, R2 -0.6571
x110: Cal. error 0.3280, RMSE 0.2089, R2 -0.5746
x111: Cal. error 0.3330, RMSE 0.2083, R2 -0.5668
x112: Cal. error 0.3230, RMSE 0.2026, R2 -0.4952
x113: Cal. error 0.3080, RMSE 0.2011, R2 -0.4855
x114: Cal. error 0.2930, RMSE 0.1912, R2 -0.3506
x115: Cal. error 0.2940, RMSE 0.1935, R2 -0.3914
x116: Cal. error 0.2830, RMSE 0.1911, R2 -0.3717
x117: Cal. error 0.2800, RMSE 0.1924, R2 -0.3996
x118: Cal. error 0.2960, RMSE 0.1921, R2 -0.3968
x119: Cal. error 0.2990, RMSE 0.1918, R2 -0.3945
x120: Cal. error 0.2910, RMSE 0.1905, R2 -0.3742
x121: Cal. error 0.2770, RMSE 0.1851, R2 -0.2992
x122: Cal. error 0.2680, RMSE 0.1788, R2 -0.2053
x123: Cal. error 0.2600, RMSE 0.1734, R2 -0.1256
x124: Cal. error 0.2460, RMSE 0.1654, R2 -0.0159
x125: Cal. error 0.2520, RMSE 0.1664, R2 -0.0201
x126: Cal. error 0.2600, RMSE 0.1585, R2 0.0802
x127: Cal. error 0.3000, RMSE 0.1633, R2 0.0317
x128: Cal. error 0.2960, RMSE 0.1790, R2 -0.1609
x129: Cal. error 0.2490, RMSE 0.1702, R2 -0.0400
x130: Cal. error 0.2240, RMSE 0.1738, R2 -0.0811
x131: Cal. error 0.2460, RMSE 0.1838, R2 -0.1989
x132: Cal. error 0.2290, RMSE 0.1851, R2 -0.2126
x133: Cal. error 0.2340, RMSE 0.1873, R2 -0.2431
x134: Cal. error 0.2560, RMSE 0.1892, R2 -0.2705
x135: Cal. error 0.2600, RMSE 0.1887, R2 -0.2676
x136: Cal. error 0.2690, RMSE 0.1922, R2 -0.3212
x137: Cal. error 0.2770, RMSE 0.1947, R2 -0.3702
x138: Cal. error 0.2660, RMSE 0.1924, R2 -0.3542
x139: Cal. error 0.2780, RMSE 0.1954, R2 -0.4145
x140: Cal. error 0.2780, RMSE 0.1996, R2 -0.4994
x141: Cal. error 0.2900, RMSE 0.2016, R2 -0.5525
x142: Cal. error 0.2910, RMSE 0.2039, R2 -0.6111
