Calibration metrics:
x0: Cal. error 0.5050, RMSE 0.7409, R2 -18.7468
x1: Cal. error 0.5050, RMSE 0.7385, R2 -18.4637
x2: Cal. error 0.5050, RMSE 0.7384, R2 -18.3964
x3: Cal. error 0.5050, RMSE 0.7381, R2 -18.2386
x4: Cal. error 0.5050, RMSE 0.7375, R2 -18.1589
x5: Cal. error 0.5050, RMSE 0.7336, R2 -17.9991
x6: Cal. error 0.5050, RMSE 0.7343, R2 -18.0761
x7: Cal. error 0.5050, RMSE 0.7319, R2 -18.0318
x8: Cal. error 0.5050, RMSE 0.7310, R2 -18.0886
x9: Cal. error 0.5050, RMSE 0.7263, R2 -18.0630
x10: Cal. error 0.5050, RMSE 0.7242, R2 -18.1936
x11: Cal. error 0.5050, RMSE 0.7206, R2 -18.2601
x12: Cal. error 0.5050, RMSE 0.7177, R2 -18.4192
x13: Cal. error 0.5050, RMSE 0.7143, R2 -18.5277
x14: Cal. error 0.5050, RMSE 0.7141, R2 -18.8097
x15: Cal. error 0.5050, RMSE 0.7120, R2 -18.9917
x16: Cal. error 0.5050, RMSE 0.7120, R2 -19.2987
x17: Cal. error 0.5050, RMSE 0.7114, R2 -19.5226
x18: Cal. error 0.5050, RMSE 0.7141, R2 -19.8985
x19: Cal. error 0.5050, RMSE 0.7161, R2 -20.1965
x20: Cal. error 0.5050, RMSE 0.7196, R2 -20.5589
x21: Cal. error 0.5050, RMSE 0.7232, R2 -20.8410
x22: Cal. error 0.5050, RMSE 0.7296, R2 -21.3002
x23: Cal. error 0.5050, RMSE 0.7344, R2 -21.6138
x24: Cal. error 0.5050, RMSE 0.7418, R2 -22.0165
x25: Cal. error 0.5050, RMSE 0.7474, R2 -22.3083
x26: Cal. error 0.5050, RMSE 0.7564, R2 -22.7272
x27: Cal. error 0.5050, RMSE 0.7631, R2 -23.0333
x28: Cal. error 0.5050, RMSE 0.7719, R2 -23.3849
x29: Cal. error 0.5050, RMSE 0.7796, R2 -23.6556
x30: Cal. error 0.5050, RMSE 0.7881, R2 -24.0193
x31: Cal. error 0.5050, RMSE 0.7944, R2 -24.2641
x32: Cal. error 0.5050, RMSE 0.8039, R2 -24.6025
x33: Cal. error 0.5050, RMSE 0.8088, R2 -24.7539
x34: Cal. error 0.5050, RMSE 0.8159, R2 -24.9862
x35: Cal. error 0.5050, RMSE 0.8226, R2 -25.1634
x36: Cal. error 0.5050, RMSE 0.8268, R2 -25.3579
x37: Cal. error 0.5050, RMSE 0.8228, R2 -25.3210
x38: Cal. error 0.5050, RMSE 0.8296, R2 -25.4641
x39: Cal. error 0.5050, RMSE 0.8361, R2 -25.4767
x40: Cal. error 0.5050, RMSE 0.8382, R2 -25.5291
x41: Cal. error 0.5050, RMSE 0.8388, R2 -25.4312
x42: Cal. error 0.5050, RMSE 0.8430, R2 -25.4336
x43: Cal. error 0.5050, RMSE 0.8451, R2 -25.3189
x44: Cal. error 0.5050, RMSE 0.8467, R2 -25.1978
x45: Cal. error 0.5050, RMSE 0.8436, R2 -24.9675
x46: Cal. error 0.5050, RMSE 0.8417, R2 -24.7864
x47: Cal. error 0.5050, RMSE 0.8369, R2 -24.4882
x48: Cal. error 0.5050, RMSE 0.8286, R2 -24.1994
x49: Cal. error 0.5050, RMSE 0.8196, R2 -23.8260
x50: Cal. error 0.5050, RMSE 0.8124, R2 -23.5265
x51: Cal. error 0.5050, RMSE 0.8035, R2 -23.1142
x52: Cal. error 0.5050, RMSE 0.7928, R2 -22.7116
x53: Cal. error 0.5050, RMSE 0.7826, R2 -22.2149
x54: Cal. error 0.5050, RMSE 0.7768, R2 -21.8815
x55: Cal. error 0.5050, RMSE 0.7684, R2 -21.4005
x56: Cal. error 0.5050, RMSE 0.7628, R2 -21.0440
x57: Cal. error 0.5050, RMSE 0.7554, R2 -20.6125
x58: Cal. error 0.5050, RMSE 0.7514, R2 -20.2518
x59: Cal. error 0.5050, RMSE 0.7486, R2 -19.9525
x60: Cal. error 0.5050, RMSE 0.7449, R2 -19.5780
x61: Cal. error 0.5050, RMSE 0.7436, R2 -19.3347
x62: Cal. error 0.5050, RMSE 0.7464, R2 -19.3570
x63: Cal. error 0.5050, RMSE 0.7420, R2 -18.9606
x64: Cal. error 0.5050, RMSE 0.7408, R2 -18.7394
x65: Cal. error 0.5050, RMSE 0.7389, R2 -18.4804
x66: Cal. error 0.5050, RMSE 0.7393, R2 -18.4312
x67: Cal. error 0.5050, RMSE 0.7391, R2 -18.2687
x68: Cal. error 0.5050, RMSE 0.7380, R2 -18.1580
x69: Cal. error 0.5050, RMSE 0.7340, R2 -17.9830
x70: Cal. error 0.5050, RMSE 0.7349, R2 -18.0610
x71: Cal. error 0.5050, RMSE 0.7321, R2 -17.9861
x72: Cal. error 0.5050, RMSE 0.7314, R2 -18.0457
x73: Cal. error 0.5050, RMSE 0.7266, R2 -18.0100
x74: Cal. error 0.5050, RMSE 0.7246, R2 -18.1360
x75: Cal. error 0.5050, RMSE 0.7209, R2 -18.1920
x76: Cal. error 0.5050, RMSE 0.7180, R2 -18.3391
x77: Cal. error 0.5050, RMSE 0.7147, R2 -18.4494
x78: Cal. error 0.5050, RMSE 0.7145, R2 -18.7249
x79: Cal. error 0.5050, RMSE 0.7123, R2 -18.9007
x80: Cal. error 0.5050, RMSE 0.7123, R2 -19.2041
x81: Cal. error 0.5050, RMSE 0.7117, R2 -19.4264
x82: Cal. error 0.5050, RMSE 0.7145, R2 -19.8087
x83: Cal. error 0.5050, RMSE 0.7164, R2 -20.1056
x84: Cal. error 0.5050, RMSE 0.7199, R2 -20.4689
x85: Cal. error 0.5050, RMSE 0.7235, R2 -20.7603
x86: Cal. error 0.5050, RMSE 0.7300, R2 -21.2275
x87: Cal. error 0.5050, RMSE 0.7348, R2 -21.5480
x88: Cal. error 0.5050, RMSE 0.7423, R2 -21.9631
x89: Cal. error 0.5050, RMSE 0.7479, R2 -22.2566
x90: Cal. error 0.5050, RMSE 0.7571, R2 -22.6959
x91: Cal. error 0.5050, RMSE 0.7637, R2 -23.0051
x92: Cal. error 0.5050, RMSE 0.7725, R2 -23.3694
x93: Cal. error 0.5050, RMSE 0.7800, R2 -23.6360
x94: Cal. error 0.5050, RMSE 0.7889, R2 -24.0332
x95: Cal. error 0.5050, RMSE 0.7949, R2 -24.2662
x96: Cal. error 0.5050, RMSE 0.8048, R2 -24.6351
