Calibration metrics:
x0: Cal. error 0.5050, RMSE 0.6322, R2 -13.3783
x1: Cal. error 0.5050, RMSE 0.6641, R2 -14.7372
x2: Cal. error 0.5050, RMSE 0.6091, R2 -12.1979
x3: Cal. error 0.5050, RMSE 0.6512, R2 -13.9730
x4: Cal. error 0.5050, RMSE 0.6405, R2 -13.4506
x5: Cal. error 0.5050, RMSE 0.6525, R2 -14.0292
x6: Cal. error 0.5050, RMSE 0.6548, R2 -14.1706
x7: Cal. error 0.5050, RMSE 0.6538, R2 -14.1853
x8: Cal. error 0.5050, RMSE 0.6454, R2 -13.8836
x9: Cal. error 0.5050, RMSE 0.6507, R2 -14.3040
x10: Cal. error 0.5050, RMSE 0.6473, R2 -14.3377
x11: Cal. error 0.5050, RMSE 0.6486, R2 -14.6057
x12: Cal. error 0.5050, RMSE 0.6341, R2 -14.1574
x13: Cal. error 0.5050, RMSE 0.6380, R2 -14.5783
x14: Cal. error 0.5050, RMSE 0.6426, R2 -15.0406
x15: Cal. error 0.5050, RMSE 0.6378, R2 -15.0407
x16: Cal. error 0.5050, RMSE 0.6314, R2 -14.9639
x17: Cal. error 0.5050, RMSE 0.6354, R2 -15.3692
x18: Cal. error 0.5050, RMSE 0.6370, R2 -15.6321
x19: Cal. error 0.5050, RMSE 0.6422, R2 -16.0473
x20: Cal. error 0.5050, RMSE 0.6306, R2 -15.5570
x21: Cal. error 0.5050, RMSE 0.6416, R2 -16.1899
x22: Cal. error 0.5050, RMSE 0.6487, R2 -16.6302
x23: Cal. error 0.5050, RMSE 0.6481, R2 -16.6136
x24: Cal. error 0.5050, RMSE 0.6483, R2 -16.5807
x25: Cal. error 0.5050, RMSE 0.6560, R2 -16.9535
x26: Cal. error 0.5050, RMSE 0.6608, R2 -17.1089
x27: Cal. error 0.5050, RMSE 0.6720, R2 -17.6389
x28: Cal. error 0.5050, RMSE 0.6636, R2 -17.0237
x29: Cal. error 0.5050, RMSE 0.6788, R2 -17.6944
x30: Cal. error 0.5050, RMSE 0.6915, R2 -18.2616
x31: Cal. error 0.5050, RMSE 0.6876, R2 -17.9270
x32: Cal. error 0.5050, RMSE 0.6950, R2 -18.1375
x33: Cal. error 0.5050, RMSE 0.6991, R2 -18.2406
x34: Cal. error 0.5050, RMSE 0.7095, R2 -18.6506
x35: Cal. error 0.5050, RMSE 0.7184, R2 -18.9567
x36: Cal. error 0.5050, RMSE 0.7107, R2 -18.4729
x37: Cal. error 0.5050, RMSE 0.7157, R2 -18.9169
x38: Cal. error 0.5050, RMSE 0.7310, R2 -19.5469
x39: Cal. error 0.5050, RMSE 0.7277, R2 -19.0549
x40: Cal. error 0.5050, RMSE 0.7320, R2 -19.2295
x41: Cal. error 0.5050, RMSE 0.7332, R2 -19.1947
x42: Cal. error 0.5050, RMSE 0.7424, R2 -19.5010
x43: Cal. error 0.5050, RMSE 0.7480, R2 -19.6193
x44: Cal. error 0.5050, RMSE 0.7390, R2 -18.9586
x45: Cal. error 0.5050, RMSE 0.7453, R2 -19.2663
x46: Cal. error 0.5050, RMSE 0.7489, R2 -19.4117
x47: Cal. error 0.5050, RMSE 0.7388, R2 -18.8613
x48: Cal. error 0.5050, RMSE 0.7302, R2 -18.5691
x49: Cal. error 0.5050, RMSE 0.7216, R2 -18.2443
x50: Cal. error 0.5050, RMSE 0.7183, R2 -18.1715
x51: Cal. error 0.5050, RMSE 0.7134, R2 -18.0087
x52: Cal. error 0.5050, RMSE 0.6930, R2 -17.1180
x53: Cal. error 0.5050, RMSE 0.6886, R2 -16.9737
x54: Cal. error 0.5050, RMSE 0.6865, R2 -16.8715
x55: Cal. error 0.5050, RMSE 0.6738, R2 -16.2242
x56: Cal. error 0.5050, RMSE 0.6747, R2 -16.2446
x57: Cal. error 0.5050, RMSE 0.6570, R2 -15.3462
x58: Cal. error 0.5050, RMSE 0.6665, R2 -15.7249
x59: Cal. error 0.5050, RMSE 0.6481, R2 -14.7027
x60: Cal. error 0.5050, RMSE 0.6604, R2 -15.1742
x61: Cal. error 0.5050, RMSE 0.6570, R2 -14.8721
x62: Cal. error 0.5050, RMSE 0.6771, R2 -15.7534
x63: Cal. error 0.5050, RMSE 0.6888, R2 -16.1992
x64: Cal. error 0.5050, RMSE 0.6540, R2 -14.3864
x65: Cal. error 0.5050, RMSE 0.6830, R2 -15.6419
x66: Cal. error 0.5050, RMSE 0.6485, R2 -13.9513
x67: Cal. error 0.5050, RMSE 0.6734, R2 -14.9980
x68: Cal. error 0.5050, RMSE 0.6653, R2 -14.5699
x69: Cal. error 0.5050, RMSE 0.6726, R2 -14.9394
x70: Cal. error 0.5050, RMSE 0.6700, R2 -14.8461
x71: Cal. error 0.5050, RMSE 0.6711, R2 -14.9539
x72: Cal. error 0.5050, RMSE 0.6640, R2 -14.6998
x73: Cal. error 0.5050, RMSE 0.6654, R2 -14.9412
x74: Cal. error 0.5050, RMSE 0.6593, R2 -14.8399
x75: Cal. error 0.5050, RMSE 0.6647, R2 -15.3130
x76: Cal. error 0.5050, RMSE 0.6496, R2 -14.8292
x77: Cal. error 0.5050, RMSE 0.6532, R2 -15.2454
x78: Cal. error 0.5050, RMSE 0.6530, R2 -15.4738
x79: Cal. error 0.5050, RMSE 0.6533, R2 -15.7367
x80: Cal. error 0.5050, RMSE 0.6465, R2 -15.6448
x81: Cal. error 0.5050, RMSE 0.6508, R2 -16.0784
x82: Cal. error 0.5050, RMSE 0.6484, R2 -16.1397
x83: Cal. error 0.5050, RMSE 0.6593, R2 -16.8768
x84: Cal. error 0.5050, RMSE 0.6481, R2 -16.3996
x85: Cal. error 0.5050, RMSE 0.6585, R2 -17.0236
x86: Cal. error 0.5050, RMSE 0.6622, R2 -17.2886
x87: Cal. error 0.5050, RMSE 0.6671, R2 -17.5858
x88: Cal. error 0.5050, RMSE 0.6673, R2 -17.5606
x89: Cal. error 0.5050, RMSE 0.6768, R2 -18.0488
x90: Cal. error 0.5050, RMSE 0.6782, R2 -18.0160
x91: Cal. error 0.5050, RMSE 0.6950, R2 -18.8830
x92: Cal. error 0.5050, RMSE 0.6890, R2 -18.3888
x93: Cal. error 0.5050, RMSE 0.7019, R2 -18.9512
x94: Cal. error 0.5050, RMSE 0.7108, R2 -19.3206
x95: Cal. error 0.5050, RMSE 0.7142, R2 -19.3951
x96: Cal. error 0.5050, RMSE 0.7197, R2 -19.5021
x97: Cal. error 0.5050, RMSE 0.7268, R2 -19.7832
x98: Cal. error 0.5050, RMSE 0.7308, R2 -19.8363
x99: Cal. error 0.5050, RMSE 0.7452, R2 -20.4651
x100: Cal. error 0.5050, RMSE 0.7393, R2 -20.0699
x101: Cal. error 0.5050, RMSE 0.7401, R2 -20.2974
x102: Cal. error 0.5050, RMSE 0.7511, R2 -20.6948
x103: Cal. error 0.5050, RMSE 0.7543, R2 -20.5573
x104: Cal. error 0.5050, RMSE 0.7558, R2 -20.5763
x105: Cal. error 0.5050, RMSE 0.7594, R2 -20.6748
x106: Cal. error 0.5050, RMSE 0.7620, R2 -20.6108
x107: Cal. error 0.5050, RMSE 0.7719, R2 -20.9733
x108: Cal. error 0.5050, RMSE 0.7651, R2 -20.4089
x109: Cal. error 0.5050, RMSE 0.7673, R2 -20.5004
x110: Cal. error 0.5050, RMSE 0.7674, R2 -20.4559
x111: Cal. error 0.5050, RMSE 0.7627, R2 -20.1895
x112: Cal. error 0.5050, RMSE 0.7521, R2 -19.7804
x113: Cal. error 0.5050, RMSE 0.7466, R2 -19.6233
x114: Cal. error 0.5050, RMSE 0.7361, R2 -19.1589
x115: Cal. error 0.5050, RMSE 0.7358, R2 -19.2449
x116: Cal. error 0.5050, RMSE 0.7183, R2 -18.4864
x117: Cal. error 0.5050, RMSE 0.7111, R2 -18.1903
x118: Cal. error 0.5050, RMSE 0.7070, R2 -17.9799
x119: Cal. error 0.5050, RMSE 0.6982, R2 -17.5147
x120: Cal. error 0.5050, RMSE 0.6957, R2 -17.3577
x121: Cal. error 0.5050, RMSE 0.6842, R2 -16.7526
x122: Cal. error 0.5050, RMSE 0.6861, R2 -16.7419
x123: Cal. error 0.5050, RMSE 0.6775, R2 -16.1770
x124: Cal. error 0.5050, RMSE 0.6805, R2 -16.1880
x125: Cal. error 0.5050, RMSE 0.6865, R2 -16.3431
x126: Cal. error 0.5050, RMSE 0.6978, R2 -16.8021
x127: Cal. error 0.5050, RMSE 0.7069, R2 -17.1212
x128: Cal. error 0.5050, RMSE 0.6787, R2 -15.6028
x129: Cal. error 0.5050, RMSE 0.6853, R2 -15.7901
x130: Cal. error 0.5050, RMSE 0.6590, R2 -14.4728
x131: Cal. error 0.5050, RMSE 0.6802, R2 -15.3590
x132: Cal. error 0.5050, RMSE 0.6718, R2 -14.9142
x133: Cal. error 0.5050, RMSE 0.6754, R2 -15.1126
x134: Cal. error 0.5050, RMSE 0.6750, R2 -15.1212
x135: Cal. error 0.5050, RMSE 0.6759, R2 -15.2219
x136: Cal. error 0.5050, RMSE 0.6710, R2 -15.0710
x137: Cal. error 0.5050, RMSE 0.6691, R2 -15.1574
x138: Cal. error 0.5050, RMSE 0.6651, R2 -15.1598
x139: Cal. error 0.5050, RMSE 0.6669, R2 -15.4595
x140: Cal. error 0.5050, RMSE 0.6574, R2 -15.2474
x141: Cal. error 0.5050, RMSE 0.6568, R2 -15.4627
x142: Cal. error 0.5050, RMSE 0.6569, R2 -15.7067
x143: Cal. error 0.5050, RMSE 0.6582, R2 -16.0230
x144: Cal. error 0.5050, RMSE 0.6532, R2 -16.0232
x145: Cal. error 0.5050, RMSE 0.6552, R2 -16.3481
x146: Cal. error 0.5050, RMSE 0.6540, R2 -16.4724
x147: Cal. error 0.5050, RMSE 0.6624, R2 -17.0814
x148: Cal. error 0.5050, RMSE 0.6558, R2 -16.8611
x149: Cal. error 0.5050, RMSE 0.6631, R2 -17.3233
x150: Cal. error 0.5050, RMSE 0.6666, R2 -17.5835
x151: Cal. error 0.5050, RMSE 0.6745, R2 -18.0558
x152: Cal. error 0.5050, RMSE 0.6751, R2 -18.0565
x153: Cal. error 0.5050, RMSE 0.6829, R2 -18.4605
x154: Cal. error 0.5050, RMSE 0.6864, R2 -18.5551
x155: Cal. error 0.5050, RMSE 0.6997, R2 -19.2380
x156: Cal. error 0.5050, RMSE 0.6983, R2 -18.9997
x157: Cal. error 0.5050, RMSE 0.7075, R2 -19.3628
x158: Cal. error 0.5050, RMSE 0.7170, R2 -19.7803
x159: Cal. error 0.5050, RMSE 0.7225, R2 -19.9791
x160: Cal. error 0.5050, RMSE 0.7289, R2 -20.1401
x161: Cal. error 0.5050, RMSE 0.7336, R2 -20.2835
x162: Cal. error 0.5050, RMSE 0.7397, R2 -20.4564
x163: Cal. error 0.5050, RMSE 0.7505, R2 -20.8812
x164: Cal. error 0.5050, RMSE 0.7485, R2 -20.7036
x165: Cal. error 0.5050, RMSE 0.7468, R2 -20.7858
x166: Cal. error 0.5050, RMSE 0.7565, R2 -21.1083
x167: Cal. error 0.5050, RMSE 0.7629, R2 -21.1458
x168: Cal. error 0.5050, RMSE 0.7636, R2 -21.1103
x169: Cal. error 0.5050, RMSE 0.7659, R2 -21.1250
x170: Cal. error 0.5050, RMSE 0.7693, R2 -21.0970
x171: Cal. error 0.5050, RMSE 0.7765, R2 -21.3002
x172: Cal. error 0.5050, RMSE 0.7726, R2 -20.8861
x173: Cal. error 0.5050, RMSE 0.7729, R2 -20.8646
x174: Cal. error 0.5050, RMSE 0.7718, R2 -20.7525
x175: Cal. error 0.5050, RMSE 0.7695, R2 -20.6124
x176: Cal. error 0.5050, RMSE 0.7585, R2 -20.1705
x177: Cal. error 0.5050, RMSE 0.7525, R2 -19.9837
x178: Cal. error 0.5050, RMSE 0.7426, R2 -19.5427
x179: Cal. error 0.5050, RMSE 0.7391, R2 -19.4438
x180: Cal. error 0.5050, RMSE 0.7244, R2 -18.8377
x181: Cal. error 0.5050, RMSE 0.7163, R2 -18.4889
x182: Cal. error 0.5050, RMSE 0.7115, R2 -18.2302
x183: Cal. error 0.5050, RMSE 0.7035, R2 -17.8113
x184: Cal. error 0.5050, RMSE 0.6999, R2 -17.5870
x185: Cal. error 0.5050, RMSE 0.6889, R2 -17.0051
x186: Cal. error 0.5050, RMSE 0.6916, R2 -17.0383
x187: Cal. error 0.5050, RMSE 0.6815, R2 -16.3939
x188: Cal. error 0.5050, RMSE 0.6870, R2 -16.5349
x189: Cal. error 0.5050, RMSE 0.6905, R2 -16.5670
x190: Cal. error 0.5050, RMSE 0.7029, R2 -17.0918
x191: Cal. error 0.5050, RMSE 0.7115, R2 -17.3863
x192: Cal. error 0.5050, RMSE 0.6889, R2 -16.0885
x193: Cal. error 0.5050, RMSE 0.6861, R2 -15.8214
x194: Cal. error 0.5050, RMSE 0.6744, R2 -15.2004
x195: Cal. error 0.5050, RMSE 0.6834, R2 -15.5094
x196: Cal. error 0.5050, RMSE 0.6830, R2 -15.4453
x197: Cal. error 0.5050, RMSE 0.6814, R2 -15.4023
x198: Cal. error 0.5050, RMSE 0.6813, R2 -15.4255
x199: Cal. error 0.5050, RMSE 0.6808, R2 -15.4641
x200: Cal. error 0.5050, RMSE 0.6779, R2 -15.4099
x201: Cal. error 0.5050, RMSE 0.6745, R2 -15.4246
x202: Cal. error 0.5050, RMSE 0.6723, R2 -15.5192
x203: Cal. error 0.5050, RMSE 0.6691, R2 -15.5763
x204: Cal. error 0.5050, RMSE 0.6653, R2 -15.6528
x205: Cal. error 0.5050, RMSE 0.6623, R2 -15.7546
x206: Cal. error 0.5050, RMSE 0.6639, R2 -16.0833
x207: Cal. error 0.5050, RMSE 0.6617, R2 -16.2279
x208: Cal. error 0.5050, RMSE 0.6608, R2 -16.4455
x209: Cal. error 0.5050, RMSE 0.6614, R2 -16.7024
x210: Cal. error 0.5050, RMSE 0.6620, R2 -16.9294
x211: Cal. error 0.5050, RMSE 0.6646, R2 -17.2320
x212: Cal. error 0.5050, RMSE 0.6639, R2 -17.3303
x213: Cal. error 0.5050, RMSE 0.6682, R2 -17.6346
x214: Cal. error 0.5050, RMSE 0.6738, R2 -18.0196
x215: Cal. error 0.5050, RMSE 0.6770, R2 -18.2305
x216: Cal. error 0.5050, RMSE 0.6825, R2 -18.5113
x217: Cal. error 0.5050, RMSE 0.6866, R2 -18.7128
x218: Cal. error 0.5050, RMSE 0.6953, R2 -19.1080
x219: Cal. error 0.5050, RMSE 0.6994, R2 -19.2618
x220: Cal. error 0.5050, RMSE 0.7079, R2 -19.6017
x221: Cal. error 0.5050, RMSE 0.7121, R2 -19.6772
x222: Cal. error 0.5050, RMSE 0.7257, R2 -20.3393
x223: Cal. error 0.5050, RMSE 0.7256, R2 -20.2077
x224: Cal. error 0.5050, RMSE 0.7389, R2 -20.7798
x225: Cal. error 0.5050, RMSE 0.7390, R2 -20.6494
x226: Cal. error 0.5050, RMSE 0.7511, R2 -21.1779
x227: Cal. error 0.5050, RMSE 0.7519, R2 -21.0164
x228: Cal. error 0.5050, RMSE 0.7605, R2 -21.4563
x229: Cal. error 0.5050, RMSE 0.7529, R2 -21.1887
x230: Cal. error 0.5050, RMSE 0.7670, R2 -21.7657
x231: Cal. error 0.5050, RMSE 0.7673, R2 -21.4364
x232: Cal. error 0.5050, RMSE 0.7743, R2 -21.7653
x233: Cal. error 0.5050, RMSE 0.7728, R2 -21.5457
x234: Cal. error 0.5050, RMSE 0.7803, R2 -21.7473
x235: Cal. error 0.5050, RMSE 0.7800, R2 -21.5070
x236: Cal. error 0.5050, RMSE 0.7833, R2 -21.4992
x237: Cal. error 0.5050, RMSE 0.7799, R2 -21.2593
x238: Cal. error 0.5050, RMSE 0.7814, R2 -21.2824
x239: Cal. error 0.5050, RMSE 0.7749, R2 -20.8963
x240: Cal. error 0.5050, RMSE 0.7681, R2 -20.6888
x241: Cal. error 0.5050, RMSE 0.7598, R2 -20.3640
x242: Cal. error 0.5050, RMSE 0.7531, R2 -20.0950
x243: Cal. error 0.5050, RMSE 0.7445, R2 -19.7136
x244: Cal. error 0.5050, RMSE 0.7337, R2 -19.3156
x245: Cal. error 0.5050, RMSE 0.7242, R2 -18.8897
x246: Cal. error 0.5050, RMSE 0.7203, R2 -18.6840
x247: Cal. error 0.5050, RMSE 0.7101, R2 -18.1377
x248: Cal. error 0.5050, RMSE 0.7066, R2 -17.9195
x249: Cal. error 0.5050, RMSE 0.6959, R2 -17.3506
x250: Cal. error 0.5050, RMSE 0.6973, R2 -17.3095
x251: Cal. error 0.5050, RMSE 0.6853, R2 -16.5639
x252: Cal. error 0.5050, RMSE 0.6979, R2 -17.0727
x253: Cal. error 0.5050, RMSE 0.6849, R2 -16.2601
x254: Cal. error 0.5050, RMSE 0.7010, R2 -16.9741
x255: Cal. error 0.5050, RMSE 0.7122, R2 -17.4097
x256: Cal. error 0.5050, RMSE 0.6925, R2 -16.2202
x257: Cal. error 0.5050, RMSE 0.6930, R2 -16.1069
x258: Cal. error 0.5050, RMSE 0.6870, R2 -15.7582
x259: Cal. error 0.5050, RMSE 0.6980, R2 -16.1699
x260: Cal. error 0.5050, RMSE 0.6943, R2 -15.9432
x261: Cal. error 0.5050, RMSE 0.6927, R2 -15.8994
x262: Cal. error 0.5050, RMSE 0.6911, R2 -15.8528
x263: Cal. error 0.5050, RMSE 0.6913, R2 -15.9227
x264: Cal. error 0.5050, RMSE 0.6868, R2 -15.7896
x265: Cal. error 0.5050, RMSE 0.6856, R2 -15.9200
x266: Cal. error 0.5050, RMSE 0.6805, R2 -15.8702
x267: Cal. error 0.5050, RMSE 0.6810, R2 -16.1208
x268: Cal. error 0.5050, RMSE 0.6745, R2 -16.0670
x269: Cal. error 0.5050, RMSE 0.6742, R2 -16.3084
x270: Cal. error 0.5050, RMSE 0.6719, R2 -16.4496
x271: Cal. error 0.5050, RMSE 0.6733, R2 -16.7862
x272: Cal. error 0.5050, RMSE 0.6690, R2 -16.8387
x273: Cal. error 0.5050, RMSE 0.6720, R2 -17.2304
x274: Cal. error 0.5050, RMSE 0.6702, R2 -17.3382
x275: Cal. error 0.5050, RMSE 0.6772, R2 -17.8910
x276: Cal. error 0.5050, RMSE 0.6747, R2 -17.8953
x277: Cal. error 0.5050, RMSE 0.6822, R2 -18.3888
x278: Cal. error 0.5050, RMSE 0.6839, R2 -18.5593
x279: Cal. error 0.5050, RMSE 0.6943, R2 -19.1892
x280: Cal. error 0.5050, RMSE 0.6938, R2 -19.1321
x281: Cal. error 0.5050, RMSE 0.7051, R2 -19.7544
x282: Cal. error 0.5050, RMSE 0.7075, R2 -19.7833
x283: Cal. error 0.5050, RMSE 0.7212, R2 -20.5122
x284: Cal. error 0.5050, RMSE 0.7222, R2 -20.4067
x285: Cal. error 0.5050, RMSE 0.7337, R2 -20.9140
x286: Cal. error 0.5050, RMSE 0.7385, R2 -21.0580
