Calibration metrics:
x0: Cal. error 0.5050, RMSE 0.7015, R2 -16.6989
x1: Cal. error 0.5050, RMSE 0.7009, R2 -16.5314
x2: Cal. error 0.5050, RMSE 0.6990, R2 -16.3831
x3: Cal. error 0.5050, RMSE 0.7033, R2 -16.4680
x4: Cal. error 0.5050, RMSE 0.7026, R2 -16.3860
x5: Cal. error 0.5050, RMSE 0.6977, R2 -16.1843
x6: Cal. error 0.5050, RMSE 0.6981, R2 -16.2430
x7: Cal. error 0.5050, RMSE 0.6956, R2 -16.1913
x8: Cal. error 0.5050, RMSE 0.6945, R2 -16.2344
x9: Cal. error 0.5050, RMSE 0.6905, R2 -16.2310
x10: Cal. error 0.5050, RMSE 0.6870, R2 -16.2722
x11: Cal. error 0.5050, RMSE 0.6851, R2 -16.4113
x12: Cal. error 0.5050, RMSE 0.6829, R2 -16.5804
x13: Cal. error 0.5050, RMSE 0.6782, R2 -16.6067
x14: Cal. error 0.5050, RMSE 0.6778, R2 -16.8442
x15: Cal. error 0.5050, RMSE 0.6767, R2 -17.0555
x16: Cal. error 0.5050, RMSE 0.6771, R2 -17.3590
x17: Cal. error 0.5050, RMSE 0.6756, R2 -17.5082
x18: Cal. error 0.5050, RMSE 0.6774, R2 -17.8045
x19: Cal. error 0.5050, RMSE 0.6812, R2 -18.1806
x20: Cal. error 0.5050, RMSE 0.6857, R2 -18.5724
x21: Cal. error 0.5050, RMSE 0.6864, R2 -18.6796
x22: Cal. error 0.5050, RMSE 0.6935, R2 -19.1480
x23: Cal. error 0.5050, RMSE 0.6994, R2 -19.5086
x24: Cal. error 0.5050, RMSE 0.7074, R2 -19.9332
x25: Cal. error 0.5050, RMSE 0.7117, R2 -20.1332
x26: Cal. error 0.5050, RMSE 0.7198, R2 -20.4849
x27: Cal. error 0.5050, RMSE 0.7285, R2 -20.9045
x28: Cal. error 0.5050, RMSE 0.7386, R2 -21.3302
x29: Cal. error 0.5050, RMSE 0.7419, R2 -21.3288
x30: Cal. error 0.5050, RMSE 0.7516, R2 -21.7574
x31: Cal. error 0.5050, RMSE 0.7591, R2 -22.0701
x32: Cal. error 0.5050, RMSE 0.7691, R2 -22.4371
x33: Cal. error 0.5050, RMSE 0.7716, R2 -22.4388
x34: Cal. error 0.5050, RMSE 0.7776, R2 -22.6055
x35: Cal. error 0.5050, RMSE 0.7866, R2 -22.9220
x36: Cal. error 0.5050, RMSE 0.7921, R2 -23.1917
