Calibration metrics:
x0: Cal. error 0.5050, RMSE 0.7184, R2 -17.5614
x1: Cal. error 0.5050, RMSE 0.7193, R2 -17.4638
x2: Cal. error 0.5050, RMSE 0.7177, R2 -17.3224
x3: Cal. error 0.5050, RMSE 0.7185, R2 -17.2272
x4: Cal. error 0.5050, RMSE 0.7182, R2 -17.1690
x5: Cal. error 0.5050, RMSE 0.7158, R2 -17.0848
x6: Cal. error 0.5050, RMSE 0.7149, R2 -17.0801
x7: Cal. error 0.5050, RMSE 0.7127, R2 -17.0441
x8: Cal. error 0.5050, RMSE 0.7116, R2 -17.0913
x9: Cal. error 0.5050, RMSE 0.7077, R2 -17.1005
x10: Cal. error 0.5050, RMSE 0.7047, R2 -17.1761
x11: Cal. error 0.5050, RMSE 0.7014, R2 -17.2522
x12: Cal. error 0.5050, RMSE 0.6987, R2 -17.4031
x13: Cal. error 0.5050, RMSE 0.6962, R2 -17.5525
x14: Cal. error 0.5050, RMSE 0.6948, R2 -17.7556
x15: Cal. error 0.5050, RMSE 0.6933, R2 -17.9531
x16: Cal. error 0.5050, RMSE 0.6930, R2 -18.2283
x17: Cal. error 0.5050, RMSE 0.6930, R2 -18.4750
x18: Cal. error 0.5050, RMSE 0.6949, R2 -18.7905
x19: Cal. error 0.5050, RMSE 0.6972, R2 -19.0943
x20: Cal. error 0.5050, RMSE 0.7007, R2 -19.4428
x21: Cal. error 0.5050, RMSE 0.7052, R2 -19.7694
x22: Cal. error 0.5050, RMSE 0.7104, R2 -20.1436
x23: Cal. error 0.5050, RMSE 0.7160, R2 -20.4926
x24: Cal. error 0.5050, RMSE 0.7228, R2 -20.8546
x25: Cal. error 0.5050, RMSE 0.7292, R2 -21.1844
x26: Cal. error 0.5050, RMSE 0.7374, R2 -21.5477
x27: Cal. error 0.5050, RMSE 0.7442, R2 -21.8541
x28: Cal. error 0.5050, RMSE 0.7530, R2 -22.2086
x29: Cal. error 0.5050, RMSE 0.7611, R2 -22.4994
x30: Cal. error 0.5050, RMSE 0.7687, R2 -22.8013
x31: Cal. error 0.5050, RMSE 0.7753, R2 -23.0631
x32: Cal. error 0.5050, RMSE 0.7844, R2 -23.3759
x33: Cal. error 0.5050, RMSE 0.7897, R2 -23.5487
x34: Cal. error 0.5050, RMSE 0.7961, R2 -23.7380
x35: Cal. error 0.5050, RMSE 0.8024, R2 -23.8942
x36: Cal. error 0.5050, RMSE 0.8070, R2 -24.1103
x37: Cal. error 0.5050, RMSE 0.8035, R2 -24.0995
x38: Cal. error 0.5050, RMSE 0.8093, R2 -24.1824
x39: Cal. error 0.5050, RMSE 0.8159, R2 -24.2130
x40: Cal. error 0.5050, RMSE 0.8178, R2 -24.2510
x41: Cal. error 0.5050, RMSE 0.8186, R2 -24.1722
x42: Cal. error 0.5050, RMSE 0.8219, R2 -24.1279
x43: Cal. error 0.5050, RMSE 0.8236, R2 -23.9972
x44: Cal. error 0.5050, RMSE 0.8255, R2 -23.9038
x45: Cal. error 0.5050, RMSE 0.8229, R2 -23.7069
x46: Cal. error 0.5050, RMSE 0.8200, R2 -23.4756
x47: Cal. error 0.5050, RMSE 0.8156, R2 -23.2068
x48: Cal. error 0.5050, RMSE 0.8074, R2 -22.9226
x49: Cal. error 0.5050, RMSE 0.7988, R2 -22.5844
x50: Cal. error 0.5050, RMSE 0.7911, R2 -22.2536
x51: Cal. error 0.5050, RMSE 0.7824, R2 -21.8645
x52: Cal. error 0.5050, RMSE 0.7719, R2 -21.4796
x53: Cal. error 0.5050, RMSE 0.7628, R2 -21.0551
x54: Cal. error 0.5050, RMSE 0.7560, R2 -20.6699
x55: Cal. error 0.5050, RMSE 0.7486, R2 -20.2577
x56: Cal. error 0.5050, RMSE 0.7426, R2 -19.8882
x57: Cal. error 0.5050, RMSE 0.7359, R2 -19.5121
x58: Cal. error 0.5050, RMSE 0.7320, R2 -19.1724
x59: Cal. error 0.5050, RMSE 0.7283, R2 -18.8289
x60: Cal. error 0.5050, RMSE 0.7257, R2 -18.5274
x61: Cal. error 0.5050, RMSE 0.7231, R2 -18.2272
x62: Cal. error 0.5050, RMSE 0.7200, R2 -17.9403
x63: Cal. error 0.5050, RMSE 0.7158, R2 -17.5711
x64: Cal. error 0.5050, RMSE 0.7180, R2 -17.5449
x65: Cal. error 0.5050, RMSE 0.7189, R2 -17.4412
x66: Cal. error 0.5050, RMSE 0.7178, R2 -17.3197
x67: Cal. error 0.5050, RMSE 0.7185, R2 -17.2133
x68: Cal. error 0.5050, RMSE 0.7183, R2 -17.1491
x69: Cal. error 0.5050, RMSE 0.7159, R2 -17.0590
x70: Cal. error 0.5050, RMSE 0.7149, R2 -17.0393
x71: Cal. error 0.5050, RMSE 0.7128, R2 -16.9983
x72: Cal. error 0.5050, RMSE 0.7116, R2 -17.0302
x73: Cal. error 0.5050, RMSE 0.7078, R2 -17.0361
x74: Cal. error 0.5050, RMSE 0.7047, R2 -17.0985
x75: Cal. error 0.5050, RMSE 0.7015, R2 -17.1698
x76: Cal. error 0.5050, RMSE 0.6986, R2 -17.3096
x77: Cal. error 0.5050, RMSE 0.6962, R2 -17.4588
x78: Cal. error 0.5050, RMSE 0.6948, R2 -17.6518
x79: Cal. error 0.5050, RMSE 0.6933, R2 -17.8498
x80: Cal. error 0.5050, RMSE 0.6929, R2 -18.1167
x81: Cal. error 0.5050, RMSE 0.6930, R2 -18.3667
x82: Cal. error 0.5050, RMSE 0.6948, R2 -18.6802
x83: Cal. error 0.5050, RMSE 0.6972, R2 -18.9888
x84: Cal. error 0.5050, RMSE 0.7007, R2 -19.3373
x85: Cal. error 0.5050, RMSE 0.7052, R2 -19.6723
x86: Cal. error 0.5050, RMSE 0.7104, R2 -20.0479
x87: Cal. error 0.5050, RMSE 0.7160, R2 -20.4070
x88: Cal. error 0.5050, RMSE 0.7227, R2 -20.7715
x89: Cal. error 0.5050, RMSE 0.7293, R2 -21.1155
x90: Cal. error 0.5050, RMSE 0.7374, R2 -21.4822
x91: Cal. error 0.5050, RMSE 0.7443, R2 -21.8027
x92: Cal. error 0.5050, RMSE 0.7531, R2 -22.1587
x93: Cal. error 0.5050, RMSE 0.7613, R2 -22.4697
x94: Cal. error 0.5050, RMSE 0.7688, R2 -22.7703
x95: Cal. error 0.5050, RMSE 0.7755, R2 -23.0487
x96: Cal. error 0.5050, RMSE 0.7845, R2 -23.3623
x97: Cal. error 0.5050, RMSE 0.7900, R2 -23.5516
x98: Cal. error 0.5050, RMSE 0.7963, R2 -23.7395
x99: Cal. error 0.5050, RMSE 0.8027, R2 -23.9071
x100: Cal. error 0.5050, RMSE 0.8072, R2 -24.1211
x101: Cal. error 0.5050, RMSE 0.8039, R2 -24.1284
x102: Cal. error 0.5050, RMSE 0.8095, R2 -24.2024
x103: Cal. error 0.5050, RMSE 0.8163, R2 -24.2437
x104: Cal. error 0.5050, RMSE 0.8180, R2 -24.2767
x105: Cal. error 0.5050, RMSE 0.8190, R2 -24.2107
x106: Cal. error 0.5050, RMSE 0.8222, R2 -24.1590
x107: Cal. error 0.5050, RMSE 0.8239, R2 -24.0343
x108: Cal. error 0.5050, RMSE 0.8258, R2 -23.9376
x109: Cal. error 0.5050, RMSE 0.8233, R2 -23.7552
x110: Cal. error 0.5050, RMSE 0.8203, R2 -23.5163
x111: Cal. error 0.5050, RMSE 0.8160, R2 -23.2533
x112: Cal. error 0.5050, RMSE 0.8076, R2 -22.9640
x113: Cal. error 0.5050, RMSE 0.7992, R2 -22.6333
x114: Cal. error 0.5050, RMSE 0.7913, R2 -22.2951
x115: Cal. error 0.5050, RMSE 0.7827, R2 -21.9093
x116: Cal. error 0.5050, RMSE 0.7722, R2 -21.5181
x117: Cal. error 0.5050, RMSE 0.7631, R2 -21.1008
x118: Cal. error 0.5050, RMSE 0.7561, R2 -20.7082
x119: Cal. error 0.5050, RMSE 0.7488, R2 -20.2992
x120: Cal. error 0.5050, RMSE 0.7427, R2 -19.9226
x121: Cal. error 0.5050, RMSE 0.7362, R2 -19.5497
x122: Cal. error 0.5050, RMSE 0.7322, R2 -19.2017
x123: Cal. error 0.5050, RMSE 0.7285, R2 -18.8593
x124: Cal. error 0.5050, RMSE 0.7259, R2 -18.5558
x125: Cal. error 0.5050, RMSE 0.7237, R2 -18.2705
x126: Cal. error 0.5050, RMSE 0.7219, R2 -18.0546
x127: Cal. error 0.5050, RMSE 0.7151, R2 -17.5464
x128: Cal. error 0.5050, RMSE 0.7188, R2 -17.6202
x129: Cal. error 0.5050, RMSE 0.7197, R2 -17.5167
x130: Cal. error 0.5050, RMSE 0.7183, R2 -17.3809
x131: Cal. error 0.5050, RMSE 0.7189, R2 -17.2738
x132: Cal. error 0.5050, RMSE 0.7184, R2 -17.1999
x133: Cal. error 0.5050, RMSE 0.7162, R2 -17.1168
x134: Cal. error 0.5050, RMSE 0.7151, R2 -17.0942
x135: Cal. error 0.5050, RMSE 0.7131, R2 -17.0584
x136: Cal. error 0.5050, RMSE 0.7118, R2 -17.0823
x137: Cal. error 0.5050, RMSE 0.7081, R2 -17.0932
x138: Cal. error 0.5050, RMSE 0.7049, R2 -17.1499
x139: Cal. error 0.5050, RMSE 0.7019, R2 -17.2282
x140: Cal. error 0.5050, RMSE 0.6988, R2 -17.3577
x141: Cal. error 0.5050, RMSE 0.6965, R2 -17.5126
x142: Cal. error 0.5050, RMSE 0.6950, R2 -17.7009
x143: Cal. error 0.5050, RMSE 0.6936, R2 -17.9077
x144: Cal. error 0.5050, RMSE 0.6931, R2 -18.1659
x145: Cal. error 0.5050, RMSE 0.6933, R2 -18.4265
x146: Cal. error 0.5050, RMSE 0.6950, R2 -18.7359
x147: Cal. error 0.5050, RMSE 0.6976, R2 -19.0565
x148: Cal. error 0.5050, RMSE 0.7008, R2 -19.3957
x149: Cal. error 0.5050, RMSE 0.7055, R2 -19.7432
x150: Cal. error 0.5050, RMSE 0.7106, R2 -20.1157
x151: Cal. error 0.5050, RMSE 0.7163, R2 -20.4905
x152: Cal. error 0.5050, RMSE 0.7229, R2 -20.8511
x153: Cal. error 0.5050, RMSE 0.7295, R2 -21.2097
x154: Cal. error 0.5050, RMSE 0.7376, R2 -21.5780
x155: Cal. error 0.5050, RMSE 0.7446, R2 -21.9155
x156: Cal. error 0.5050, RMSE 0.7532, R2 -22.2697
x157: Cal. error 0.5050, RMSE 0.7615, R2 -22.5901
x158: Cal. error 0.5050, RMSE 0.7689, R2 -22.8975
x159: Cal. error 0.5050, RMSE 0.7758, R2 -23.1864
x160: Cal. error 0.5050, RMSE 0.7846, R2 -23.4964
x161: Cal. error 0.5050, RMSE 0.7902, R2 -23.6905
x162: Cal. error 0.5050, RMSE 0.7964, R2 -23.8747
x163: Cal. error 0.5050, RMSE 0.8030, R2 -24.0483
x164: Cal. error 0.5050, RMSE 0.8073, R2 -24.2499
x165: Cal. error 0.5050, RMSE 0.8040, R2 -24.2520
x166: Cal. error 0.5050, RMSE 0.8096, R2 -24.3216
x167: Cal. error 0.5050, RMSE 0.8165, R2 -24.3642
x168: Cal. error 0.5050, RMSE 0.8181, R2 -24.3801
x169: Cal. error 0.5050, RMSE 0.8192, R2 -24.3104
x170: Cal. error 0.5050, RMSE 0.8223, R2 -24.2466
x171: Cal. error 0.5050, RMSE 0.8242, R2 -24.1237
x172: Cal. error 0.5050, RMSE 0.8259, R2 -24.0083
x173: Cal. error 0.5050, RMSE 0.8234, R2 -23.8198
x174: Cal. error 0.5050, RMSE 0.8204, R2 -23.5750
x175: Cal. error 0.5050, RMSE 0.8162, R2 -23.3118
x176: Cal. error 0.5050, RMSE 0.8077, R2 -23.0051
x177: Cal. error 0.5050, RMSE 0.7993, R2 -22.6751
