Calibration metrics:
x0: Cal. error 0.2800, RMSE 0.1395, R2 0.2998
x1: Cal. error 0.2460, RMSE 0.1384, R2 0.3166
x2: Cal. error 0.1960, RMSE 0.1347, R2 0.3548
x3: Cal. error 0.2060, RMSE 0.1370, R2 0.3376
x4: Cal. error 0.1630, RMSE 0.1391, R2 0.3180
x5: Cal. error 0.1580, RMSE 0.1394, R2 0.3138
x6: Cal. error 0.1570, RMSE 0.1446, R2 0.2597
x7: Cal. error 0.1240, RMSE 0.1424, R2 0.2792
x8: Cal. error 0.1470, RMSE 0.1432, R2 0.2677
x9: Cal. error 0.1590, RMSE 0.1393, R2 0.2987
x10: Cal. error 0.1580, RMSE 0.1391, R2 0.2921
x11: Cal. error 0.1520, RMSE 0.1374, R2 0.2993
x12: Cal. error 0.1590, RMSE 0.1364, R2 0.2982
x13: Cal. error 0.1750, RMSE 0.1362, R2 0.2900
x14: Cal. error 0.1840, RMSE 0.1363, R2 0.2784
x15: Cal. error 0.1670, RMSE 0.1351, R2 0.2807
x16: Cal. error 0.1510, RMSE 0.1337, R2 0.2837
x17: Cal. error 0.1550, RMSE 0.1324, R2 0.2892
x18: Cal. error 0.1550, RMSE 0.1330, R2 0.2746
x19: Cal. error 0.1450, RMSE 0.1323, R2 0.2764
x20: Cal. error 0.1430, RMSE 0.1312, R2 0.2829
x21: Cal. error 0.1470, RMSE 0.1317, R2 0.2752
x22: Cal. error 0.1560, RMSE 0.1335, R2 0.2534
x23: Cal. error 0.1560, RMSE 0.1345, R2 0.2416
x24: Cal. error 0.1590, RMSE 0.1360, R2 0.2268
x25: Cal. error 0.1710, RMSE 0.1373, R2 0.2132
x26: Cal. error 0.1710, RMSE 0.1408, R2 0.1779
x27: Cal. error 0.1680, RMSE 0.1425, R2 0.1624
x28: Cal. error 0.1640, RMSE 0.1436, R2 0.1564
x29: Cal. error 0.1760, RMSE 0.1443, R2 0.1550
x30: Cal. error 0.1660, RMSE 0.1449, R2 0.1539
x31: Cal. error 0.1710, RMSE 0.1461, R2 0.1455
x32: Cal. error 0.1690, RMSE 0.1488, R2 0.1229
x33: Cal. error 0.1870, RMSE 0.1508, R2 0.1050
x34: Cal. error 0.1820, RMSE 0.1535, R2 0.0808
x35: Cal. error 0.1670, RMSE 0.1556, R2 0.0641
x36: Cal. error 0.1600, RMSE 0.1550, R2 0.0734
x37: Cal. error 0.1540, RMSE 0.1542, R2 0.0755
x38: Cal. error 0.1370, RMSE 0.1531, R2 0.0989
x39: Cal. error 0.1330, RMSE 0.1546, R2 0.0944
x40: Cal. error 0.1370, RMSE 0.1549, R2 0.0946
x41: Cal. error 0.1530, RMSE 0.1554, R2 0.0934
x42: Cal. error 0.1540, RMSE 0.1558, R2 0.0975
x43: Cal. error 0.1600, RMSE 0.1560, R2 0.1029
x44: Cal. error 0.1660, RMSE 0.1569, R2 0.1003
x45: Cal. error 0.1720, RMSE 0.1575, R2 0.0946
x46: Cal. error 0.1760, RMSE 0.1569, R2 0.1040
x47: Cal. error 0.1750, RMSE 0.1571, R2 0.1021
x48: Cal. error 0.1990, RMSE 0.1561, R2 0.1056
x49: Cal. error 0.2170, RMSE 0.1550, R2 0.1121
x50: Cal. error 0.2240, RMSE 0.1543, R2 0.1154
x51: Cal. error 0.2230, RMSE 0.1539, R2 0.1151
x52: Cal. error 0.2190, RMSE 0.1505, R2 0.1457
x53: Cal. error 0.2140, RMSE 0.1479, R2 0.1707
x54: Cal. error 0.2030, RMSE 0.1464, R2 0.1873
x55: Cal. error 0.2050, RMSE 0.1452, R2 0.1998
x56: Cal. error 0.1840, RMSE 0.1433, R2 0.2220
x57: Cal. error 0.1850, RMSE 0.1406, R2 0.2513
x58: Cal. error 0.1780, RMSE 0.1414, R2 0.2471
x59: Cal. error 0.2100, RMSE 0.1420, R2 0.2460
x60: Cal. error 0.1860, RMSE 0.1401, R2 0.2718
x61: Cal. error 0.1960, RMSE 0.1369, R2 0.3111
x62: Cal. error 0.2460, RMSE 0.1347, R2 0.3368
x63: Cal. error 0.2800, RMSE 0.1295, R2 0.3923
x64: Cal. error 0.2690, RMSE 0.1493, R2 0.1979
x65: Cal. error 0.2560, RMSE 0.1520, R2 0.1756
x66: Cal. error 0.2100, RMSE 0.1537, R2 0.1596
x67: Cal. error 0.2270, RMSE 0.1589, R2 0.1094
x68: Cal. error 0.1960, RMSE 0.1594, R2 0.1057
x69: Cal. error 0.1790, RMSE 0.1590, R2 0.1090
x70: Cal. error 0.1730, RMSE 0.1633, R2 0.0587
