Calibration metrics:
x97: Cal. error 0.3030, RMSE 0.2131, R2 -0.7868
x98: Cal. error 0.3090, RMSE 0.2168, R2 -0.8345
x99: Cal. error 0.2900, RMSE 0.2197, R2 -0.8651
x100: Cal. error 0.2870, RMSE 0.2209, R2 -0.8814
x101: Cal. error 0.2790, RMSE 0.2215, R2 -0.9076
x102: Cal. error 0.2820, RMSE 0.2250, R2 -0.9478
x103: Cal. error 0.2800, RMSE 0.2298, R2 -1.0002
x104: Cal. error 0.3030, RMSE 0.2378, R2 -1.1364
x105: Cal. error 0.2970, RMSE 0.2446, R2 -1.2480
x106: Cal. error 0.3100, RMSE 0.2495, R2 -1.3172
x107: Cal. error 0.3010, RMSE 0.2544, R2 -1.3862
x108: Cal. error 0.3040, RMSE 0.2584, R2 -1.4418
x109: Cal. error 0.3010, RMSE 0.2632, R2 -1.5290
x110: Cal. error 0.2760, RMSE 0.2617, R2 -1.4959
x111: Cal. error 0.2700, RMSE 0.2596, R2 -1.4557
x112: Cal. error 0.2650, RMSE 0.2577, R2 -1.4398
x113: Cal. error 0.2650, RMSE 0.2565, R2 -1.4350
x114: Cal. error 0.2680, RMSE 0.2509, R2 -1.3410
x115: Cal. error 0.2580, RMSE 0.2459, R2 -1.2608
x116: Cal. error 0.2680, RMSE 0.2394, R2 -1.1640
x117: Cal. error 0.2710, RMSE 0.2376, R2 -1.1429
x118: Cal. error 0.2580, RMSE 0.2344, R2 -1.0852
x119: Cal. error 0.2550, RMSE 0.2328, R2 -1.0583
x120: Cal. error 0.2690, RMSE 0.2360, R2 -1.1120
x121: Cal. error 0.2560, RMSE 0.2374, R2 -1.1376
x122: Cal. error 0.2720, RMSE 0.2366, R2 -1.1088
x123: Cal. error 0.2820, RMSE 0.2310, R2 -0.9967
x124: Cal. error 0.2910, RMSE 0.2109, R2 -0.6503
x125: Cal. error 0.3290, RMSE 0.2062, R2 -0.5647
x126: Cal. error 0.3300, RMSE 0.1857, R2 -0.2601
x127: Cal. error 0.3720, RMSE 0.1906, R2 -0.3178
x128: Cal. error 0.3110, RMSE 0.1644, R2 0.0256
x129: Cal. error 0.2330, RMSE 0.1672, R2 0.0006
x130: Cal. error 0.2250, RMSE 0.1771, R2 -0.1179
x131: Cal. error 0.2350, RMSE 0.1807, R2 -0.1549
x132: Cal. error 0.2520, RMSE 0.1858, R2 -0.2178
x133: Cal. error 0.2610, RMSE 0.1919, R2 -0.3012
x134: Cal. error 0.2690, RMSE 0.1960, R2 -0.3591
x135: Cal. error 0.2870, RMSE 0.1994, R2 -0.4117
x136: Cal. error 0.2980, RMSE 0.1991, R2 -0.4147
x137: Cal. error 0.3090, RMSE 0.2017, R2 -0.4687
x138: Cal. error 0.3150, RMSE 0.1980, R2 -0.4320
x139: Cal. error 0.3060, RMSE 0.1976, R2 -0.4445
x140: Cal. error 0.3080, RMSE 0.1968, R2 -0.4556
x141: Cal. error 0.2930, RMSE 0.1996, R2 -0.5199
x142: Cal. error 0.3080, RMSE 0.1983, R2 -0.5220
x143: Cal. error 0.3070, RMSE 0.1984, R2 -0.5462
x144: Cal. error 0.3110, RMSE 0.2012, R2 -0.6145
x145: Cal. error 0.3260, RMSE 0.2065, R2 -0.7230
x146: Cal. error 0.3060, RMSE 0.2052, R2 -0.7203
x147: Cal. error 0.3080, RMSE 0.2057, R2 -0.7436
x148: Cal. error 0.3140, RMSE 0.2037, R2 -0.7229
x149: Cal. error 0.3170, RMSE 0.2068, R2 -0.7829
x150: Cal. error 0.3090, RMSE 0.2060, R2 -0.7745
x151: Cal. error 0.3060, RMSE 0.2058, R2 -0.7744
x152: Cal. error 0.3290, RMSE 0.2104, R2 -0.8514
x153: Cal. error 0.3350, RMSE 0.2141, R2 -0.9121
x154: Cal. error 0.3390, RMSE 0.2158, R2 -0.9323
x155: Cal. error 0.3250, RMSE 0.2159, R2 -0.9271
x156: Cal. error 0.3200, RMSE 0.2150, R2 -0.8969
x157: Cal. error 0.3010, RMSE 0.2160, R2 -0.8987
x158: Cal. error 0.3090, RMSE 0.2165, R2 -0.8954
x159: Cal. error 0.3130, RMSE 0.2171, R2 -0.8946
x160: Cal. error 0.3060, RMSE 0.2236, R2 -0.9892
x161: Cal. error 0.3190, RMSE 0.2267, R2 -1.0323
x162: Cal. error 0.3120, RMSE 0.2302, R2 -1.0785
x163: Cal. error 0.3070, RMSE 0.2324, R2 -1.0981
x164: Cal. error 0.3080, RMSE 0.2330, R2 -1.1027
x165: Cal. error 0.2910, RMSE 0.2329, R2 -1.1185
x166: Cal. error 0.2850, RMSE 0.2359, R2 -1.1495
x167: Cal. error 0.2950, RMSE 0.2401, R2 -1.1928
x168: Cal. error 0.3000, RMSE 0.2475, R2 -1.3223
x169: Cal. error 0.3030, RMSE 0.2535, R2 -1.4246
x170: Cal. error 0.3040, RMSE 0.2584, R2 -1.4928
x171: Cal. error 0.3110, RMSE 0.2628, R2 -1.5538
x172: Cal. error 0.3060, RMSE 0.2658, R2 -1.5907
x173: Cal. error 0.2940, RMSE 0.2695, R2 -1.6584
x174: Cal. error 0.2950, RMSE 0.2674, R2 -1.6099
x175: Cal. error 0.2890, RMSE 0.2644, R2 -1.5505
x176: Cal. error 0.2940, RMSE 0.2608, R2 -1.5024
x177: Cal. error 0.2950, RMSE 0.2585, R2 -1.4764
x178: Cal. error 0.2930, RMSE 0.2529, R2 -1.3815
x179: Cal. error 0.2820, RMSE 0.2481, R2 -1.3040
x180: Cal. error 0.2850, RMSE 0.2419, R2 -1.2118
x181: Cal. error 0.2820, RMSE 0.2406, R2 -1.1990
x182: Cal. error 0.2690, RMSE 0.2377, R2 -1.1462
x183: Cal. error 0.2720, RMSE 0.2363, R2 -1.1230
x184: Cal. error 0.2870, RMSE 0.2398, R2 -1.1821
x185: Cal. error 0.2910, RMSE 0.2418, R2 -1.2174
x186: Cal. error 0.2970, RMSE 0.2424, R2 -1.2156
x187: Cal. error 0.3140, RMSE 0.2383, R2 -1.1265
x188: Cal. error 0.3130, RMSE 0.2216, R2 -0.8247
x189: Cal. error 0.3400, RMSE 0.2174, R2 -0.7411
x190: Cal. error 0.3520, RMSE 0.1973, R2 -0.4255
x191: Cal. error 0.3870, RMSE 0.2011, R2 -0.4688
x192: Cal. error 0.3310, RMSE 0.1698, R2 -0.0382
x193: Cal. error 0.2380, RMSE 0.1743, R2 -0.0853
x194: Cal. error 0.2360, RMSE 0.1837, R2 -0.2018
x195: Cal. error 0.2430, RMSE 0.1869, R2 -0.2343
x196: Cal. error 0.2620, RMSE 0.1923, R2 -0.3033
x197: Cal. error 0.2690, RMSE 0.1983, R2 -0.3889
x198: Cal. error 0.2800, RMSE 0.2023, R2 -0.4479
x199: Cal. error 0.2910, RMSE 0.2053, R2 -0.4968
x200: Cal. error 0.2970, RMSE 0.2040, R2 -0.4857
x201: Cal. error 0.3100, RMSE 0.2060, R2 -0.5329
x202: Cal. error 0.3010, RMSE 0.2018, R2 -0.4881
x203: Cal. error 0.3000, RMSE 0.2012, R2 -0.4985
x204: Cal. error 0.3200, RMSE 0.2004, R2 -0.5115
x205: Cal. error 0.3230, RMSE 0.2034, R2 -0.5801
x206: Cal. error 0.3200, RMSE 0.2019, R2 -0.5794
x207: Cal. error 0.2970, RMSE 0.2016, R2 -0.5994
x208: Cal. error 0.3100, RMSE 0.2037, R2 -0.6579
x209: Cal. error 0.3200, RMSE 0.2086, R2 -0.7615
x210: Cal. error 0.3080, RMSE 0.2070, R2 -0.7537
x211: Cal. error 0.3080, RMSE 0.2075, R2 -0.7780
x212: Cal. error 0.3170, RMSE 0.2058, R2 -0.7613
x213: Cal. error 0.3220, RMSE 0.2092, R2 -0.8270
x214: Cal. error 0.3210, RMSE 0.2084, R2 -0.8194
x215: Cal. error 0.3130, RMSE 0.2081, R2 -0.8172
x216: Cal. error 0.3360, RMSE 0.2128, R2 -0.8966
x217: Cal. error 0.3430, RMSE 0.2165, R2 -0.9602
x218: Cal. error 0.3390, RMSE 0.2183, R2 -0.9820
x219: Cal. error 0.3360, RMSE 0.2183, R2 -0.9743
x220: Cal. error 0.3240, RMSE 0.2175, R2 -0.9450
x221: Cal. error 0.3160, RMSE 0.2186, R2 -0.9482
x222: Cal. error 0.3120, RMSE 0.2186, R2 -0.9356
x223: Cal. error 0.3100, RMSE 0.2188, R2 -0.9283
x224: Cal. error 0.3100, RMSE 0.2245, R2 -1.0105
x225: Cal. error 0.3010, RMSE 0.2272, R2 -1.0459
x226: Cal. error 0.3090, RMSE 0.2299, R2 -1.0773
x227: Cal. error 0.3010, RMSE 0.2310, R2 -1.0782
x228: Cal. error 0.2950, RMSE 0.2303, R2 -1.0591
x229: Cal. error 0.2820, RMSE 0.2293, R2 -1.0587
x230: Cal. error 0.2750, RMSE 0.2310, R2 -1.0658
x231: Cal. error 0.2720, RMSE 0.2344, R2 -1.0938
x232: Cal. error 0.2960, RMSE 0.2412, R2 -1.2095
x233: Cal. error 0.3010, RMSE 0.2468, R2 -1.3000
x234: Cal. error 0.2940, RMSE 0.2514, R2 -1.3620
x235: Cal. error 0.3040, RMSE 0.2556, R2 -1.4170
x236: Cal. error 0.2980, RMSE 0.2585, R2 -1.4505
x237: Cal. error 0.3040, RMSE 0.2620, R2 -1.5118
x238: Cal. error 0.2850, RMSE 0.2593, R2 -1.4537
x239: Cal. error 0.2780, RMSE 0.2562, R2 -1.3933
x240: Cal. error 0.2870, RMSE 0.2524, R2 -1.3417
x241: Cal. error 0.2920, RMSE 0.2504, R2 -1.3200
x242: Cal. error 0.2870, RMSE 0.2450, R2 -1.2321
x243: Cal. error 0.2850, RMSE 0.2409, R2 -1.1683
x244: Cal. error 0.2770, RMSE 0.2357, R2 -1.0972
x245: Cal. error 0.2850, RMSE 0.2353, R2 -1.1007
x246: Cal. error 0.2910, RMSE 0.2324, R2 -1.0481
x247: Cal. error 0.2870, RMSE 0.2311, R2 -1.0264
x248: Cal. error 0.2940, RMSE 0.2343, R2 -1.0801
x249: Cal. error 0.2970, RMSE 0.2365, R2 -1.1196
x250: Cal. error 0.3080, RMSE 0.2376, R2 -1.1267
x251: Cal. error 0.3140, RMSE 0.2344, R2 -1.0541
x252: Cal. error 0.3200, RMSE 0.2203, R2 -0.8001
x253: Cal. error 0.3390, RMSE 0.2174, R2 -0.7398
x254: Cal. error 0.3620, RMSE 0.1977, R2 -0.4295
x255: Cal. error 0.3840, RMSE 0.2014, R2 -0.4722
x256: Cal. error 0.3400, RMSE 0.1731, R2 -0.0759
x257: Cal. error 0.2490, RMSE 0.1760, R2 -0.1031
x258: Cal. error 0.2570, RMSE 0.1845, R2 -0.2087
x259: Cal. error 0.2620, RMSE 0.1873, R2 -0.2365
x260: Cal. error 0.2690, RMSE 0.1924, R2 -0.3013
x261: Cal. error 0.2900, RMSE 0.1979, R2 -0.3793
x262: Cal. error 0.2930, RMSE 0.2015, R2 -0.4325
x263: Cal. error 0.2950, RMSE 0.2042, R2 -0.4763
x264: Cal. error 0.2900, RMSE 0.2030, R2 -0.4666
x265: Cal. error 0.2950, RMSE 0.2052, R2 -0.5162
x266: Cal. error 0.3110, RMSE 0.2016, R2 -0.4812
x267: Cal. error 0.3030, RMSE 0.2013, R2 -0.4956
x268: Cal. error 0.3200, RMSE 0.2004, R2 -0.5060
x269: Cal. error 0.3260, RMSE 0.2034, R2 -0.5752
x270: Cal. error 0.3230, RMSE 0.2020, R2 -0.5773
x271: Cal. error 0.3190, RMSE 0.2019, R2 -0.5999
x272: Cal. error 0.3200, RMSE 0.2032, R2 -0.6452
x273: Cal. error 0.3100, RMSE 0.2079, R2 -0.7446
x274: Cal. error 0.3100, RMSE 0.2062, R2 -0.7359
x275: Cal. error 0.3170, RMSE 0.2067, R2 -0.7606
x276: Cal. error 0.3170, RMSE 0.2046, R2 -0.7379
x277: Cal. error 0.3270, RMSE 0.2080, R2 -0.8020
x278: Cal. error 0.3340, RMSE 0.2075, R2 -0.8004
x279: Cal. error 0.3330, RMSE 0.2074, R2 -0.8012
x280: Cal. error 0.3400, RMSE 0.2117, R2 -0.8743
x281: Cal. error 0.3500, RMSE 0.2154, R2 -0.9374
x282: Cal. error 0.3530, RMSE 0.2174, R2 -0.9632
x283: Cal. error 0.3430, RMSE 0.2174, R2 -0.9537
x284: Cal. error 0.3390, RMSE 0.2160, R2 -0.9151
x285: Cal. error 0.3280, RMSE 0.2167, R2 -0.9107
x286: Cal. error 0.3200, RMSE 0.2164, R2 -0.8931
x287: Cal. error 0.3100, RMSE 0.2162, R2 -0.8795
x288: Cal. error 0.3240, RMSE 0.2213, R2 -0.9499
x289: Cal. error 0.3070, RMSE 0.2236, R2 -0.9787
x290: Cal. error 0.3070, RMSE 0.2259, R2 -1.0024
x291: Cal. error 0.2910, RMSE 0.2266, R2 -0.9946
x292: Cal. error 0.2940, RMSE 0.2245, R2 -0.9516
x293: Cal. error 0.2930, RMSE 0.2230, R2 -0.9411
x294: Cal. error 0.2820, RMSE 0.2242, R2 -0.9405
x295: Cal. error 0.2800, RMSE 0.2272, R2 -0.9608
x296: Cal. error 0.2910, RMSE 0.2331, R2 -1.0553
x297: Cal. error 0.2840, RMSE 0.2380, R2 -1.1295
x298: Cal. error 0.2880, RMSE 0.2424, R2 -1.1862
x299: Cal. error 0.2820, RMSE 0.2461, R2 -1.2303
x300: Cal. error 0.2940, RMSE 0.2479, R2 -1.2425
x301: Cal. error 0.2940, RMSE 0.2505, R2 -1.2849
x302: Cal. error 0.2850, RMSE 0.2478, R2 -1.2292
x303: Cal. error 0.2770, RMSE 0.2446, R2 -1.1695
x304: Cal. error 0.2800, RMSE 0.2402, R2 -1.1101
x305: Cal. error 0.2850, RMSE 0.2380, R2 -1.0848
x306: Cal. error 0.2840, RMSE 0.2329, R2 -1.0073
x307: Cal. error 0.2770, RMSE 0.2292, R2 -0.9531
x308: Cal. error 0.2970, RMSE 0.2241, R2 -0.8867
x309: Cal. error 0.2950, RMSE 0.2242, R2 -0.8976
x310: Cal. error 0.2980, RMSE 0.2218, R2 -0.8589
x311: Cal. error 0.3000, RMSE 0.2213, R2 -0.8518
x312: Cal. error 0.3100, RMSE 0.2248, R2 -0.9081
x313: Cal. error 0.3090, RMSE 0.2274, R2 -0.9533
x314: Cal. error 0.3170, RMSE 0.2300, R2 -0.9848
x315: Cal. error 0.3200, RMSE 0.2281, R2 -0.9395
x316: Cal. error 0.3210, RMSE 0.2172, R2 -0.7449
x317: Cal. error 0.3340, RMSE 0.2158, R2 -0.7092
x318: Cal. error 0.3460, RMSE 0.1977, R2 -0.4258
x319: Cal. error 0.3780, RMSE 0.2036, R2 -0.4995
x320: Cal. error 0.3560, RMSE 0.1747, R2 -0.0948
x321: Cal. error 0.2480, RMSE 0.1771, R2 -0.1160
x322: Cal. error 0.2690, RMSE 0.1842, R2 -0.2042
x323: Cal. error 0.2690, RMSE 0.1874, R2 -0.2362
x324: Cal. error 0.2850, RMSE 0.1930, R2 -0.3077
x325: Cal. error 0.2940, RMSE 0.1976, R2 -0.3731
x326: Cal. error 0.3040, RMSE 0.2004, R2 -0.4142
x327: Cal. error 0.3010, RMSE 0.2023, R2 -0.4468
x328: Cal. error 0.3060, RMSE 0.2012, R2 -0.4376
x329: Cal. error 0.3000, RMSE 0.2032, R2 -0.4836
x330: Cal. error 0.3060, RMSE 0.1999, R2 -0.4529
x331: Cal. error 0.3030, RMSE 0.1995, R2 -0.4652
x332: Cal. error 0.3160, RMSE 0.1988, R2 -0.4792
x333: Cal. error 0.3250, RMSE 0.2016, R2 -0.5434
x334: Cal. error 0.3130, RMSE 0.2002, R2 -0.5448
x335: Cal. error 0.3160, RMSE 0.1998, R2 -0.5616
x336: Cal. error 0.3130, RMSE 0.2008, R2 -0.6021
x337: Cal. error 0.3160, RMSE 0.2049, R2 -0.6906
