Calibration metrics:
x0: Cal. error 0.4980, RMSE 0.3680, R2 -3.8716
x1: Cal. error 0.4210, RMSE 0.2873, R2 -1.9447
x2: Cal. error 0.3650, RMSE 0.2622, R2 -1.4449
x3: Cal. error 0.3680, RMSE 0.2813, R2 -1.7935
x4: Cal. error 0.3590, RMSE 0.2857, R2 -1.8741
x5: Cal. error 0.3370, RMSE 0.2844, R2 -1.8552
x6: Cal. error 0.3390, RMSE 0.2923, R2 -2.0237
x7: Cal. error 0.3340, RMSE 0.3001, R2 -2.1998
x8: Cal. error 0.3330, RMSE 0.3054, R2 -2.3324
x9: Cal. error 0.3240, RMSE 0.3039, R2 -2.3376
x10: Cal. error 0.3320, RMSE 0.3093, R2 -2.5019
x11: Cal. error 0.3330, RMSE 0.3116, R2 -2.6009
x12: Cal. error 0.3400, RMSE 0.3178, R2 -2.8071
x13: Cal. error 0.3420, RMSE 0.3201, R2 -2.9218
x14: Cal. error 0.3400, RMSE 0.3283, R2 -3.1858
x15: Cal. error 0.3340, RMSE 0.3314, R2 -3.3300
x16: Cal. error 0.3720, RMSE 0.3404, R2 -3.6398
x17: Cal. error 0.3630, RMSE 0.3415, R2 -3.7291
x18: Cal. error 0.3580, RMSE 0.3469, R2 -3.9316
x19: Cal. error 0.3530, RMSE 0.3457, R2 -3.9393
x20: Cal. error 0.3650, RMSE 0.3491, R2 -4.0741
x21: Cal. error 0.3580, RMSE 0.3467, R2 -4.0203
x22: Cal. error 0.3590, RMSE 0.3511, R2 -4.1642
x23: Cal. error 0.3490, RMSE 0.3521, R2 -4.1988
x24: Cal. error 0.3580, RMSE 0.3612, R2 -4.4589
x25: Cal. error 0.3490, RMSE 0.3627, R2 -4.4895
x26: Cal. error 0.3550, RMSE 0.3702, R2 -4.6828
x27: Cal. error 0.3460, RMSE 0.3695, R2 -4.6343
x28: Cal. error 0.3520, RMSE 0.3756, R2 -4.7733
x29: Cal. error 0.3490, RMSE 0.3753, R2 -4.7153
x30: Cal. error 0.3550, RMSE 0.3825, R2 -4.8950
x31: Cal. error 0.3560, RMSE 0.3845, R2 -4.9176
x32: Cal. error 0.3720, RMSE 0.3945, R2 -5.1665
x33: Cal. error 0.3580, RMSE 0.3943, R2 -5.1220
x34: Cal. error 0.3550, RMSE 0.3993, R2 -5.2231
x35: Cal. error 0.3520, RMSE 0.3974, R2 -5.1054
x36: Cal. error 0.3490, RMSE 0.4003, R2 -5.1783
x37: Cal. error 0.3360, RMSE 0.3930, R2 -5.0046
x38: Cal. error 0.3420, RMSE 0.3993, R2 -5.1320
x39: Cal. error 0.3460, RMSE 0.4032, R2 -5.1578
x40: Cal. error 0.3590, RMSE 0.4127, R2 -5.4307
x41: Cal. error 0.3520, RMSE 0.4135, R2 -5.4224
x42: Cal. error 0.3590, RMSE 0.4204, R2 -5.5740
x43: Cal. error 0.3500, RMSE 0.4185, R2 -5.4563
x44: Cal. error 0.3460, RMSE 0.4237, R2 -5.5592
x45: Cal. error 0.3460, RMSE 0.4198, R2 -5.4313
x46: Cal. error 0.3400, RMSE 0.4236, R2 -5.5309
x47: Cal. error 0.3460, RMSE 0.4229, R2 -5.5072
