Calibration metrics:
x0: Cal. error 0.5050, RMSE 0.5662, R2 -7.1410
x1: Cal. error 0.4400, RMSE 0.2828, R2 -1.0487
x2: Cal. error 0.3840, RMSE 0.2423, R2 -0.5131
x3: Cal. error 0.3430, RMSE 0.2213, R2 -0.2687
x4: Cal. error 0.2980, RMSE 0.2205, R2 -0.2684
x5: Cal. error 0.2770, RMSE 0.2152, R2 -0.2170
x6: Cal. error 0.2240, RMSE 0.2145, R2 -0.2192
x7: Cal. error 0.2390, RMSE 0.2153, R2 -0.2342
x8: Cal. error 0.2170, RMSE 0.2242, R2 -0.3479
x9: Cal. error 0.2190, RMSE 0.2147, R2 -0.2503
x10: Cal. error 0.1970, RMSE 0.2229, R2 -0.3618
x11: Cal. error 0.2190, RMSE 0.2216, R2 -0.3596
x12: Cal. error 0.2160, RMSE 0.2335, R2 -0.5251
x13: Cal. error 0.2300, RMSE 0.2305, R2 -0.4912
x14: Cal. error 0.2230, RMSE 0.2376, R2 -0.5952
x15: Cal. error 0.2420, RMSE 0.2365, R2 -0.5869
x16: Cal. error 0.2610, RMSE 0.2552, R2 -0.8421
x17: Cal. error 0.2640, RMSE 0.2498, R2 -0.7476
x18: Cal. error 0.2700, RMSE 0.2634, R2 -0.9099
x19: Cal. error 0.2650, RMSE 0.2529, R2 -0.7288
x20: Cal. error 0.2450, RMSE 0.2604, R2 -0.7966
x21: Cal. error 0.2350, RMSE 0.2449, R2 -0.5553
x22: Cal. error 0.1930, RMSE 0.2399, R2 -0.4881
x23: Cal. error 0.1990, RMSE 0.2287, R2 -0.3543
x24: Cal. error 0.1920, RMSE 0.2370, R2 -0.4515
x25: Cal. error 0.1960, RMSE 0.2274, R2 -0.3462
x26: Cal. error 0.1800, RMSE 0.2310, R2 -0.4014
x27: Cal. error 0.1770, RMSE 0.2232, R2 -0.3174
x28: Cal. error 0.1620, RMSE 0.2320, R2 -0.4306
x29: Cal. error 0.1550, RMSE 0.2224, R2 -0.3238
x30: Cal. error 0.1260, RMSE 0.2224, R2 -0.3282
x31: Cal. error 0.1420, RMSE 0.2204, R2 -0.3102
x32: Cal. error 0.1680, RMSE 0.2359, R2 -0.5039
x33: Cal. error 0.2040, RMSE 0.2363, R2 -0.5106
x34: Cal. error 0.2100, RMSE 0.2494, R2 -0.6773
x35: Cal. error 0.2150, RMSE 0.2491, R2 -0.6645
x36: Cal. error 0.2230, RMSE 0.2641, R2 -0.8840
x37: Cal. error 0.2230, RMSE 0.2544, R2 -0.7572
x38: Cal. error 0.2030, RMSE 0.2610, R2 -0.8427
x39: Cal. error 0.2270, RMSE 0.2602, R2 -0.8185
