Calibration metrics:
x0: Cal. error 0.1670, RMSE 0.1932, R2 0.0517
x1: Cal. error 0.2590, RMSE 0.1677, R2 0.2802
x2: Cal. error 0.2670, RMSE 0.1637, R2 0.3092
x3: Cal. error 0.2380, RMSE 0.1582, R2 0.3516
x4: Cal. error 0.2980, RMSE 0.1542, R2 0.3794
x5: Cal. error 0.3030, RMSE 0.1549, R2 0.3693
x6: Cal. error 0.2930, RMSE 0.1560, R2 0.3554
x7: Cal. error 0.2770, RMSE 0.1559, R2 0.3531
x8: Cal. error 0.2710, RMSE 0.1560, R2 0.3478
x9: Cal. error 0.2770, RMSE 0.1553, R2 0.3458
x10: Cal. error 0.2520, RMSE 0.1565, R2 0.3286
x11: Cal. error 0.2610, RMSE 0.1546, R2 0.3382
x12: Cal. error 0.2390, RMSE 0.1517, R2 0.3561
x13: Cal. error 0.2670, RMSE 0.1506, R2 0.3630
x14: Cal. error 0.2580, RMSE 0.1498, R2 0.3663
x15: Cal. error 0.2690, RMSE 0.1500, R2 0.3613
x16: Cal. error 0.2620, RMSE 0.1512, R2 0.3535
x17: Cal. error 0.2510, RMSE 0.1527, R2 0.3466
x18: Cal. error 0.2140, RMSE 0.1558, R2 0.3313
x19: Cal. error 0.2170, RMSE 0.1576, R2 0.3286
x20: Cal. error 0.1830, RMSE 0.1594, R2 0.3266
x21: Cal. error 0.1940, RMSE 0.1619, R2 0.3206
x22: Cal. error 0.1660, RMSE 0.1636, R2 0.3080
x23: Cal. error 0.1740, RMSE 0.1640, R2 0.3031
x24: Cal. error 0.1490, RMSE 0.1661, R2 0.2870
x25: Cal. error 0.1560, RMSE 0.1667, R2 0.2764
x26: Cal. error 0.1400, RMSE 0.1692, R2 0.2480
x27: Cal. error 0.1290, RMSE 0.1674, R2 0.2590
x28: Cal. error 0.1250, RMSE 0.1663, R2 0.2650
x29: Cal. error 0.1230, RMSE 0.1642, R2 0.2784
x30: Cal. error 0.1250, RMSE 0.1620, R2 0.2952
x31: Cal. error 0.1280, RMSE 0.1598, R2 0.3111
x32: Cal. error 0.1120, RMSE 0.1579, R2 0.3266
x33: Cal. error 0.1140, RMSE 0.1566, R2 0.3366
x34: Cal. error 0.0970, RMSE 0.1552, R2 0.3506
x35: Cal. error 0.0960, RMSE 0.1539, R2 0.3649
x36: Cal. error 0.1110, RMSE 0.1523, R2 0.3739
x37: Cal. error 0.1160, RMSE 0.1514, R2 0.3776
x38: Cal. error 0.0850, RMSE 0.1507, R2 0.3850
x39: Cal. error 0.0990, RMSE 0.1510, R2 0.3880
x40: Cal. error 0.1020, RMSE 0.1543, R2 0.3677
x41: Cal. error 0.1160, RMSE 0.1561, R2 0.3599
x42: Cal. error 0.0910, RMSE 0.1596, R2 0.3402
