Calibration metrics:
x0: Cal. error 0.5050, RMSE 0.9390, R2 -21.3929
x1: Cal. error 0.5050, RMSE 0.9041, R2 -19.9325
x2: Cal. error 0.5050, RMSE 0.9065, R2 -20.1720
x3: Cal. error 0.5050, RMSE 0.8738, R2 -18.7844
x4: Cal. error 0.5050, RMSE 0.8739, R2 -18.9290
x5: Cal. error 0.5050, RMSE 0.8805, R2 -19.3790
x6: Cal. error 0.5050, RMSE 0.8730, R2 -19.1848
x7: Cal. error 0.5050, RMSE 0.8722, R2 -19.2540
x8: Cal. error 0.5050, RMSE 0.8765, R2 -19.5930
x9: Cal. error 0.5050, RMSE 0.8770, R2 -19.8661
x10: Cal. error 0.5050, RMSE 0.8607, R2 -19.3120
x11: Cal. error 0.5050, RMSE 0.8724, R2 -20.0648
x12: Cal. error 0.5050, RMSE 0.8654, R2 -19.9426
x13: Cal. error 0.5050, RMSE 0.8771, R2 -20.6006
x14: Cal. error 0.5050, RMSE 0.8644, R2 -20.1135
x15: Cal. error 0.5050, RMSE 0.8839, R2 -21.1635
x16: Cal. error 0.5050, RMSE 0.8865, R2 -21.2216
x17: Cal. error 0.5050, RMSE 0.9051, R2 -21.9438
x18: Cal. error 0.5050, RMSE 0.9040, R2 -21.5012
x19: Cal. error 0.5050, RMSE 0.9330, R2 -22.5277
x20: Cal. error 0.5050, RMSE 0.9461, R2 -22.7080
x21: Cal. error 0.5050, RMSE 0.9738, R2 -23.5898
x22: Cal. error 0.5050, RMSE 0.9684, R2 -23.2447
x23: Cal. error 0.5050, RMSE 0.9906, R2 -24.4164
x24: Cal. error 0.5050, RMSE 0.9992, R2 -24.7939
x25: Cal. error 0.5050, RMSE 1.0087, R2 -25.4924
x26: Cal. error 0.5050, RMSE 0.9973, R2 -25.1128
x27: Cal. error 0.5050, RMSE 1.0119, R2 -26.0841
x28: Cal. error 0.5050, RMSE 1.0134, R2 -26.2949
x29: Cal. error 0.5050, RMSE 1.0241, R2 -27.0661
x30: Cal. error 0.5050, RMSE 1.0103, R2 -26.4091
x31: Cal. error 0.5050, RMSE 1.0248, R2 -27.3223
x32: Cal. error 0.5050, RMSE 1.0324, R2 -27.7934
x33: Cal. error 0.5050, RMSE 1.0349, R2 -27.9802
x34: Cal. error 0.5050, RMSE 1.0285, R2 -27.5273
x35: Cal. error 0.5050, RMSE 1.0380, R2 -27.9087
x36: Cal. error 0.5050, RMSE 1.0405, R2 -28.2332
x37: Cal. error 0.5050, RMSE 1.0394, R2 -28.3228
x38: Cal. error 0.5050, RMSE 1.0274, R2 -27.5662
x39: Cal. error 0.5050, RMSE 1.0383, R2 -27.9490
x40: Cal. error 0.5050, RMSE 1.0511, R2 -28.3340
x41: Cal. error 0.5050, RMSE 1.0521, R2 -28.0806
x42: Cal. error 0.5050, RMSE 1.0475, R2 -27.4296
x43: Cal. error 0.5050, RMSE 1.0568, R2 -27.5564
x44: Cal. error 0.5050, RMSE 1.0621, R2 -27.3534
x45: Cal. error 0.5050, RMSE 1.0731, R2 -27.4800
x46: Cal. error 0.5050, RMSE 1.0595, R2 -26.1708
x47: Cal. error 0.5050, RMSE 1.0799, R2 -26.6273
x48: Cal. error 0.5050, RMSE 1.0805, R2 -26.3366
x49: Cal. error 0.5050, RMSE 1.0777, R2 -26.0665
x50: Cal. error 0.5050, RMSE 1.0612, R2 -25.0696
x51: Cal. error 0.5050, RMSE 1.0648, R2 -25.0943
x52: Cal. error 0.5050, RMSE 1.0520, R2 -24.3622
x53: Cal. error 0.5050, RMSE 1.0575, R2 -24.4328
x54: Cal. error 0.5050, RMSE 1.0319, R2 -22.9519
x55: Cal. error 0.5050, RMSE 1.0389, R2 -23.2961
x56: Cal. error 0.5050, RMSE 1.0201, R2 -22.8514
x57: Cal. error 0.5050, RMSE 1.0043, R2 -22.5503
x58: Cal. error 0.5050, RMSE 0.9680, R2 -21.3442
x59: Cal. error 0.5050, RMSE 0.9783, R2 -22.1909
x60: Cal. error 0.5050, RMSE 0.9606, R2 -21.6135
x61: Cal. error 0.5050, RMSE 0.9736, R2 -22.4711
x62: Cal. error 0.5050, RMSE 0.9217, R2 -20.1834
x63: Cal. error 0.5050, RMSE 0.8183, R2 -15.8577
x64: Cal. error 0.5050, RMSE 0.9757, R2 -23.1619
x65: Cal. error 0.5050, RMSE 0.9001, R2 -19.7382
x66: Cal. error 0.5050, RMSE 0.9337, R2 -21.4589
x67: Cal. error 0.5050, RMSE 0.9010, R2 -20.0375
x68: Cal. error 0.5050, RMSE 0.8953, R2 -19.9163
x69: Cal. error 0.5050, RMSE 0.8830, R2 -19.5024
x70: Cal. error 0.5050, RMSE 0.8969, R2 -20.3094
x71: Cal. error 0.5050, RMSE 0.8751, R2 -19.3897
x72: Cal. error 0.5050, RMSE 0.9007, R2 -20.7420
x73: Cal. error 0.5050, RMSE 0.8840, R2 -20.1888
x74: Cal. error 0.5050, RMSE 0.8762, R2 -20.0330
x75: Cal. error 0.5050, RMSE 0.8742, R2 -20.1250
x76: Cal. error 0.5050, RMSE 0.8872, R2 -20.9750
x77: Cal. error 0.5050, RMSE 0.8839, R2 -20.8840
x78: Cal. error 0.5050, RMSE 0.8805, R2 -20.8408
x79: Cal. error 0.5050, RMSE 0.8841, R2 -21.1018
x80: Cal. error 0.5050, RMSE 0.9077, R2 -22.2102
x81: Cal. error 0.5050, RMSE 0.9119, R2 -22.1902
x82: Cal. error 0.5050, RMSE 0.9214, R2 -22.2581
x83: Cal. error 0.5050, RMSE 0.9336, R2 -22.4281
x84: Cal. error 0.5050, RMSE 0.9734, R2 -23.9440
x85: Cal. error 0.5050, RMSE 0.9832, R2 -23.8974
x86: Cal. error 0.5050, RMSE 0.9923, R2 -24.2764
x87: Cal. error 0.5050, RMSE 0.9912, R2 -24.2553
x88: Cal. error 0.5050, RMSE 1.0307, R2 -26.2284
x89: Cal. error 0.5050, RMSE 1.0181, R2 -25.7721
x90: Cal. error 0.5050, RMSE 1.0240, R2 -26.3053
x91: Cal. error 0.5050, RMSE 1.0171, R2 -26.1409
x92: Cal. error 0.5050, RMSE 1.0473, R2 -27.9144
x93: Cal. error 0.5050, RMSE 1.0372, R2 -27.5630
x94: Cal. error 0.5050, RMSE 1.0387, R2 -27.7543
x95: Cal. error 0.5050, RMSE 1.0301, R2 -27.4142
x96: Cal. error 0.5050, RMSE 1.0659, R2 -29.4925
x97: Cal. error 0.5050, RMSE 1.0439, R2 -28.3057
x98: Cal. error 0.5050, RMSE 1.0571, R2 -28.9640
x99: Cal. error 0.5050, RMSE 1.0433, R2 -28.0552
x100: Cal. error 0.5050, RMSE 1.0743, R2 -30.0204
x101: Cal. error 0.5050, RMSE 1.0488, R2 -28.7377
x102: Cal. error 0.5050, RMSE 1.0549, R2 -29.0094
x103: Cal. error 0.5050, RMSE 1.0417, R2 -28.0506
x104: Cal. error 0.5050, RMSE 1.0832, R2 -30.0764
x105: Cal. error 0.5050, RMSE 1.0594, R2 -28.4258
x106: Cal. error 0.5050, RMSE 1.0735, R2 -28.8106
x107: Cal. error 0.5050, RMSE 1.0608, R2 -27.7350
x108: Cal. error 0.5050, RMSE 1.0949, R2 -29.0998
x109: Cal. error 0.5050, RMSE 1.0820, R2 -27.9382
x110: Cal. error 0.5050, RMSE 1.0849, R2 -27.4781
x111: Cal. error 0.5050, RMSE 1.0803, R2 -26.6424
x112: Cal. error 0.5050, RMSE 1.1106, R2 -27.8729
