Calibration metrics:
x0: Cal. error 0.5050, RMSE 0.8071, R2 -15.5453
x1: Cal. error 0.5050, RMSE 0.7021, R2 -11.6231
x2: Cal. error 0.5050, RMSE 0.8414, R2 -17.2412
x3: Cal. error 0.5050, RMSE 0.9816, R2 -23.9664
x4: Cal. error 0.5050, RMSE 0.7252, R2 -12.7238
x5: Cal. error 0.5050, RMSE 0.9228, R2 -21.3841
x6: Cal. error 0.5050, RMSE 0.8611, R2 -18.6382
x7: Cal. error 0.5050, RMSE 0.9088, R2 -20.9908
x8: Cal. error 0.5050, RMSE 0.7527, R2 -14.1857
x9: Cal. error 0.5050, RMSE 0.8859, R2 -20.2909
x10: Cal. error 0.5050, RMSE 0.7908, R2 -16.1470
x11: Cal. error 0.5050, RMSE 0.8829, R2 -20.5738
x12: Cal. error 0.5050, RMSE 0.7438, R2 -14.4715
x13: Cal. error 0.5050, RMSE 0.8813, R2 -20.8083
x14: Cal. error 0.5050, RMSE 0.7887, R2 -16.5754
x15: Cal. error 0.5050, RMSE 0.8864, R2 -21.2885
x16: Cal. error 0.5050, RMSE 0.7449, R2 -14.6927
x17: Cal. error 0.5050, RMSE 0.8832, R2 -20.8490
x18: Cal. error 0.5050, RMSE 0.8313, R2 -18.0242
x19: Cal. error 0.5050, RMSE 0.9202, R2 -21.8846
x20: Cal. error 0.5050, RMSE 0.8493, R2 -18.1074
x21: Cal. error 0.5050, RMSE 0.9701, R2 -23.4030
x22: Cal. error 0.5050, RMSE 0.9275, R2 -21.2436
x23: Cal. error 0.5050, RMSE 0.9861, R2 -24.1853
x24: Cal. error 0.5050, RMSE 0.8951, R2 -19.7017
x25: Cal. error 0.5050, RMSE 1.0184, R2 -26.0043
x26: Cal. error 0.5050, RMSE 0.9610, R2 -23.2495
x27: Cal. error 0.5050, RMSE 1.0321, R2 -27.1743
x28: Cal. error 0.5050, RMSE 0.9285, R2 -21.9133
x29: Cal. error 0.5050, RMSE 1.0631, R2 -29.2427
x30: Cal. error 0.5050, RMSE 0.9647, R2 -23.9895
x31: Cal. error 0.5050, RMSE 1.0441, R2 -28.3994
x32: Cal. error 0.5050, RMSE 0.9183, R2 -21.7834
x33: Cal. error 0.5050, RMSE 1.0691, R2 -29.9238
x34: Cal. error 0.5050, RMSE 0.9731, R2 -24.5361
x35: Cal. error 0.5050, RMSE 1.0596, R2 -29.1232
x36: Cal. error 0.5050, RMSE 0.9446, R2 -23.0923
x37: Cal. error 0.5050, RMSE 1.0759, R2 -30.4197
x38: Cal. error 0.5050, RMSE 0.9751, R2 -24.7275
x39: Cal. error 0.5050, RMSE 1.0582, R2 -29.0693
x40: Cal. error 0.5050, RMSE 0.9390, R2 -22.4092
x41: Cal. error 0.5050, RMSE 1.0646, R2 -28.7768
x42: Cal. error 0.5050, RMSE 0.9951, R2 -24.6582
x43: Cal. error 0.5050, RMSE 1.0628, R2 -27.8860
x44: Cal. error 0.5050, RMSE 0.9760, R2 -22.9390
x45: Cal. error 0.5050, RMSE 1.0845, R2 -28.0901
x46: Cal. error 0.5050, RMSE 1.0199, R2 -24.1791
x47: Cal. error 0.5050, RMSE 1.0936, R2 -27.3341
x48: Cal. error 0.5050, RMSE 0.9835, R2 -21.6490
x49: Cal. error 0.5050, RMSE 1.1101, R2 -27.7166
x50: Cal. error 0.5050, RMSE 1.0169, R2 -22.9356
x51: Cal. error 0.5050, RMSE 1.0933, R2 -26.5065
x52: Cal. error 0.5050, RMSE 0.9617, R2 -20.1959
x53: Cal. error 0.5050, RMSE 1.0835, R2 -25.7008
x54: Cal. error 0.5050, RMSE 0.9707, R2 -20.1949
x55: Cal. error 0.5050, RMSE 1.0735, R2 -24.9441
x56: Cal. error 0.5050, RMSE 0.9594, R2 -20.0956
x57: Cal. error 0.5050, RMSE 0.9995, R2 -22.3237
x58: Cal. error 0.5050, RMSE 0.9844, R2 -22.1054
x59: Cal. error 0.5050, RMSE 0.8732, R2 -17.4748
x60: Cal. error 0.5050, RMSE 1.0289, R2 -24.9455
x61: Cal. error 0.5050, RMSE 1.0993, R2 -28.9215
x62: Cal. error 0.5050, RMSE 1.0201, R2 -24.9479
x63: Cal. error 0.5050, RMSE 1.1411, R2 -31.7759
x64: Cal. error 0.5050, RMSE 0.8610, R2 -17.8187
x65: Cal. error 0.5050, RMSE 0.7351, R2 -12.8319
x66: Cal. error 0.5050, RMSE 1.0737, R2 -28.6987
x67: Cal. error 0.5050, RMSE 1.1268, R2 -31.9005
x68: Cal. error 0.5050, RMSE 0.9487, R2 -22.4847
x69: Cal. error 0.5050, RMSE 1.0836, R2 -29.8748
x70: Cal. error 0.5050, RMSE 1.0819, R2 -30.0060
x71: Cal. error 0.5050, RMSE 1.0120, R2 -26.2672
x72: Cal. error 0.5050, RMSE 0.9996, R2 -25.7759
x73: Cal. error 0.5050, RMSE 1.0206, R2 -27.2421
x74: Cal. error 0.5050, RMSE 1.0343, R2 -28.3045
x75: Cal. error 0.5050, RMSE 1.0092, R2 -27.1501
x76: Cal. error 0.5050, RMSE 0.9661, R2 -25.0546
x77: Cal. error 0.5050, RMSE 1.0050, R2 -27.2922
x78: Cal. error 0.5050, RMSE 1.0391, R2 -29.4181
x79: Cal. error 0.5050, RMSE 0.9990, R2 -27.2201
x80: Cal. error 0.5050, RMSE 0.9855, R2 -26.3579
x81: Cal. error 0.5050, RMSE 1.0270, R2 -28.4176
x82: Cal. error 0.5050, RMSE 1.0754, R2 -30.6840
x83: Cal. error 0.5050, RMSE 1.0673, R2 -29.6221
x84: Cal. error 0.5050, RMSE 1.0780, R2 -29.5938
x85: Cal. error 0.5050, RMSE 1.1357, R2 -32.2234
x86: Cal. error 0.5050, RMSE 1.1838, R2 -34.9752
x87: Cal. error 0.5050, RMSE 1.1442, R2 -32.6493
x88: Cal. error 0.5050, RMSE 1.1432, R2 -32.4994
x89: Cal. error 0.5050, RMSE 1.1792, R2 -34.9142
x90: Cal. error 0.5050, RMSE 1.2220, R2 -37.8861
x91: Cal. error 0.5050, RMSE 1.1836, R2 -35.7514
x92: Cal. error 0.5050, RMSE 1.1905, R2 -36.3641
x93: Cal. error 0.5050, RMSE 1.2149, R2 -38.1881
x94: Cal. error 0.5050, RMSE 1.2429, R2 -40.1727
x95: Cal. error 0.5050, RMSE 1.2010, R2 -37.6282
x96: Cal. error 0.5050, RMSE 1.1906, R2 -37.0400
x97: Cal. error 0.5050, RMSE 1.2277, R2 -39.5330
x98: Cal. error 0.5050, RMSE 1.2445, R2 -40.5291
x99: Cal. error 0.5050, RMSE 1.2235, R2 -38.9584
x100: Cal. error 0.5050, RMSE 1.2227, R2 -39.1836
x101: Cal. error 0.5050, RMSE 1.2420, R2 -40.7049
x102: Cal. error 0.5050, RMSE 1.2500, R2 -41.1356
x103: Cal. error 0.5050, RMSE 1.2268, R2 -39.2974
x104: Cal. error 0.5050, RMSE 1.2091, R2 -37.7140
x105: Cal. error 0.5050, RMSE 1.2471, R2 -39.7778
x106: Cal. error 0.5050, RMSE 1.2563, R2 -39.8266
x107: Cal. error 0.5050, RMSE 1.2454, R2 -38.6107
x108: Cal. error 0.5050, RMSE 1.2444, R2 -37.8819
x109: Cal. error 0.5050, RMSE 1.2661, R2 -38.6205
x110: Cal. error 0.5050, RMSE 1.2905, R2 -39.2921
x111: Cal. error 0.5050, RMSE 1.2669, R2 -37.0118
x112: Cal. error 0.5050, RMSE 1.2421, R2 -35.1149
x113: Cal. error 0.5050, RMSE 1.2836, R2 -37.3804
x114: Cal. error 0.5050, RMSE 1.2886, R2 -37.4224
x115: Cal. error 0.5050, RMSE 1.2646, R2 -35.7895
x116: Cal. error 0.5050, RMSE 1.2317, R2 -33.7506
x117: Cal. error 0.5050, RMSE 1.2349, R2 -33.6636
x118: Cal. error 0.5050, RMSE 1.2644, R2 -34.9351
x119: Cal. error 0.5050, RMSE 1.2204, R2 -32.5048
x120: Cal. error 0.5050, RMSE 1.2096, R2 -32.5063
x121: Cal. error 0.5050, RMSE 1.1411, R2 -29.3754
x122: Cal. error 0.5050, RMSE 1.2593, R2 -36.7793
x123: Cal. error 0.5050, RMSE 1.0614, R2 -26.2742
x124: Cal. error 0.5050, RMSE 1.2496, R2 -37.2319
x125: Cal. error 0.5050, RMSE 1.2805, R2 -39.5611
x126: Cal. error 0.5050, RMSE 1.1734, R2 -33.3047
x127: Cal. error 0.5050, RMSE 1.1265, R2 -30.9221
x128: Cal. error 0.5050, RMSE 0.6725, R2 -14.8968
x129: Cal. error 0.5050, RMSE 0.6493, R2 -13.6781
x130: Cal. error 0.5050, RMSE 0.7327, R2 -17.4856
x131: Cal. error 0.5050, RMSE 0.9624, R2 -30.3943
x132: Cal. error 0.5050, RMSE 0.7482, R2 -17.7793
x133: Cal. error 0.5050, RMSE 0.8931, R2 -25.4307
x134: Cal. error 0.5050, RMSE 0.7746, R2 -18.7311
x135: Cal. error 0.5050, RMSE 0.8839, R2 -24.4362
x136: Cal. error 0.5050, RMSE 0.7721, R2 -18.2379
x137: Cal. error 0.5050, RMSE 0.8867, R2 -24.3831
x138: Cal. error 0.5050, RMSE 0.7604, R2 -17.6507
x139: Cal. error 0.5050, RMSE 0.8601, R2 -22.9136
x140: Cal. error 0.5050, RMSE 0.7777, R2 -18.6590
x141: Cal. error 0.5050, RMSE 0.8868, R2 -24.6685
x142: Cal. error 0.5050, RMSE 0.7729, R2 -18.6152
x143: Cal. error 0.5050, RMSE 0.8416, R2 -22.4101
x144: Cal. error 0.5050, RMSE 0.7723, R2 -18.8469
x145: Cal. error 0.5050, RMSE 0.8874, R2 -25.2929
x146: Cal. error 0.5050, RMSE 0.7678, R2 -18.7990
x147: Cal. error 0.5050, RMSE 0.8571, R2 -23.7467
x148: Cal. error 0.5050, RMSE 0.8038, R2 -20.8431
x149: Cal. error 0.5050, RMSE 0.9076, R2 -26.8770
x150: Cal. error 0.5050, RMSE 0.8158, R2 -21.5322
x151: Cal. error 0.5050, RMSE 0.8786, R2 -25.1300
x152: Cal. error 0.5050, RMSE 0.8290, R2 -22.2804
x153: Cal. error 0.5050, RMSE 0.9452, R2 -29.2682
x154: Cal. error 0.5050, RMSE 0.8561, R2 -23.8487
x155: Cal. error 0.5050, RMSE 0.9288, R2 -28.2512
x156: Cal. error 0.5050, RMSE 0.8865, R2 -25.5961
x157: Cal. error 0.5050, RMSE 0.9763, R2 -31.3278
x158: Cal. error 0.5050, RMSE 0.8837, R2 -25.5310
x159: Cal. error 0.5050, RMSE 0.9505, R2 -29.8474
x160: Cal. error 0.5050, RMSE 0.8927, R2 -26.3442
x161: Cal. error 0.5050, RMSE 0.9966, R2 -33.2454
x162: Cal. error 0.5050, RMSE 0.8874, R2 -26.2944
x163: Cal. error 0.5050, RMSE 0.9675, R2 -31.5735
x164: Cal. error 0.5050, RMSE 0.9106, R2 -27.9740
x165: Cal. error 0.5050, RMSE 0.9947, R2 -33.8420
x166: Cal. error 0.5050, RMSE 0.8898, R2 -26.8281
x167: Cal. error 0.5050, RMSE 0.9659, R2 -31.6681
x168: Cal. error 0.5050, RMSE 0.9037, R2 -27.6753
x169: Cal. error 0.5050, RMSE 0.9890, R2 -33.4489
x170: Cal. error 0.5050, RMSE 0.8825, R2 -26.2966
x171: Cal. error 0.5050, RMSE 0.9586, R2 -30.8528
x172: Cal. error 0.5050, RMSE 0.9037, R2 -26.9538
x173: Cal. error 0.5050, RMSE 0.9803, R2 -31.6565
x174: Cal. error 0.5050, RMSE 0.8770, R2 -25.0035
x175: Cal. error 0.5050, RMSE 0.9462, R2 -29.1188
x176: Cal. error 0.5050, RMSE 0.8683, R2 -24.5541
x177: Cal. error 0.5050, RMSE 0.9509, R2 -29.9594
x178: Cal. error 0.5050, RMSE 0.8455, R2 -23.6253
x179: Cal. error 0.5050, RMSE 0.9105, R2 -27.6588
x180: Cal. error 0.5050, RMSE 0.8157, R2 -22.2621
x181: Cal. error 0.5050, RMSE 0.9040, R2 -27.8759
x182: Cal. error 0.5050, RMSE 0.8004, R2 -21.7569
x183: Cal. error 0.5050, RMSE 0.8569, R2 -25.2279
x184: Cal. error 0.5050, RMSE 0.7978, R2 -21.8120
x185: Cal. error 0.5050, RMSE 0.8439, R2 -24.5947
x186: Cal. error 0.5050, RMSE 0.8083, R2 -22.4906
x187: Cal. error 0.5050, RMSE 0.7837, R2 -21.0279
x188: Cal. error 0.5050, RMSE 0.8689, R2 -26.0363
x189: Cal. error 0.5050, RMSE 0.8850, R2 -26.9968
x190: Cal. error 0.5050, RMSE 0.9207, R2 -29.1878
x191: Cal. error 0.5050, RMSE 0.9017, R2 -27.7909
x192: Cal. error 0.5050, RMSE 0.7708, R2 -20.8609
x193: Cal. error 0.5050, RMSE 0.7428, R2 -19.1679
x194: Cal. error 0.5050, RMSE 0.8870, R2 -27.6979
x195: Cal. error 0.5050, RMSE 0.9385, R2 -30.9388
x196: Cal. error 0.5050, RMSE 0.8005, R2 -22.2119
x197: Cal. error 0.5050, RMSE 0.9145, R2 -29.4000
x198: Cal. error 0.5050, RMSE 0.8263, R2 -23.9106
x199: Cal. error 0.5050, RMSE 0.8828, R2 -27.5976
x200: Cal. error 0.5050, RMSE 0.8135, R2 -23.4546
x201: Cal. error 0.5050, RMSE 0.8634, R2 -26.9064
x202: Cal. error 0.5050, RMSE 0.7808, R2 -22.1469
x203: Cal. error 0.5050, RMSE 0.8504, R2 -26.8724
x204: Cal. error 0.5050, RMSE 0.7969, R2 -23.9200
x205: Cal. error 0.5050, RMSE 0.8395, R2 -27.1177
x206: Cal. error 0.5050, RMSE 0.7815, R2 -23.7687
x207: Cal. error 0.5050, RMSE 0.8387, R2 -28.0011
x208: Cal. error 0.5050, RMSE 0.7750, R2 -24.1838
x209: Cal. error 0.5050, RMSE 0.8451, R2 -29.3612
x210: Cal. error 0.5050, RMSE 0.7701, R2 -24.5066
x211: Cal. error 0.5050, RMSE 0.8361, R2 -29.3538
x212: Cal. error 0.5050, RMSE 0.7964, R2 -26.7635
x213: Cal. error 0.5050, RMSE 0.8404, R2 -30.0302
x214: Cal. error 0.5050, RMSE 0.7959, R2 -26.9192
x215: Cal. error 0.5050, RMSE 0.8499, R2 -30.8675
x216: Cal. error 0.5050, RMSE 0.8206, R2 -28.6420
x217: Cal. error 0.5050, RMSE 0.8667, R2 -31.9799
x218: Cal. error 0.5050, RMSE 0.8363, R2 -29.5222
x219: Cal. error 0.5050, RMSE 0.9013, R2 -34.2871
x220: Cal. error 0.5050, RMSE 0.8730, R2 -31.8258
x221: Cal. error 0.5050, RMSE 0.9112, R2 -34.4429
x222: Cal. error 0.5050, RMSE 0.8705, R2 -31.1028
x223: Cal. error 0.5050, RMSE 0.9480, R2 -36.8167
x224: Cal. error 0.5050, RMSE 0.8965, R2 -32.4502
x225: Cal. error 0.5050, RMSE 0.9659, R2 -37.5489
x226: Cal. error 0.5050, RMSE 0.9014, R2 -32.2588
x227: Cal. error 0.5050, RMSE 0.9983, R2 -39.3685
x228: Cal. error 0.5050, RMSE 0.9374, R2 -34.4542
x229: Cal. error 0.5050, RMSE 0.9915, R2 -38.9419
x230: Cal. error 0.5050, RMSE 0.9184, R2 -32.8455
x231: Cal. error 0.5050, RMSE 1.0108, R2 -39.3433
x232: Cal. error 0.5050, RMSE 0.9452, R2 -34.1196
x233: Cal. error 0.5050, RMSE 1.0168, R2 -39.3913
x234: Cal. error 0.5050, RMSE 0.9362, R2 -32.8497
x235: Cal. error 0.5050, RMSE 1.0196, R2 -38.7164
x236: Cal. error 0.5050, RMSE 0.9537, R2 -33.3958
x237: Cal. error 0.5050, RMSE 1.0057, R2 -37.1247
x238: Cal. error 0.5050, RMSE 0.9292, R2 -31.4211
x239: Cal. error 0.5050, RMSE 0.9893, R2 -35.6850
x240: Cal. error 0.5050, RMSE 0.9352, R2 -32.0190
