Calibration metrics:
x0: Cal. error 0.5050, RMSE 0.7231, R2 -17.8079
x1: Cal. error 0.5050, RMSE 0.7289, R2 -17.9580
x2: Cal. error 0.5050, RMSE 0.7252, R2 -17.7070
x3: Cal. error 0.5050, RMSE 0.7249, R2 -17.5543
x4: Cal. error 0.5050, RMSE 0.7281, R2 -17.6739
x5: Cal. error 0.5050, RMSE 0.7259, R2 -17.6005
x6: Cal. error 0.5050, RMSE 0.7262, R2 -17.6571
x7: Cal. error 0.5050, RMSE 0.7208, R2 -17.4562
x8: Cal. error 0.5050, RMSE 0.7209, R2 -17.5663
x9: Cal. error 0.5050, RMSE 0.7169, R2 -17.5733
x10: Cal. error 0.5050, RMSE 0.7153, R2 -17.7269
x11: Cal. error 0.5050, RMSE 0.7088, R2 -17.6375
x12: Cal. error 0.5050, RMSE 0.7076, R2 -17.8771
x13: Cal. error 0.5050, RMSE 0.7052, R2 -18.0340
x14: Cal. error 0.5050, RMSE 0.7055, R2 -18.3340
x15: Cal. error 0.5050, RMSE 0.7006, R2 -18.3534
x16: Cal. error 0.5050, RMSE 0.7019, R2 -18.7279
x17: Cal. error 0.5050, RMSE 0.7012, R2 -18.9381
x18: Cal. error 0.5050, RMSE 0.7053, R2 -19.3891
x19: Cal. error 0.5050, RMSE 0.7047, R2 -19.5282
x20: Cal. error 0.5050, RMSE 0.7091, R2 -19.9362
x21: Cal. error 0.5050, RMSE 0.7133, R2 -20.2522
x22: Cal. error 0.5050, RMSE 0.7207, R2 -20.7620
x23: Cal. error 0.5050, RMSE 0.7232, R2 -20.9285
x24: Cal. error 0.5050, RMSE 0.7309, R2 -21.3490
x25: Cal. error 0.5050, RMSE 0.7374, R2 -21.6851
x26: Cal. error 0.5050, RMSE 0.7481, R2 -22.2096
x27: Cal. error 0.5050, RMSE 0.7520, R2 -22.3358
x28: Cal. error 0.5050, RMSE 0.7605, R2 -22.6718
x29: Cal. error 0.5050, RMSE 0.7695, R2 -23.0235
x30: Cal. error 0.5050, RMSE 0.7794, R2 -23.4706
x31: Cal. error 0.5050, RMSE 0.7827, R2 -23.5243
x32: Cal. error 0.5050, RMSE 0.7919, R2 -23.8433
x33: Cal. error 0.5050, RMSE 0.7986, R2 -24.1052
x34: Cal. error 0.5050, RMSE 0.8075, R2 -24.4544
x35: Cal. error 0.5050, RMSE 0.8106, R2 -24.4029
x36: Cal. error 0.5050, RMSE 0.8146, R2 -24.5811
x37: Cal. error 0.5050, RMSE 0.8128, R2 -24.6825
x38: Cal. error 0.5050, RMSE 0.8211, R2 -24.9227
x39: Cal. error 0.5050, RMSE 0.8239, R2 -24.7122
x40: Cal. error 0.5050, RMSE 0.8264, R2 -24.7847
x41: Cal. error 0.5050, RMSE 0.8278, R2 -24.7410
x42: Cal. error 0.5050, RMSE 0.8342, R2 -24.8848
x43: Cal. error 0.5050, RMSE 0.8320, R2 -24.5141
x44: Cal. error 0.5050, RMSE 0.8338, R2 -24.4052
x45: Cal. error 0.5050, RMSE 0.8320, R2 -24.2574
x46: Cal. error 0.5050, RMSE 0.8315, R2 -24.1648
x47: Cal. error 0.5050, RMSE 0.8241, R2 -23.7142
x48: Cal. error 0.5050, RMSE 0.8156, R2 -23.4116
x49: Cal. error 0.5050, RMSE 0.8075, R2 -23.0997
x50: Cal. error 0.5050, RMSE 0.8020, R2 -22.9006
x51: Cal. error 0.5050, RMSE 0.7906, R2 -22.3437
x52: Cal. error 0.5050, RMSE 0.7793, R2 -21.9079
x53: Cal. error 0.5050, RMSE 0.7710, R2 -21.5361
x54: Cal. error 0.5050, RMSE 0.7657, R2 -21.2329
x55: Cal. error 0.5050, RMSE 0.7563, R2 -20.7025
x56: Cal. error 0.5050, RMSE 0.7505, R2 -20.3358
x57: Cal. error 0.5050, RMSE 0.7448, R2 -20.0109
x58: Cal. error 0.5050, RMSE 0.7429, R2 -19.7785
x59: Cal. error 0.5050, RMSE 0.7366, R2 -19.2834
x60: Cal. error 0.5050, RMSE 0.7349, R2 -19.0281
x61: Cal. error 0.5050, RMSE 0.7350, R2 -18.8643
x62: Cal. error 0.5050, RMSE 0.7397, R2 -18.9935
x63: Cal. error 0.5050, RMSE 0.7304, R2 -18.3400
x64: Cal. error 0.5050, RMSE 0.7284, R2 -18.0864
x65: Cal. error 0.5050, RMSE 0.7280, R2 -17.9071
x66: Cal. error 0.5050, RMSE 0.7269, R2 -17.7865
x67: Cal. error 0.5050, RMSE 0.7278, R2 -17.6867
x68: Cal. error 0.5050, RMSE 0.7287, R2 -17.6777
x69: Cal. error 0.5050, RMSE 0.7258, R2 -17.5610
x70: Cal. error 0.5050, RMSE 0.7254, R2 -17.5724
x71: Cal. error 0.5050, RMSE 0.7222, R2 -17.4771
x72: Cal. error 0.5050, RMSE 0.7217, R2 -17.5452
x73: Cal. error 0.5050, RMSE 0.7172, R2 -17.5221
x74: Cal. error 0.5050, RMSE 0.7149, R2 -17.6284
x75: Cal. error 0.5050, RMSE 0.7109, R2 -17.6633
x76: Cal. error 0.5050, RMSE 0.7086, R2 -17.8377
x77: Cal. error 0.5050, RMSE 0.7058, R2 -17.9686
x78: Cal. error 0.5050, RMSE 0.7051, R2 -18.2068
x79: Cal. error 0.5050, RMSE 0.7027, R2 -18.3643
x80: Cal. error 0.5050, RMSE 0.7025, R2 -18.6539
x81: Cal. error 0.5050, RMSE 0.7022, R2 -18.8828
x82: Cal. error 0.5050, RMSE 0.7047, R2 -19.2434
x83: Cal. error 0.5050, RMSE 0.7063, R2 -19.5130
x84: Cal. error 0.5050, RMSE 0.7101, R2 -19.8914
x85: Cal. error 0.5050, RMSE 0.7142, R2 -20.2016
x86: Cal. error 0.5050, RMSE 0.7202, R2 -20.6356
x87: Cal. error 0.5050, RMSE 0.7249, R2 -20.9457
x88: Cal. error 0.5050, RMSE 0.7322, R2 -21.3475
x89: Cal. error 0.5050, RMSE 0.7383, R2 -21.6638
x90: Cal. error 0.5050, RMSE 0.7475, R2 -22.1042
x91: Cal. error 0.5050, RMSE 0.7533, R2 -22.3595
x92: Cal. error 0.5050, RMSE 0.7630, R2 -22.7741
x93: Cal. error 0.5050, RMSE 0.7705, R2 -23.0372
x94: Cal. error 0.5050, RMSE 0.7794, R2 -23.4335
x95: Cal. error 0.5050, RMSE 0.7848, R2 -23.6256
x96: Cal. error 0.5050, RMSE 0.7949, R2 -24.0100
x97: Cal. error 0.5050, RMSE 0.7996, R2 -24.1542
x98: Cal. error 0.5050, RMSE 0.8075, R2 -24.4417
x99: Cal. error 0.5050, RMSE 0.8124, R2 -24.5135
x100: Cal. error 0.5050, RMSE 0.8181, R2 -24.8039
x101: Cal. error 0.5050, RMSE 0.8139, R2 -24.7570
x102: Cal. error 0.5050, RMSE 0.8211, R2 -24.9320
x103: Cal. error 0.5050, RMSE 0.8263, R2 -24.8660
x104: Cal. error 0.5050, RMSE 0.8290, R2 -24.9571
x105: Cal. error 0.5050, RMSE 0.8294, R2 -24.8518
x106: Cal. error 0.5050, RMSE 0.8338, R2 -24.8725
x107: Cal. error 0.5050, RMSE 0.8341, R2 -24.6589
x108: Cal. error 0.5050, RMSE 0.8367, R2 -24.5980
x109: Cal. error 0.5050, RMSE 0.8336, R2 -24.3750
x110: Cal. error 0.5050, RMSE 0.8314, R2 -24.1880
x111: Cal. error 0.5050, RMSE 0.8261, R2 -23.8571
x112: Cal. error 0.5050, RMSE 0.8180, R2 -23.5825
x113: Cal. error 0.5050, RMSE 0.8090, R2 -23.2187
x114: Cal. error 0.5050, RMSE 0.8018, R2 -22.9173
x115: Cal. error 0.5050, RMSE 0.7922, R2 -22.4680
x116: Cal. error 0.5050, RMSE 0.7820, R2 -22.0975
x117: Cal. error 0.5050, RMSE 0.7723, R2 -21.6388
x118: Cal. error 0.5050, RMSE 0.7661, R2 -21.2852
x119: Cal. error 0.5050, RMSE 0.7579, R2 -20.8201
x120: Cal. error 0.5050, RMSE 0.7523, R2 -20.4663
x121: Cal. error 0.5050, RMSE 0.7455, R2 -20.0744
x122: Cal. error 0.5050, RMSE 0.7424, R2 -19.7726
x123: Cal. error 0.5050, RMSE 0.7377, R2 -19.3614
x124: Cal. error 0.5050, RMSE 0.7370, R2 -19.1587
x125: Cal. error 0.5050, RMSE 0.7335, R2 -18.7993
x126: Cal. error 0.5050, RMSE 0.7371, R2 -18.8639
x127: Cal. error 0.5050, RMSE 0.7332, R2 -18.4950
x128: Cal. error 0.5050, RMSE 0.7251, R2 -17.9469
x129: Cal. error 0.5050, RMSE 0.7284, R2 -17.9700
x130: Cal. error 0.5050, RMSE 0.7271, R2 -17.8360
x131: Cal. error 0.5050, RMSE 0.7282, R2 -17.7494
x132: Cal. error 0.5050, RMSE 0.7288, R2 -17.7283
x133: Cal. error 0.5050, RMSE 0.7268, R2 -17.6563
x134: Cal. error 0.5050, RMSE 0.7248, R2 -17.5881
x135: Cal. error 0.5050, RMSE 0.7235, R2 -17.5876
x136: Cal. error 0.5050, RMSE 0.7212, R2 -17.5645
x137: Cal. error 0.5050, RMSE 0.7186, R2 -17.6372
x138: Cal. error 0.5050, RMSE 0.7144, R2 -17.6433
x139: Cal. error 0.5050, RMSE 0.7123, R2 -17.7752
x140: Cal. error 0.5050, RMSE 0.7081, R2 -17.8494
x141: Cal. error 0.5050, RMSE 0.7071, R2 -18.0807
x142: Cal. error 0.5050, RMSE 0.7044, R2 -18.2090
x143: Cal. error 0.5050, RMSE 0.7040, R2 -18.4751
x144: Cal. error 0.5050, RMSE 0.7021, R2 -18.6673
x145: Cal. error 0.5050, RMSE 0.7036, R2 -19.0037
x146: Cal. error 0.5050, RMSE 0.7042, R2 -19.2593
x147: Cal. error 0.5050, RMSE 0.7076, R2 -19.6390
x148: Cal. error 0.5050, RMSE 0.7098, R2 -19.9236
x149: Cal. error 0.5050, RMSE 0.7157, R2 -20.3472
x150: Cal. error 0.5050, RMSE 0.7198, R2 -20.6712
x151: Cal. error 0.5050, RMSE 0.7263, R2 -21.0946
x152: Cal. error 0.5050, RMSE 0.7320, R2 -21.4071
x153: Cal. error 0.5050, RMSE 0.7397, R2 -21.8322
x154: Cal. error 0.5050, RMSE 0.7471, R2 -22.1649
x155: Cal. error 0.5050, RMSE 0.7547, R2 -22.5451
x156: Cal. error 0.5050, RMSE 0.7627, R2 -22.8643
x157: Cal. error 0.5050, RMSE 0.7721, R2 -23.2519
x158: Cal. error 0.5050, RMSE 0.7788, R2 -23.5133
x159: Cal. error 0.5050, RMSE 0.7862, R2 -23.8430
x160: Cal. error 0.5050, RMSE 0.7944, R2 -24.1120
x161: Cal. error 0.5050, RMSE 0.8010, R2 -24.3733
x162: Cal. error 0.5050, RMSE 0.8066, R2 -24.5164
x163: Cal. error 0.5050, RMSE 0.8139, R2 -24.7353
x164: Cal. error 0.5050, RMSE 0.8176, R2 -24.8970
x165: Cal. error 0.5050, RMSE 0.8153, R2 -24.9698
x166: Cal. error 0.5050, RMSE 0.8201, R2 -24.9831
x167: Cal. error 0.5050, RMSE 0.8278, R2 -25.0696
x168: Cal. error 0.5050, RMSE 0.8285, R2 -25.0292
x169: Cal. error 0.5050, RMSE 0.8308, R2 -25.0324
x170: Cal. error 0.5050, RMSE 0.8329, R2 -24.9035
x171: Cal. error 0.5050, RMSE 0.8357, R2 -24.8303
x172: Cal. error 0.5050, RMSE 0.8363, R2 -24.6439
x173: Cal. error 0.5050, RMSE 0.8352, R2 -24.5350
x174: Cal. error 0.5050, RMSE 0.8309, R2 -24.2064
x175: Cal. error 0.5050, RMSE 0.8275, R2 -23.9916
x176: Cal. error 0.5050, RMSE 0.8178, R2 -23.6109
x177: Cal. error 0.5050, RMSE 0.8106, R2 -23.3452
x178: Cal. error 0.5050, RMSE 0.8014, R2 -22.9219
x179: Cal. error 0.5050, RMSE 0.7937, R2 -22.5789
x180: Cal. error 0.5050, RMSE 0.7817, R2 -22.0991
x181: Cal. error 0.5050, RMSE 0.7739, R2 -21.7510
x182: Cal. error 0.5050, RMSE 0.7657, R2 -21.2763
x183: Cal. error 0.5050, RMSE 0.7593, R2 -20.9106
x184: Cal. error 0.5050, RMSE 0.7519, R2 -20.4557
x185: Cal. error 0.5050, RMSE 0.7469, R2 -20.1652
x186: Cal. error 0.5050, RMSE 0.7417, R2 -19.7434
x187: Cal. error 0.5050, RMSE 0.7388, R2 -19.4389
x188: Cal. error 0.5050, RMSE 0.7362, R2 -19.1335
x189: Cal. error 0.5050, RMSE 0.7357, R2 -18.9438
x190: Cal. error 0.5050, RMSE 0.7352, R2 -18.7908
x191: Cal. error 0.5050, RMSE 0.7286, R2 -18.2808
x192: Cal. error 0.5050, RMSE 0.7237, R2 -17.8629
x193: Cal. error 0.5050, RMSE 0.7293, R2 -18.0028
x194: Cal. error 0.5050, RMSE 0.7284, R2 -17.8947
x195: Cal. error 0.5050, RMSE 0.7278, R2 -17.7241
x196: Cal. error 0.5050, RMSE 0.7297, R2 -17.7738
x197: Cal. error 0.5050, RMSE 0.7282, R2 -17.7330
x198: Cal. error 0.5050, RMSE 0.7251, R2 -17.6091
x199: Cal. error 0.5050, RMSE 0.7237, R2 -17.6038
x200: Cal. error 0.5050, RMSE 0.7215, R2 -17.5846
x201: Cal. error 0.5050, RMSE 0.7198, R2 -17.7047
x202: Cal. error 0.5050, RMSE 0.7143, R2 -17.6488
x203: Cal. error 0.5050, RMSE 0.7129, R2 -17.8198
x204: Cal. error 0.5050, RMSE 0.7081, R2 -17.8671
x205: Cal. error 0.5050, RMSE 0.7085, R2 -18.1703
x206: Cal. error 0.5050, RMSE 0.7045, R2 -18.2356
x207: Cal. error 0.5050, RMSE 0.7045, R2 -18.5253
x208: Cal. error 0.5050, RMSE 0.7024, R2 -18.7088
x209: Cal. error 0.5050, RMSE 0.7047, R2 -19.0939
x210: Cal. error 0.5050, RMSE 0.7044, R2 -19.3022
x211: Cal. error 0.5050, RMSE 0.7079, R2 -19.6862
x212: Cal. error 0.5050, RMSE 0.7100, R2 -19.9622
x213: Cal. error 0.5050, RMSE 0.7170, R2 -20.4584
x214: Cal. error 0.5050, RMSE 0.7201, R2 -20.7204
x215: Cal. error 0.5050, RMSE 0.7266, R2 -21.1504
x216: Cal. error 0.5050, RMSE 0.7324, R2 -21.4717
x217: Cal. error 0.5050, RMSE 0.7413, R2 -21.9774
x218: Cal. error 0.5050, RMSE 0.7474, R2 -22.2317
x219: Cal. error 0.5050, RMSE 0.7555, R2 -22.6423
x220: Cal. error 0.5050, RMSE 0.7628, R2 -22.9209
x221: Cal. error 0.5050, RMSE 0.7742, R2 -23.4402
x222: Cal. error 0.5050, RMSE 0.7787, R2 -23.5680
x223: Cal. error 0.5050, RMSE 0.7873, R2 -23.9702
x224: Cal. error 0.5050, RMSE 0.7944, R2 -24.1754
x225: Cal. error 0.5050, RMSE 0.8033, R2 -24.5841
x226: Cal. error 0.5050, RMSE 0.8064, R2 -24.5692
x227: Cal. error 0.5050, RMSE 0.8153, R2 -24.8833
x228: Cal. error 0.5050, RMSE 0.8171, R2 -24.9243
x229: Cal. error 0.5050, RMSE 0.8177, R2 -25.1710
