Calibration metrics:
x0: Cal. error 0.5050, RMSE 0.8915, R2 -19.1860
x1: Cal. error 0.5050, RMSE 0.8801, R2 -18.8365
x2: Cal. error 0.5050, RMSE 0.8610, R2 -18.0999
x3: Cal. error 0.5050, RMSE 0.8637, R2 -18.3298
x4: Cal. error 0.5050, RMSE 0.8458, R2 -17.6663
x5: Cal. error 0.5050, RMSE 0.8540, R2 -18.1722
x6: Cal. error 0.5050, RMSE 0.8363, R2 -17.5231
x7: Cal. error 0.5050, RMSE 0.8482, R2 -18.1549
x8: Cal. error 0.5050, RMSE 0.8327, R2 -17.5878
x9: Cal. error 0.5050, RMSE 0.8428, R2 -18.2691
x10: Cal. error 0.5050, RMSE 0.8257, R2 -17.6953
x11: Cal. error 0.5050, RMSE 0.8392, R2 -18.4932
x12: Cal. error 0.5050, RMSE 0.8250, R2 -18.0344
x13: Cal. error 0.5050, RMSE 0.8424, R2 -18.9273
x14: Cal. error 0.5050, RMSE 0.8303, R2 -18.4785
x15: Cal. error 0.5050, RMSE 0.8496, R2 -19.4750
x16: Cal. error 0.5050, RMSE 0.8437, R2 -19.1271
x17: Cal. error 0.5050, RMSE 0.8694, R2 -20.1722
x18: Cal. error 0.5050, RMSE 0.8691, R2 -19.7961
x19: Cal. error 0.5050, RMSE 0.9009, R2 -20.9353
x20: Cal. error 0.5050, RMSE 0.9030, R2 -20.5989
x21: Cal. error 0.5050, RMSE 0.9367, R2 -21.7511
x22: Cal. error 0.5050, RMSE 0.9298, R2 -21.3511
x23: Cal. error 0.5050, RMSE 0.9535, R2 -22.5468
x24: Cal. error 0.5050, RMSE 0.9463, R2 -22.1345
x25: Cal. error 0.5050, RMSE 0.9658, R2 -23.2881
x26: Cal. error 0.5050, RMSE 0.9519, R2 -22.7914
x27: Cal. error 0.5050, RMSE 0.9712, R2 -23.9504
x28: Cal. error 0.5050, RMSE 0.9594, R2 -23.4638
x29: Cal. error 0.5050, RMSE 0.9776, R2 -24.5760
x30: Cal. error 0.5050, RMSE 0.9640, R2 -23.9569
x31: Cal. error 0.5050, RMSE 0.9830, R2 -25.0598
x32: Cal. error 0.5050, RMSE 0.9712, R2 -24.4821
x33: Cal. error 0.5050, RMSE 0.9890, R2 -25.4625
x34: Cal. error 0.5050, RMSE 0.9761, R2 -24.6947
x35: Cal. error 0.5050, RMSE 0.9974, R2 -25.6900
x36: Cal. error 0.5050, RMSE 0.9810, R2 -24.9866
x37: Cal. error 0.5050, RMSE 0.9942, R2 -25.8304
x38: Cal. error 0.5050, RMSE 0.9792, R2 -24.9489
x39: Cal. error 0.5050, RMSE 0.9997, R2 -25.8388
x40: Cal. error 0.5050, RMSE 0.9896, R2 -24.9987
x41: Cal. error 0.5050, RMSE 1.0097, R2 -25.7826
x42: Cal. error 0.5050, RMSE 0.9981, R2 -24.8097
x43: Cal. error 0.5050, RMSE 1.0186, R2 -25.5311
x44: Cal. error 0.5050, RMSE 1.0089, R2 -24.5822
x45: Cal. error 0.5050, RMSE 1.0295, R2 -25.2121
x46: Cal. error 0.5050, RMSE 1.0190, R2 -24.1351
x47: Cal. error 0.5050, RMSE 1.0417, R2 -24.7103
x48: Cal. error 0.5050, RMSE 1.0266, R2 -23.6756
x49: Cal. error 0.5050, RMSE 1.0383, R2 -24.1242
x50: Cal. error 0.5050, RMSE 1.0183, R2 -23.0029
x51: Cal. error 0.5050, RMSE 1.0292, R2 -23.3755
x52: Cal. error 0.5050, RMSE 1.0079, R2 -22.2816
x53: Cal. error 0.5050, RMSE 1.0177, R2 -22.5549
x54: Cal. error 0.5050, RMSE 0.9988, R2 -21.4390
x55: Cal. error 0.5050, RMSE 1.0039, R2 -21.6869
x56: Cal. error 0.5050, RMSE 0.9725, R2 -20.6751
x57: Cal. error 0.5050, RMSE 0.9680, R2 -20.8796
x58: Cal. error 0.5050, RMSE 0.9379, R2 -19.9746
x59: Cal. error 0.5050, RMSE 0.9330, R2 -20.0924
x60: Cal. error 0.5050, RMSE 0.9139, R2 -19.4713
x61: Cal. error 0.5050, RMSE 0.9112, R2 -19.5591
x62: Cal. error 0.5050, RMSE 0.9039, R2 -19.3746
x63: Cal. error 0.5050, RMSE 0.9055, R2 -19.6397
x64: Cal. error 0.5050, RMSE 0.8885, R2 -19.0384
x65: Cal. error 0.5050, RMSE 0.8779, R2 -18.7288
x66: Cal. error 0.5050, RMSE 0.8577, R2 -17.9523
x67: Cal. error 0.5050, RMSE 0.8608, R2 -18.2002
x68: Cal. error 0.5050, RMSE 0.8424, R2 -17.5203
x69: Cal. error 0.5050, RMSE 0.8511, R2 -18.0473
x70: Cal. error 0.5050, RMSE 0.8329, R2 -17.3777
x71: Cal. error 0.5050, RMSE 0.8454, R2 -18.0277
